Sample	Chromosome	Start	End	N_Probes	CN
BXPC3_PANCREAS	3	60495053	60554521	52	0
BXPC3_PANCREAS	3	60555274	85591108	8399	2
BXPC3_PANCREAS	3	85594169	85661265	26	1
BXPC3_PANCREAS	3	85664673	89338394	830	2
BXPC3_PANCREAS	3	89362129	90264056	84	4
BXPC3_PANCREAS	3	90283951	125650045	8768	3
BXPC3_PANCREAS	3	125680500	143900023	5226	3
BXPC3_PANCREAS	3	143900277	178755116	9604	3
BXPC3_PANCREAS	3	178763614	182392108	746	2
BXPC3_PANCREAS	3	182393173	185080298	711	3
BXPC3_PANCREAS	3	185090819	197833758	3986	2
BXPC3_PANCREAS	4	69713	3046053	509	2
BXPC3_PANCREAS	4	3062165	4638578	414	1
BXPC3_PANCREAS	4	4639545	9633990	1932	2
BXPC3_PANCREAS	4	9653990	9768823	21	1
BXPC3_PANCREAS	4	9773296	87074248	22920	2
BXPC3_PANCREAS	4	87099337	87645111	90	1
BXPC3_PANCREAS	4	87665384	91740834	1152	2
BXPC3_PANCREAS	4	91746584	91911048	48	0
BXPC3_PANCREAS	4	91924372	91949192	12	1
BXPC3_PANCREAS	4	91950488	92012047	14	0
BXPC3_PANCREAS	4	92025737	92145041	31	1
BXPC3_PANCREAS	4	92152678	122764553	8077	2
BXPC3_PANCREAS	4	122779974	128385991	1419	1
BXPC3_PANCREAS	4	128401323	148504373	5085	2
BXPC3_PANCREAS	4	148516877	153732359	1217	1
BXPC3_PANCREAS	4	153737819	156322989	909	2
BXPC3_PANCREAS	4	156337303	158061403	559	1
BXPC3_PANCREAS	4	158071951	158907037	216	2
BXPC3_PANCREAS	4	158912398	159858736	189	1
BXPC3_PANCREAS	4	159859930	182234918	6850	2
BXPC3_PANCREAS	4	182248413	182391939	95	1
BXPC3_PANCREAS	4	182392777	188648305	2382	2
BXPC3_PANCREAS	4	188650233	190748138	625	1
BXPC3_PANCREAS	4	190755641	190921709	24	2
BXPC3_PANCREAS	5	51455	4380725	1844	4
BXPC3_PANCREAS	5	4387248	5790928	758	2
BXPC3_PANCREAS	5	5793714	6951821	642	4
BXPC3_PANCREAS	5	6959036	9821723	1355	2
BXPC3_PANCREAS	5	9827181	19370219	3303	4
BXPC3_PANCREAS	5	19370718	19498390	53	2
BXPC3_PANCREAS	5	19499023	33546396	3860	4
BXPC3_PANCREAS	5	33549014	33633103	45	3
BXPC3_PANCREAS	5	33636594	46383335	3420	4
BXPC3_PANCREAS	5	49560859	59202287	3167	2
BXPC3_PANCREAS	5	59208798	59486426	52	1
BXPC3_PANCREAS	5	59504284	100999874	10909	2
BXPC3_PANCREAS	5	101014287	101132746	35	1
BXPC3_PANCREAS	5	101139305	101383803	75	2
BXPC3_PANCREAS	5	101389008	101413002	10	1
BXPC3_PANCREAS	5	101420510	108521478	1850	2
BXPC3_PANCREAS	5	108523293	108561809	14	1
BXPC3_PANCREAS	5	108563868	180692833	24057	2
BXPC3_PANCREAS	6	203845	1628902	732	3
BXPC3_PANCREAS	6	1631215	5712751	1910	2
BXPC3_PANCREAS	6	5717137	8325348	1310	3
BXPC3_PANCREAS	6	8326888	35484753	10011	2
BXPC3_PANCREAS	6	35505311	38812557	1047	3
BXPC3_PANCREAS	6	38815827	39811883	428	2
BXPC3_PANCREAS	6	39818864	41246473	674	3
BXPC3_PANCREAS	6	41250466	101660659	16286	2
BXPC3_PANCREAS	6	101684707	101781684	33	1
BXPC3_PANCREAS	6	101794011	101820085	13	2
BXPC3_PANCREAS	6	101827805	101970544	51	1
BXPC3_PANCREAS	6	101976291	120778766	5361	2
BXPC3_PANCREAS	6	120789923	131192130	3100	3
BXPC3_PANCREAS	6	131208191	134992992	1319	2
BXPC3_PANCREAS	6	134997346	162489688	9281	3
BXPC3_PANCREAS	6	162489743	162813664	135	2
BXPC3_PANCREAS	6	162820486	163986482	442	3
BXPC3_PANCREAS	6	163993182	167614733	1695	1
BXPC3_PANCREAS	6	167625330	170898549	1176	3
BXPC3_PANCREAS	7	44408	9199559	2855	3
BXPC3_PANCREAS	7	9212201	22434643	5507	3
BXPC3_PANCREAS	7	22438754	31732089	3613	3
BXPC3_PANCREAS	7	31732461	32036975	130	1
BXPC3_PANCREAS	7	32037234	32624811	287	3
BXPC3_PANCREAS	7	32624954	32716625	24	2
BXPC3_PANCREAS	7	32765703	76143625	10786	3
BXPC3_PANCREAS	7	76214797	89564164	3909	3
BXPC3_PANCREAS	7	89570624	90019837	165	2
BXPC3_PANCREAS	7	90026716	132490352	10636	3
BXPC3_PANCREAS	7	132495299	133226258	180	1
BXPC3_PANCREAS	7	133238601	144397983	3247	3
BXPC3_PANCREAS	7	144408433	151912679	2268	4
BXPC3_PANCREAS	7	151949068	153957363	614	2
BXPC3_PANCREAS	7	153962574	159119220	1833	4
BXPC3_PANCREAS	8	164984	11893228	6847	3
BXPC3_PANCREAS	8	12473558	18856729	3417	3
BXPC3_PANCREAS	8	18857000	19213714	203	1
BXPC3_PANCREAS	8	19214903	136738086	34256	3
BXPC3_PANCREAS	8	136738533	137106078	187	1
BXPC3_PANCREAS	8	137113049	146293414	2861	3
BXPC3_PANCREAS	9	59985	3755197	2281	1
BXPC3_PANCREAS	9	3757758	3914672	115	0
BXPC3_PANCREAS	9	3914836	9290584	2824	2
BXPC3_PANCREAS	9	9294304	9497040	137	0
BXPC3_PANCREAS	9	9503477	21186931	5288	2
BXPC3_PANCREAS	9	21191684	22903852	547	0
BXPC3_PANCREAS	9	22909498	26141011	1122	2
BXPC3_PANCREAS	9	26158371	26248035	39	0
BXPC3_PANCREAS	9	26256238	39184065	4349	3
BXPC3_PANCREAS	9	44795319	79657077	3238	2
BXPC3_PANCREAS	9	79661721	100472829	7006	3
BXPC3_PANCREAS	9	100482976	100537802	29	2
BXPC3_PANCREAS	9	100543880	117420132	6436	3
BXPC3_PANCREAS	9	117430524	118352393	431	0
BXPC3_PANCREAS	9	118357126	141071475	6746	3
BXPC3_PANCREAS	10	135656	3284639	1561	2
BXPC3_PANCREAS	10	3290827	4226411	479	1
BXPC3_PANCREAS	10	4228079	4381934	99	2
BXPC3_PANCREAS	10	4384056	4558510	82	1
BXPC3_PANCREAS	10	4564553	17777536	6303	2
BXPC3_PANCREAS	10	18230259	18800554	311	0
BXPC3_PANCREAS	10	18804094	63712827	13440	2
BXPC3_PANCREAS	10	63723440	65008611	427	3
BXPC3_PANCREAS	10	65018253	73196121	2830	2
BXPC3_PANCREAS	10	73200334	73711503	237	0
BXPC3_PANCREAS	10	73714487	78198107	908	2
BXPC3_PANCREAS	10	78198607	78295924	37	1
BXPC3_PANCREAS	10	78297974	80820431	1155	2
BXPC3_PANCREAS	10	80824689	82340707	410	3
BXPC3_PANCREAS	10	82343110	86309347	1547	2
BXPC3_PANCREAS	10	86313427	86377269	41	3
BXPC3_PANCREAS	10	86385916	86432491	29	2
BXPC3_PANCREAS	10	86444162	86548952	46	3
BXPC3_PANCREAS	10	86557370	105354982	5472	2
BXPC3_PANCREAS	10	105357723	106180971	290	3
BXPC3_PANCREAS	10	106193598	106699212	224	2
BXPC3_PANCREAS	10	106703522	106917850	107	3
BXPC3_PANCREAS	10	106919564	107787578	293	2
BXPC3_PANCREAS	10	107789712	108023505	81	3
BXPC3_PANCREAS	10	108034182	109146943	459	2
BXPC3_PANCREAS	10	109147402	110227694	478	3
BXPC3_PANCREAS	10	110230050	112041579	509	2
BXPC3_PANCREAS	10	112052689	112530792	196	3
BXPC3_PANCREAS	10	112532284	112658964	59	2
BXPC3_PANCREAS	10	112668253	118059344	2001	3
BXPC3_PANCREAS	10	118069924	118427779	127	2
BXPC3_PANCREAS	10	118433169	127041985	3492	3
BXPC3_PANCREAS	10	127044367	127272601	86	2
BXPC3_PANCREAS	10	127279571	135434551	3419	3
BXPC3_PANCREAS	11	206767	11918698	4286	2
BXPC3_PANCREAS	11	11954444	12209174	170	0
BXPC3_PANCREAS	11	12214529	20769987	3369	2
BXPC3_PANCREAS	11	20775758	28890240	2927	3
BXPC3_PANCREAS	11	28907546	29143085	56	2
BXPC3_PANCREAS	11	29148890	83802471	14244	3
BXPC3_PANCREAS	11	83806025	83985411	67	2
BXPC3_PANCREAS	11	83993349	84339557	89	1
BXPC3_PANCREAS	11	84340842	90097229	1730	3
BXPC3_PANCREAS	11	90108216	90731784	253	2
BXPC3_PANCREAS	11	90746499	103401530	4607	3
BXPC3_PANCREAS	11	103402548	103933567	231	2
BXPC3_PANCREAS	11	103933854	103984147	22	3
BXPC3_PANCREAS	11	103996664	104052398	41	2
BXPC3_PANCREAS	11	104063280	105460042	422	3
BXPC3_PANCREAS	11	105468945	105886989	104	2
BXPC3_PANCREAS	11	105905847	106614752	238	3
BXPC3_PANCREAS	11	106619739	107743582	377	2
BXPC3_PANCREAS	11	107747025	107825239	14	3
BXPC3_PANCREAS	11	107830614	111309172	1085	2
BXPC3_PANCREAS	11	111310559	120349310	3314	3
BXPC3_PANCREAS	11	120357547	121530888	519	1
BXPC3_PANCREAS	11	121533566	123176516	610	3
BXPC3_PANCREAS	11	123178814	123429990	104	2
BXPC3_PANCREAS	11	123437978	134944770	4746	3
BXPC3_PANCREAS	12	192220	9626772	3296	3
BXPC3_PANCREAS	12	9735686	17903344	2823	3
BXPC3_PANCREAS	12	17932644	18120763	48	4
BXPC3_PANCREAS	12	18124581	67744374	14050	3
BXPC3_PANCREAS	12	67751314	69271311	632	2
BXPC3_PANCREAS	12	69274230	73416820	1416	3
BXPC3_PANCREAS	12	73417263	86250788	3620	2
BXPC3_PANCREAS	12	86262561	88724929	451	3
BXPC3_PANCREAS	12	88735694	114161335	8112	2
BXPC3_PANCREAS	12	114162346	133777645	7269	3
BXPC3_PANCREAS	13	19212262	46713825	10716	3
BXPC3_PANCREAS	13	46717246	46975365	97	2
BXPC3_PANCREAS	13	47020500	55133037	2410	3
BXPC3_PANCREAS	13	55143426	55359557	64	4
BXPC3_PANCREAS	13	55362867	58367176	550	3
BXPC3_PANCREAS	13	58398419	59459606	283	1
BXPC3_PANCREAS	13	59480337	68696393	2592	3
BXPC3_PANCREAS	13	68699494	68900352	36	2
BXPC3_PANCREAS	13	68907871	68980367	13	1
BXPC3_PANCREAS	13	68980450	77218884	3059	3
BXPC3_PANCREAS	13	77223754	77455891	122	2
BXPC3_PANCREAS	13	77456963	81816010	1413	3
BXPC3_PANCREAS	13	81824427	89014966	1870	2
BXPC3_PANCREAS	13	89017921	97616192	2875	3
BXPC3_PANCREAS	13	97631402	103752904	2475	2
BXPC3_PANCREAS	13	103761044	104069236	177	3
BXPC3_PANCREAS	13	104072100	104464966	194	2
BXPC3_PANCREAS	13	104487370	114175109	4346	3
BXPC3_PANCREAS	13	114192125	114292870	40	1
BXPC3_PANCREAS	13	114302502	115106996	109	3
BXPC3_PANCREAS	14	20224003	107285437	27529	3
BXPC3_PANCREAS	15	20143409	102400037	25486	3
BXPC3_PANCREAS	16	91010	901174	124	3
BXPC3_PANCREAS	16	910950	1336438	58	2
BXPC3_PANCREAS	16	1349209	19108647	7104	3
BXPC3_PANCREAS	16	19109992	19953447	281	2
BXPC3_PANCREAS	16	19973868	34441795	2815	3
BXPC3_PANCREAS	16	34470704	34739571	30	4
BXPC3_PANCREAS	16	34757071	78634051	10121	3
BXPC3_PANCREAS	16	78642806	78679533	34	2
BXPC3_PANCREAS	16	78682507	78926018	229	3
BXPC3_PANCREAS	16	78926616	79064194	145	2
BXPC3_PANCREAS	16	79067740	90163275	6076	3
BXPC3_PANCREAS	17	6888	54158456	12939	2
BXPC3_PANCREAS	17	54163047	54172591	12	0
BXPC3_PANCREAS	17	54173463	81049726	7190	2
BXPC3_PANCREAS	18	100949	48334741	15033	2
BXPC3_PANCREAS	18	48340687	49371058	367	0
BXPC3_PANCREAS	18	49379310	62144330	4485	2
BXPC3_PANCREAS	18	62155737	62630715	159	0
BXPC3_PANCREAS	18	62639031	75302838	5097	2
BXPC3_PANCREAS	18	75309623	76571723	506	0
BXPC3_PANCREAS	18	76590545	78015057	341	2
BXPC3_PANCREAS	19	260970	24505637	4201	2
BXPC3_PANCREAS	19	27828664	59095126	7355	4
BXPC3_PANCREAS	20	69408	14705888	6166	4
BXPC3_PANCREAS	20	14718196	14897590	58	2
BXPC3_PANCREAS	20	14899421	14923390	21	1
BXPC3_PANCREAS	20	14940687	15341935	171	2
BXPC3_PANCREAS	20	15345695	15436002	56	1
BXPC3_PANCREAS	20	15443446	15497646	38	2
BXPC3_PANCREAS	20	15512552	62912463	15916	4
BXPC3_PANCREAS	21	14595264	42811395	10512	2
BXPC3_PANCREAS	21	42814495	43644331	383	0
BXPC3_PANCREAS	21	43650387	48084820	1376	2
BXPC3_PANCREAS	22	16055207	25661698	2218	2
BXPC3_PANCREAS	22	25664249	25918709	74	4
BXPC3_PANCREAS	22	25925078	51199978	8855	2
CADOES1_BONE	1	564621	187020780	48389	2
