HGNC symbol	MGI symbol
PLEKHN1	Plekhn1
RNU6-103P	Gm23656
BNIP3L	Bnip3l
RNU6-1053P	Gm24905
SCARNA3	Gm22387
RNU2-1	Gm22973
FCF1	Fcf1
SNORA35	Snora35
MNS1	Mns1
LBH	Lbh
CADM2	Cadm2
FERMT2	Fermt2
MFAP5	Mfap5
RNU6-663P	Gm22845
HINT3	Hint3
THRSP	Thrsp
HINT1	Hint1
CD151	Cd151
	Gm27718
	Gm26389
	Gm24206
	Gm25710
	Gm24639
	Gm24799
	Gm24983
KRTAP10-2	Gm7137
RNU6-1102P	Gm24817
NACAD	Nacad
NEK1	Nek1
SLC18A1	Slc18a1
SNORA72	Gm24523
HIST2H3C	Hist1h3b
WIPF1	Wipf1
RNF7	Gm7075
RNA5SP270	n-R5s197
GPR12	Gpr12
TBCEL	Tbcel
ZC3HAV1	Zc3hav1
	Gm22993
TSPAN15	Tspan15
RN7SKP209	Gm26069
RNU6-1017P	Gm26178
TMEM212	Tmem212
WDR75	Wdr75
PLEKHG2	Plekhg2
RNU6-665P	Gm24477
RNU6-839P	Gm25217
HFE2	Hfe2
NDUFB11	Ndufb11
RET	Ret
	Gm22584
SEMA3A	Sema3a
ANKRD6	Ankrd6
ASPN	Aspn
KRTAP10-5	Gm7137
VCAM1	Vcam1
RNU6-215P	Gm22883
RNU6-215P	Gm25839
PTGS2	Ptgs2
NUP62CL	Nup62cl
SNORD83A	Gm22077
REV1	Rev1
	Gm26293
TBC1D5	Tbc1d5
RNA5SP299	n-R5s197
RASGRP1	Rasgrp1
RNU6-643P	Gm26104
KRTAP10-10	Gm3233
KRTAP10-10	Gm7138
	Gm24134
	Gm27940
RNA5SP36	Gm26152
RNU6-1283P	Gm25307
SNORA25	Gm22743
ZFHX4	Zfhx4
ACOT1	Acot5
ASF1A	Asf1a
OR10A6	Olfr512
CACNG6	Cacng6
	Gm24000
RNU6-1252P	Gm24846
	Gm27660
	Gm24877
	Gm23472
RNU1-74P	Gm24446
RNU1-74P	Gm25153
RNA5SP301	Gm23821
	Gm24216
	Gm24075
	Gm24326
	Gm23608
	Gm23132
	Gm26404
	Gm24994
	Gm23311
	Snora17
PNPLA6	Pnpla6
SNORD116-21	Gm22373
FAM136A	Fam136b-ps
RNU6-285P	Gm22935
KRTAP10-4	Gm3233
KRTAP10-4	Gm7138
RNU6-626P	Gm24474
SNORD42B	Snord42b
RNA5SP227	n-R5s6
SNORA29	Gm25215
RNU6-143P	Gm22975
SNORD116-19	Gm22373
SNORD116-15	Gm22373
KRTAP10-12	Gm3233
KRTAP10-12	Gm7138
RNU7-50P	Gm27393
RNU7-50P	Gm22339
RNU7-50P	Gm26151
RNU7-50P	Gm27396
RNU7-50P	Gm23779
KRTAP10-3	Gm3233
KRTAP10-3	Gm7138
RNA5SP234	n-R5s218
KRTAP10-11	Gm3233
KRTAP10-11	Gm7138
ZNF382	Zfp382
SNTG1	Sntg1
RNA5SP364	Gm23381
RNA5SP364	Gm24772
RNU6-1172P	Gm22381
	Gm22988
	Gm23168
	Gm23839
RNU6-327P	Gm23167
OR5P2	Olfr495
RNA5SP188	Gm24786
ALYREF	Gm9476
ALYREF	Gm4781
RNU12-2P	Rnu12
RNU6-672P	Gm23144
RNU6-15P	Gm23137
	Gm27741
SNORD116-17	Gm22373
SNORD113-9	Gm24899
RNU6-582P	Gm22003
RNU6-677P	Gm25522
RNU6-745P	Gm22301
	Gm22451
RNU6-1127P	Gm24668
RNU6-7	Gm24859
OR10A3	Olfr512
RNU6-1322P	Gm22935
	Gm27507
CCDC168	Gm8251
	Gm22353
SNORD89	Snord89
RNA5SP192	Gm23806
SNORD116-12	Gm22373
RNU6-752P	Gm24668
RNU6-1189P	Gm22107
RNA5SP176	Gm23473
	Gm27611
SNORD116-13	Gm22373
RNU6-605P	Gm23585
	Gm27511
ACOT2	Acot5
RNU2-20P	Gm23628
RNU6-1313P	Gm22165
KRTAP10-1	Gm3233
KRTAP10-1	Gm7138
RNU6-409P	Gm24846
PRTN3	Prtn3
SNORA66	Gm22480
SCARNA3	Scarna3b
RNU2-1	Gm23472
RNU12	Rnu12
RPS28	Gm10263
VWA9	Vwa9
SNORD11B	Gm26287
RNU6-1131P	Gm24668
SPSB3	Spsb3
RN7SKP103	Gm22026
RNU6-135P	Gm24474
RNU6-501P	Gm24668
RN7SKP175	Rn7sk
RNU6-976P	Gm25563
SNORD116-18	Gm22373
CACHD1	Cachd1
RNU7-193P	Gm23763
	Gm23386
	Gm10784
RNU6-22P	Gm25671
RNU6-1164P	Gm25671
RNA5SP332	Gm28001
	Gm22906
	Gm25574
	Gm25072
RNA5SP515	n-R5s89
	Gm27980
SNORD116-16	Gm22373
RNU6-1215P	Gm22935
	Snora69
RN7SKP164	Gm24734
SNORA69	Snora69
RNA5SP245	Gm28001
RUSC1	Rusc1
RNU6-1228P	Gm25793
SCARNA21	Gm22442
KRTAP12-3	Gm10024
KRTAP12-3	Gm10272
C2CD4C	C2cd4c
RNA5SP96	Gm25974
	Gm27640
RNU6-1087P	Gm25522
	Gm22504
SNORD62B	Gm25632
	Gm22131
	Gm22173
	Gm26433
	Gm24742
	Gm27528
RNU6-100P	Gm24474
KRTAP10-5	Gm3233
KRTAP10-5	Gm7138
CEACAM21	Ceacam5
RNU2-31P	Gm25106
RNU6-215P	Gm24836
RNU6-787P	Gm26487
IER3IP1	Gm10784
GMNN	Gmnn
	Gm22293
	Gm24420
RNU6-1024P	Gm22975
RNU6-985P	Gm26104
	Gm24165
RNU6-908P	Gm25895
SNORA48	Gm22988
SNORA48	Gm23168
C11orf71	Gm5617
KRTAP10-8	Gm3233
KRTAP10-8	Gm7138
SCARNA16	Gm26083
GJA1	Gja1
RNA5SP280	Gm28001
FAM105A	Fam105a
SNORA80B	Gm22748
	Gm25223
MRGPRE	Mrgpre
SNORD116-11	Gm22373
RNU6-595P	Gm24474
RNU6-565P	Gm25897
RN7SKP54	Gm25545
OAS1	Oas1f
RNU6-430P	Gm23316
RPL7A	Rpl7a-ps3
KRTAP10-6	Gm3233
KRTAP10-6	Gm7138
PAIP2B	Paip2b
RN7SKP180	Gm24545
SGCG	Sgcg
RNU6ATAC29P	Gm24922
KRTAP12-1	Gm10024
KRTAP12-1	Gm10272
	Gm27582
TRDN	Trdn
LCE3B	Lce3c
RNU6-1107P	Gm25186
RNU6-1012P	Gm24225
KRTAP12-2	Gm10024
KRTAP12-2	Gm10272
KRTAP10-9	Gm3233
KRTAP10-9	Gm7138
	Gm23763
SPIN2A	Gm20777
RNU6-444P	Gm24668
RN7SKP277	Gm23501
UGDH	Ugdh
MOB3A	Mob3a
RNU2-38P	Gm22451
RN7SKP281	Gm24545
RNU6-678P	Gm24668
IGF2BP1	Igf2bp1
ADGRB2	Adgrb2
RNA5SP193	n-R5s218
KRTAP10-7	Gm3233
KRTAP10-7	Gm7138
RNA5SP354	Gm24786
RNU6-832P	Gm26441
	Snord83b
	Gm27315
RNU6-105P	Gm23337
RN7SK	Rn7sk
RNU6-226P	Gm24668
	Kcne1
SNORD49A	Snord49a
RNU6-547P	Gm23258
SNORD36A	Gm24134
LRRN4	Lrrn4
SNORD116-10	Gm22373
RN7SKP285	Gm25277
	Gm27393
	Gm22339
	Gm26151
	Gm27396
	Gm23779
	Gm22298
ACOT6	Acot6
	Gm20654
MRPS30	Mrps30
DPPA5	Gm10112
ZDHHC13	Zdhhc13
SPINK5	Spink5
RNU6-874P	Gm24474
ODF3L1	Odf3l1
	Snord45c
RNU6-157P	Gm26402
SOD1	Sod1
RNU6-1226P	Gm23623
RNU6-997P	Gm24296
RN7SKP3	Gm24893
RNA5SP296	n-R5s74
KLHL9	Klhl9
RNA5SP205	Gm23821
SNORD116-14	Gm22373
RNA5SP220	Gm23023
RNU6-673P	Gm25047
RNU6-914P	Gm26203
KCNJ6	Kcnj6
RNU6-454P	Gm23585
SNORD1C	Gm24253
SLC29A3	Slc29a3
RNU6-383P	Gm25875
RN7SKP292	Rn7sk
RNU6-169P	Gm22935
BTG4	Btg4
VPS54	Vps54
RNU6-764P	Gm26271
CEACAM3	Ceacam5
SNORD118	Gm24208
RNU6-1138P	Gm24668
RN7SKP187	Rn7sk
ATF5	Atf5
	Gm27803
	Gm22331
	Gm25870
	Gm25463
	Gm24926
	Gm24220
	Gm24040
	Gm22629
	Gm25823
RNU6-437P	Gm23390
KRTAP10-2	Gm3233
KRTAP10-2	Gm7138
RNA5SP45	Gm22731
RNA5SP94	Gm23667
SNORD116-22	Gm22373
RNU6-1151P	Gm23337
RNU6-1093P	Gm24668
RNU1-87P	Gm24014
RNU6-1274P	Gm24668
	Gm27927
SNORD12B	Gm24123
SPIN2B	Gm20777
RNU6-799P	Gm26441
SNORD116-23	Gm22373
SNORD45C	Snord45c
RNU6-668P	Gm24851
SNORD116-24	Gm22373
RN7SKP158	Gm23885
RN7SKP158	Gm25807
SNORD116-20	Gm22373
RNU6-755P	Gm26412
SNORD83B	Snord83b
CPLX3	Cplx3
RN7SKP287	Gm26348
RNU1-104P	Gm23240
NDUFC1	Ndufc1
CEACAM4	Ceacam5
RNU6-54P	Gm24474
RNU6-871P	Gm25828
SIX3	Six3
SUB1	Sub1
	Gm28011
	Gm27337
NPNT	Npnt
	Gm27285
RNU6-341P	Gm24668
KCNE1	Kcne1
RNU6-208P	Gm24668
XPNPEP2	Xpnpep2
LPCAT4	Lpcat4
RNU6-861P	Gm24225
RNA5SP390	Gm28001
RNU1-7P	Gm22979
	Gm27588
	Gm24993
	Gm23556
RN7SKP229	Gm25319
RN7SKP182	Gm23867
RN7SKP288	Gm23533
RNU6ATAC42P	Gm23664
SNORA43	Snhg7
	Gm27362
RNU1-132P	Gm22611
SRXN1	Srxn1
RN7SKP297	Gm24290
RNU6-1252P	Gm24783
RNU6-1252P	Gm23516
RNU6-727P	Gm25337
	Gm23126
	Gm23223
	Gm22934
	Gm25227
	Gm26182
	Gm24281
	Gm24986
	Gm22594
	Gm25880
	Gm22429
RNU6-648P	Gm25371
RNU6-831P	Gm25634
	Gm22199
RNU6-35P	Gm26125
	Gm22489
RFT1	Rft1
RNU6-570P	Gm25930
RNU6-426P	Gm25609
	Gm23012
	Snora24
	Gm27540
RNU7-50P	Gm26482
RNU7-50P	Gm27934
RNU7-50P	Gm25424
RNU7-50P	Gm27649
RNU7-50P	Gm24440
RNU11-6P	Gm22472
MIR1302-9	Gm25317
SCARNA8	Scarna8
RNA5SP234	n-R5s8
RNA5SP501	Gm24976
RNU4-37P	Gm23672
SNORA24	Gm23012
SNORA24	Snora24
	Gm27390
	Gm25318
SNORA58	Mir3068
RNU6-1285P	Gm22281
	Gm23343
	Gm23546
	Gm22554
	Gm25569
	Gm26036
SNORD82	Snord82
KLC4	Klc4
RNA5SP274	Gm22790
RANBP2	Ranbp2
RNH1	Rnh1
RNU6-964P	Gm25337
SNORD17	Snord17
BHLHE23	Bhlhe23
	Gm27937
RN7SKP226	Gm23867
SNORA53	Gm24119
UBE2F-SCLY	Gm5434
	Lppr3
	Mir3068
RNA5SP378	n-R5s10
	Mir1839
UBALD2	Gm7367
SLC35A5	Slc35a5
SCARNA23	Gm23557
RNU6-1321P	Gm25684
RNU6-234P	Gm26187
OSCAR	Oscar
	Gm25317
RPL18A	Gm17541
	Gm27798
	Gm27688
RNA5SP372	Gm24741
CASD1	Casd1
RNU6-790P	Gm25516
RNU6-1139P	Gm26359
	Gm27901
RN7SL237P	Gm24812
SNORD96A	Snord96a
RNY1P7	Gm22199
	Gm25388
	Gm25967
DOK3	Dok3
RNA5SP176	n-R5s207
GRB10	Grb10
SNORD96B	Snord96a
RNU6ATAC25P	Gm23664
RCC1	Rcc1
RN7SKP243	Gm26035
RN7SKP272	Gm25971
RNU6-409P	Gm24783
RNU6-409P	Gm23516
RNU6-949P	Gm22549
FERMT1	Fermt1
LRP1B	Lrp1b
	Gm24826
RNU1-21P	Gm22155
RNU6-784P	Gm23293
	Gm25369
	Gm23182
RN7SL838P	Gm23153
RNU1-85P	Gm25004
TBC1D2	Tbc1d2
RN7SKP262	Gm23867
SNORA7A	Gm27607
AREL1	Arel1
RNU6ATAC40P	Gm24940
BACE2	Bace2
RNA5SP321	Gm24189
LCLAT1	Lclat1
CLASRP	Clasrp
RNU6-1164P	Gm23307
RNU6-1164P	Gm22638
RNU6-1164P	Gm23355
RNU6-1337P	Gm23196
SCARNA17	Gm25913
	Gm27544
	Gm27483
TBXAS1	Tbxas1
	Gm22156
RNU6-514P	Gm23216
	Gm25139
RNA5SP266	Gm25885
GLIPR2	Glipr2
RNU6-729P	Gm25023
RNA5SP156	Gm23380
RN7SKP48	Gm25782
RN7SKP230	Gm23867
	Gm23357
	Gm24658
	Gm25350
	Gm22110
	Gm26270
	Gm26032
	Gm22863
	Gm26365
RNU6-354P	Gm26065
RNU6-375P	Gm23025
ATP6V1E1	Atp6v1e1
RNU6-413P	Gm22070
RNU6-215P	Gm25881
RNU6-215P	Gm25423
DNAJC5G	Dnajc5g
SNORD61	Snord61
RNU6ATAC27P	Gm22105
MTIF2	Mtif2
MIR1302-11	Gm25317
SACS	Sacs
	Gm25011
RNA5SP189	Gm22535
RNA5SP189	n-R5s219
NOC2L	Noc2l
	Gm27733
FGF10	Fgf10
TSTA3	Tsta3
VWC2L	Vwc2l
RNU1-23P	Gm22826
NOTUM	Notum
RNU6-419P	Gm25794
RN7SKP102	Gm23867
TEKT5	Tekt5
IGSF6	Igsf6
SNORD34	Snord34
RNU6-1312P	Gm22885
MRPL19	Mrpl19
SNORD113-6	Gm24564
NNT	Nnt
	Gm23615
RNU1-56P	Gm22826
RBMY1F	Gm21693
RBMY1F	Gm21708
OR2T4	Olfr325
NMRAL1	Nmral1
RNA5SP442	n-R5s3
RNU6-558P	Gm22549
RNU11-3P	Gm22472
OR2T29	Olfr325
ADPGK	Adpgk
RNU4ATAC	Gm22710
MIR1302-2	Gm25317
RNU6-384P	Gm25493
RNU6-384P	Gm23194
RNU6-1	Gm24967
KCTD14	Kctd14
RNU6-1260P	Gm22090
RNU6-1227P	Gm22070
SNORD114-14	Gm23787
RN7SKP228	Gm23867
RNA5SP357	n-R5s92
RNU6-84P	Gm23865
RNU6-780P	Gm26359
	Gm25663
RNA5SP193	n-R5s8
	Snora16a
PSMA5	Gm8394
RN7SKP194	Gm24685
CD28	Cd28
RNU6-248P	Gm22885
RNU1-72P	Gm25134
	Gm26482
	Gm27934
	Gm25424
	Gm27649
	Gm24440
MRPS12	Mrps12
DNM2	Dnm2
	Gm27365
IL4I1	Il4i1
TEAD3	Tead3
CDKN1C	Cdkn1c
DIS3	Dis3
	Gm24275
RN7SKP263	Gm23867
RNA5SP488	n-R5s92
RNA5SP23	n-R5s201
KANK1	Kank1
RNA5SP296	Gm22527
RABGEF1	Rabgef1
SNORA71E	Gm25187
EFHB	Efhb
RN7SKP75	Gm23867
RNU6-325P	Gm23819
OR11L1	Olfr323
RBMY1J	Gm21693
RBMY1J	Gm21708
RNU6-329P	Gm25020
RNU6-1306P	Gm23196
RN7SKP8	Gm23867
ASPRV1	Asprv1
	Gm27999
	Gm25134
SNRPD1	Snrpd1
SNORD114-6	Gm23347
ANXA13	Anxa13
	Gm22661
RNU6-129P	Gm24775
RNU6-709P	Gm26437
RBMY1A1	Gm21693
RBMY1A1	Gm21708
SNORD20	Gm24148
	Gm24147
SPIN2B	Gm5926
SPIN2B	Gm2854
NUDT19	Nudt19
RNU6-183P	Gm25622
CX3CR1	Cx3cr1
RN7SKP161	Gm23867
FAM178B	Fam178b
RNU6-625P	Gm23197
ZNF546	Zfp780b
UBE2F	Gm5434
PHKA1	Phka1
RNU6-182P	Gm24842
RNU6-14P	Gm26314
RNA5SP212	n-R5s187
SNORA54	Gm23297
SNORA16B	Snora16a
FABP3	Fabp3-ps1
SNORA2B	Gm22704
RNU6-786P	Gm22602
OR7G3	Olfr832
RN7SKP126	Gm23867
RNA5SP248	n-R5s92
AGO4	Ago4
RN7SKP289	Gm25717
RN7SKP279	Gm26477
HDGF	Hdgf
RNU6-610P	Gm26065
RNU6-218P	Gm25371
RNU6-1272P	Gm22607
YTHDF1	Ythdf1
RNU6-915P	Gm24678
RNU6-43P	Gm23293
RBMY1B	Gm21693
RBMY1B	Gm21708
RNU6-281P	Gm23378
RNU4-43P	Gm24594
SNORD100	Snord100
ACBD6	Acbd6
NDUFA3	Ndufa3
RN7SKP189	Gm23867
	Gm27875
RNU1-49P	Gm23230
RNU6-520P	Gm22070
RNU6-1247P	Gm23645
SNORD24	Gm23969
	Psenen
RNU6-670P	Gm25457
RN7SKP121	Gm23867
	Gm27753
SMS	Sms
RNU6-267P	Gm25414
	Gm25907
RNU6-968P	Gm25929
	Rft1
	Gm27668
VMA21	Vma21-ps
TNFAIP3	Tnfaip3
OSBPL6	Osbpl6
MEMO1	Memo1
RNA5SP287	n-R5s201
RNA5SP318	n-R5s14
RNA5SP318	n-R5s16
RNU6-711P	Gm25337
SNORD114-17	Gm25854
	Gm25107
B2M	B2m
	Gm27636
SNORD114-3	Gm25854
SNORA79	Gm25776
FSTL1	Fstl1
RN7SKP68	Gm23867
RNU6-582P	Gm22756
RNU6-582P	Gm26454
RNU6-108P	Gm25867
RNU6-280P	Gm22062
RNU6-1221P	Gm22062
RNU6-677P	Gm23901
RNU6-677P	Gm24226
B3GNT8	B3gnt8
RNU6-154P	Gm23298
LRGUK	Lrguk
IFT80	Ift80
BTBD10	Btbd10
RNU6-1288P	Gm26187
RN7SKP160	Gm25782
RNU6-67P	Gm23410
RNU6-67P	Gm25450
RNU6-178P	Gm22549
SLC25A18	Slc25a18
RNU6-591P	Gm23041
PSENEN	Psenen
SNORA33	Snora33
OR2T5	Olfr325
RNA5SP27	n-R5s69
RNA5SP74	n-R5s151
HIST1H3B	Hist1h3a
RBMY1D	Gm21693
RBMY1D	Gm21708
SLC18A3	Slc18a3
	Gm25544
RNU1-51P	Gm25134
RN7SKP185	Gm25782
SCARNA3	Scarna3a
ISLR2	Islr2
ATAD1	Atad1
NCOA4	Gm6768
RN7SKP127	Gm22667
RNU6-482P	Gm22663
RNA5SP102	n-R5s159
CD300LB	Cd300lb
RNU6-628P	Gm25524
CCL27	Ccl27a
RN7SKP88	Gm25318
DSC3	Dsc3
RNU6-152P	Gm26360
RNU6-663P	Gm23275
RNA5SP371	Gm24189
RN7SKP140	Gm23867
RNU6-521P	Gm25664
	Gm23664
MIR1302-3	Gm25317
RN7SKP118	Gm25782
RNU5F-4P	Gm22265
SNORA72	Gm24061
RNU6-22P	Gm23307
RNU6-22P	Gm22638
RNU6-22P	Gm23355
SNORD110	Snord110
GSR	Gsr
RN7SKP55	Gm25782
RNU6-981P	Gm23293
RNF121	Rnf121
	Gm27596
	Gm24576
	Gm24809
	Gm24061
RN7SKP275	Gm22600
RXFP1	Rxfp1
RNU6-536P	Gm25516
HHLA1	Hhla1
RNU2-15P	Gm23118
	Gm23925
MRGPRG	Mrgprg
RNA5SP217	Gm22094
RNU6-199P	Gm22062
RNU6-1087P	Gm23901
RNU6-1087P	Gm24226
SNORD59A	Snord59a
RNU6-8	Gm23296
RNU6-8	Gm24019
RNU6-1198P	Gm23463
COIL	Coil
RNU6-826P	Gm25930
RNU6-168P	Gm26437
SNORA7B	Gm27607
SNORD10	Gm25835
AP3B1	Ap3b1
SNORD33	Snord33
	Gm23451
	Gm25859
	Gm23939
DIO1	Dio1
	Gm27607
TGIF2	Tgif2
SNORD70	Snord70
USP25	Usp25
SNORA48	Gm23343
SNORA48	Gm23546
SNORA48	Gm22554
SNORA48	Gm25569
SNORA48	Gm26036
	Gm24379
RNA5SP218	n-R5s92
SNORD97	Gm23262
RNA5SP522	n-R5s92
RNU6-410P	Gm23504
ACVR2B	Acvr2b
TEX9	Tex9
RN7SL116P	Gm23153
CADM3	Cadm3
RN7SKP174	Gm25782
MSANTD4	Msantd4
RNA5SP48	Gm23065
RN7SKP144	Gm22058
RNA5SP67	Gm25923
SCIN	Scin
RBMY1E	Gm21693
RBMY1E	Gm21708
SLC16A2	Slc16a2
PIGC	Pigc
SNORA75	Snora75
	Gm27326
SNORA16A	Gm23454
ZBTB7B	Zbtb7b
PDE8B	Pde8b
TCF15	Tcf15
RNU6-502P	Gm23453
RNA5SP358	n-R5s92
SPIN2A	Gm5926
SPIN2A	Gm2854
RNU6-422P	Gm23293
RNU6-559P	Gm23219
NTNG1	Ntng1
RNU6-542P	Gm23819
RNU6-1179P	Gm23148
RNU1-80P	Gm22826
RNU6-1115P	Gm23197
RXFP4	Rxfp4
TRAV19	Trav16
PUS1	Pus1
TKT	Tkt
RAB24	Rab24
RNU6-87P	Gm22796
RNU6-1264P	Gm23196
A1BG	A1bg
C1orf105	4930558K02Rik
	Mir5117
LY6H	Ly6h
RNU6-598P	Gm23460
RNU6-261P	Gm24198
RN7SKP227	Gm25782
RN7SL454P	Gm23153
	Gm26326
VDAC3	Vdac3-ps1
RNU1-93P	Gm22248
RNU6-162P	Gm25414
RNA5SP108	Gm25966
	Gm22588
RN7SKP240	Gm23867
TRIM69	Trim69
SEPT9	Sept9
RNA5SP182	n-R5s159
GUF1	Guf1
RNU6-764P	Gm25619
RN7SKP238	Gm23743
	Gm22510
	Gm26366
	Gm22111
	Gm26467
	Gm26498
	Gm23254
	Gm26466
	Gm26284
	Gm26283
	Gm26337
	Gm25194
	Gm23471
	Gm24872
	Gm25462
	Gm22996
	Gm23286
	Gm24306
	Gm22524
	Gm26230
	Gm22909
	Gm24219
	Gm22255
	Gm24310
	Gm22496
SNORA36B	Snora36b
SNORD15A	Snord15a
	Gm25854
RNA5SP509	n-R5s77
RN7SKP6	Gm23867
FAM205A	Gm21093
SNORD12B	Gm23201
	Terc
RPLP1	Gm17511
RNA5SP521	n-R5s92
SCARNA13	Scarna13
RNU6-395P	Gm25371
RNU6-61P	Gm23412
RNU6-904P	Gm22078
STK31	Stk31
TRIM58	Trim58
NRGN	Nrgn
STYXL1	Styxl1
RNA5SP468	Gm27362
RNU6-336P	Gm25371
GM2A	Gm2a
	Gm25782
RNU6-250P	Gm23106
SNORD37	Snord37
ZNF655	Zfp655
