group,omics,auc,len
Trafficking:Golgi:Anterograde Golgi vesicle transport,Transcriptomics,0.548671095162,231
Clearance:UPS:Ubiquitome:Ubiquitin-binding,Proteomics,0.547508734479,66
Folding:Chaperome:ER:Calnexins,Proteomics,0.546957420635,3
Clearance:UPS:Ubiquitome:DUB,Proteomics,0.542563517898,1035
Trafficking:ER,Transcriptomics,0.54215098875,666
Trafficking:Golgi:Retrograde Golgi vesicle transport,Transcriptomics,0.539991773884,210
PN-signaling:Other:Membrane,Transcriptomics,0.537960373242,10
Folding:Chaperome:HSP40:Co-chaperones:Co-Hsp70:DnaJ,Transcriptomics,0.53642683118,378
Trafficking:Endo/Exo:Endosome,Proteomics,0.535411434204,1485
Folding:Chaperome:TPR:Co-chaperones:Co-Hsp70/Hsp90,Proteomics,0.534994758415,1653
Folding:Chaperome:HSP90:Co-chaperones:Co-Hsp90:Immunophilins/Cyclophilins,Proteomics,0.533800352674,91
Clearance:UPS:Ubiquitome:Ubiquitination:Ubiquitin-ligase activity:Other,Proteomics,0.532584777095,378
Folding:Chaperome:HSP90:Co-chaperones:Co-Hsp90:Immunophilins/FKBPs,Proteomics,0.528030488185,78
PN-metabolism:Lipid metabolism:ER,Transcriptomics,0.526154469777,171
Trafficking:Endo/Exo:Exocytosis,Proteomics,0.526040142019,10
Clearance:UPS:Ubiquitome:Ubiquitination:E1 ubiquitin-activating enzyme,Transcriptomics,0.524143619014,28
Clearance:Autophagy,Transcriptomics,0.522719569406,595
Folding:Chaperome:TPR:Co-chaperones:Co-Hsp70/Hsp90,Transcriptomics,0.520441744279,1653
Trafficking:Golgi:Golgi membrane,Transcriptomics,0.519740360747,561
Clearance:UPS:Ubiquitome:Ubiquitin-binding,Transcriptomics,0.518635986184,66
Clearance:UPS:Ubiquitome:Other,Transcriptomics,0.518392856237,1225
PN-signaling:Stress response:UPR,Transcriptomics,0.518308842795,28
PN-signaling:Stress response:OSR,Proteomics,0.51566247823,741
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Other:Other,Proteomics,0.514532928645,666
Trafficking:Endo/Exo:Endosome,Transcriptomics,0.513118473772,1485
Clearance:Proteolysis,Transcriptomics,0.512447424144,78
PN-signaling:Stress response:OSR,Transcriptomics,0.509070949079,741
Clearance:Autophagy,Proteomics,0.506589507866,595
Folding:Chaperome:HSP90:Co-chaperones:Co-Hsp90:Immunophilins/FKBPs,Transcriptomics,0.506192454463,78
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Other:SCF complex,Transcriptomics,0.505036775448,105
Trafficking:Golgi:Golgi vesicle,Transcriptomics,0.50485626709,2850
Folding:Chaperome:ER:Calnexins,Transcriptomics,0.504817095294,3
Folding:Chaperome:HSP70:HSP70s,Proteomics,0.501203689241,36
Trafficking:Endo/Exo:Exocytosis:ER,Proteomics,0.500354817221,78
Trafficking:Endo/Exo:Exocytosis:ER,Transcriptomics,0.497560275468,78
Trafficking:Golgi:Other,Transcriptomics,0.495832387682,1653
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Other:HECT domain,Proteomics,0.494725084804,15
Clearance:UPS:Ubiquitome:Ubiquitination:Ubiquitin-ligase activity:Ring finger,Proteomics,0.493253692186,91
Folding:Chaperome:ER,Transcriptomics,0.491253689501,36
Trafficking:Endo/Exo:Exocytosis,Transcriptomics,0.485943530662,10
Trafficking:Golgi:Other,Proteomics,0.48272011244,1653
Clearance:UPS:Ubiquitome:Autophagy,Transcriptomics,0.478775816909,15
Clearance:UPS:Ubiquitome:Ubiquitin:Ubiquitin-like protein,Proteomics,0.471364700073,15
Folding:Chaperome:HSP70:HSP70s,Transcriptomics,0.469800127783,36
Clearance:UPS:Ubiquitome:Ubiquitination:Ubiquitin-ligase activity:ZBTB family,Transcriptomics,0.469097983144,6
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Cullin-complexes:Cul4 complex,Transcriptomics,0.466367920477,15
Clearance:UPS:Ubiquitome:Autophagy,Proteomics,0.465977017047,15
Clearance:ERAD,Transcriptomics,0.464805448881,10
PN-signaling:Other:ER,Transcriptomics,0.464540371747,6
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Other:Ring finger,Proteomics,0.454784757948,10
Folding:Protein stabilization,Proteomics,0.449367123064,21
Folding:Protein stabilization,Transcriptomics,0.446837509242,21
Clearance:UPS:Ubiquitome:Ubiquitination:Ubiquitin-ligase activity:ZBTB family,Proteomics,0.441743727146,6
PN-metabolism:RedOx:ER,Transcriptomics,0.410551878086,6
Trafficking:Cytoskeleton,Proteomics,0.395679997338,6
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Other:Ring finger,Transcriptomics,0.388653479216,10
Folding:Chaperome:MITO:Prohibitin,Transcriptomics,0.380152279251,3
Trafficking:MITO,Transcriptomics,0.362562233114,3
Clearance:UPS:Ubiquitome:Ubiquitination:E3 ubiquitin-ligase:Other:APC/C,Transcriptomics,0.353641580616,6
PN-metabolism:Cytochrome P450:ER,Proteomics,0.310403423009,3
PN-metabolism:Cytochrome P450:ER,Transcriptomics,0.240204255575,3
