protein,type,pval,fdr
PRSS1,2.0,0.0122036264872,0.429333965887
PDK2,2.0,0.0146622549153,0.436101270489
PPP1R9B,2.0,0.0146622549153,0.436101270489
CTNNBL1,2.0,0.0150749788985,0.436101270489
PCCA,2.0,0.0150577423613,0.436101270489
CHCHD6,2.0,0.0135552802005,0.436101270489
ITGA3,2.0,0.0146622549153,0.436101270489
NDUFS5,2.0,0.0135792208977,0.436101270489
RBMS1,2.0,0.0140011975666,0.436101270489
PRKCSH,2.0,0.0143094979142,0.436101270489
OSCP1,2.0,0.0145496821719,0.436101270489
HSPB11,2.0,0.0154085689534,0.436101270489
RPL22L1,2.0,0.0152967308018,0.436101270489
HOOK1,2.0,0.0156927883847,0.436101270489
COL1A1,2.0,0.0146622549153,0.436101270489
PLXNA1,2.0,0.0135552802005,0.436101270489
MRPS15,2.0,0.0145496821719,0.436101270489
SSBP3,2.0,0.0154085689534,0.436101270489
PPIE,2.0,0.0156700694752,0.436101270489
MRPL37,2.0,0.0154085689534,0.436101270489
FGGY,2.0,0.013941720327,0.436101270489
UBA5,2.0,0.0136114206581,0.436101270489
CNN1,2.0,0.0143094979142,0.436101270489
KAT7,2.0,0.0146622549153,0.436101270489
PABPC4,2.0,0.0156700694752,0.436101270489
ECSIT,2.0,0.0143094979142,0.436101270489
ZNF24,2.0,0.0181428640931,0.445839634844
TTC4,2.0,0.0193323027804,0.445839634844
MACF1,2.0,0.0178732794598,0.445839634844
ADPRH,2.0,0.0193439278607,0.445839634844
MAPRE2,2.0,0.0181428640931,0.445839634844
GSK3B,2.0,0.0193439278607,0.445839634844
FSTL1,2.0,0.0193439278607,0.445839634844
SLC25A36,2.0,0.0173552758369,0.445839634844
DHCR24,2.0,0.0193323027804,0.445839634844
LEMD2,2.0,0.0176764064392,0.445839634844
CTTN,2.0,0.0198976376422,0.445839634844
PPP1CB,2.0,0.0200877247027,0.445839634844
PPFIA1,2.0,0.0198976376422,0.445839634844
COX17,2.0,0.0193439278607,0.445839634844
TIMMDC1,2.0,0.0193439278607,0.445839634844
PPIC,2.0,0.0200637818524,0.445839634844
NME2,2.0,0.0178901113856,0.445839634844
FADD,2.0,0.0172456674464,0.445839634844
POGLUT1,2.0,0.0193439278607,0.445839634844
UTP18,2.0,0.0178901113856,0.445839634844
TYK2,2.0,0.0199667316353,0.445839634844
USP24,2.0,0.0193323027804,0.445839634844
CDC37,2.0,0.0199667316353,0.445839634844
CSNK1G3,2.0,0.0200637818524,0.445839634844
ITPR3,2.0,0.0176764064392,0.445839634844
BCAS3,2.0,0.0198231411853,0.445839634844
ITGB6,2.0,0.017084759795,0.445839634844
ITGB5,2.0,0.016420600546,0.445839634844
UMPS,2.0,0.016420600546,0.445839634844
PARS2,2.0,0.0193323027804,0.445839634844
MED24,2.0,0.0207619721675,0.454700940119
PSMD3,2.0,0.0207619721675,0.454700940119
HEATR6,2.0,0.0209258467271,0.455274836358
CASC3,2.0,0.0227012330859,0.48885035283
WIPF2,2.0,0.0227647276492,0.48885035283
SNX4,2.0,0.0235249897031,0.495523190753
ALDH1L1,2.0,0.0235249897031,0.495523190753
SLC41A3,2.0,0.0235249897031,0.495523190753
PKP4,2.0,0.0253599062645,0.498152700778
BPGM,2.0,0.0298087327663,0.498152700778
BTF3L4,2.0,0.0253994005604,0.498152700778
STK39,2.0,0.0282047878722,0.498152700778
RSL1D1,2.0,0.02611404465,0.498152700778
C3orf58,2.0,0.029536251715,0.498152700778
TRMT61B,2.0,0.0283761302909,0.498152700778
PRPF38A,2.0,0.0253994005604,0.498152700778
GSPT1,2.0,0.02611404465,0.498152700778
PCMTD1,2.0,0.0295144291774,0.498152700778
SNF8,2.0,0.02997653083,0.498152700778
CPNE1,2.0,0.0295490659952,0.498152700778
PHB,2.0,0.0286853975941,0.498152700778
ROMO1,2.0,0.0295490659952,0.498152700778
RBM12,2.0,0.0295490659952,0.498152700778
WIPF1,2.0,0.0267316219317,0.498152700778
SP3,2.0,0.0267316219317,0.498152700778
TXNDC12,2.0,0.0253994005604,0.498152700778
ABI3,2.0,0.0265919789381,0.498152700778
GGT7,2.0,0.0293094771624,0.498152700778
NFYC,2.0,0.0253306365783,0.498152700778
ZMPSTE24,2.0,0.0277364067867,0.498152700778
UBE2Z,2.0,0.02997653083,0.498152700778
SLC44A2,2.0,0.0298311848109,0.498152700778
PPT1,2.0,0.0277364067867,0.498152700778
CAP1,2.0,0.0277364067867,0.498152700778
KTI12,2.0,0.0253994005604,0.498152700778
ACPP,2.0,0.0257512185445,0.498152700778
WDR43,2.0,0.0283761302909,0.498152700778
CALCOCO2,2.0,0.02997653083,0.498152700778
MYLK,2.0,0.0240940609828,0.498152700778
PCTP,2.0,0.0296493902817,0.498152700778
APOH,2.0,0.0260059352965,0.498152700778
CC2D1B,2.0,0.0253994005604,0.498152700778
DNAJC13,2.0,0.0257512185445,0.498152700778
RBM39,2.0,0.0295490659952,0.498152700778
NCOA6,2.0,0.0290123115405,0.498152700778
NSUN4,2.0,0.0254156208716,0.498152700778
CTIF,2.0,0.0278128351429,0.498152700778
NFS1,2.0,0.0295490659952,0.498152700778
ACP5,2.0,0.0255384743095,0.498152700778
SMAP2,2.0,0.0277364067867,0.498152700778
KIAA1715,2.0,0.0301558639467,0.498627210358
VARS2,2.0,0.0442852024028,0.498681366103
LUC7L3,2.0,0.0319891315667,0.498681366103
CLTC,2.0,0.0462892139539,0.498681366103
POP4,2.0,0.0372878649974,0.498681366103
DDR1,2.0,0.0442852024028,0.498681366103
TTC39A,2.0,0.0473599939918,0.498681366103
PRRC2A,2.0,0.0417485235578,0.498681366103
SPATA20,2.0,0.0345049288282,0.498681366103
ZC3HAV1L,2.0,0.0424221634542,0.498681366103
TRAPPC3,2.0,0.0441462445918,0.498681366103
THRAP3,2.0,0.0388590277748,0.498681366103
MSI2,2.0,0.0491747266759,0.498681366103
PPP1R18,2.0,0.0442852024028,0.498681366103
TTC26,2.0,0.0424221634542,0.498681366103
SLC44A4,2.0,0.0417485235578,0.498681366103
PPM1H,2.0,0.0331609283769,0.498681366103
ARPC5L,2.0,0.0338473453368,0.498681366103
VEZF1,2.0,0.0493101925357,0.498681366103
CDK12,2.0,0.0305607555617,0.498681366103
DDX42,2.0,0.0454374015389,0.498681366103
MAP7D1,2.0,0.0441462445918,0.498681366103
COIL,2.0,0.0435325124034,0.498681366103
GPRC5A,2.0,0.048228837007,0.498681366103
LASP1,2.0,0.0410428606704,0.498681366103
LRRC59,2.0,0.0345049288282,0.498681366103
OSBPL9,2.0,0.0395158332993,0.498681366103
SRGAP1,2.0,0.0331609283769,0.498681366103
LSM2,2.0,0.0417485235578,0.498681366103
C2,2.0,0.0417485235578,0.498681366103
AGPAT1,2.0,0.0417485235578,0.498681366103
SMARCD2,2.0,0.0454374015389,0.498681366103
ABHD16A,2.0,0.0417485235578,0.498681366103
CAPZB,2.0,0.049291268436,0.498681366103
PSMC5,2.0,0.0454374015389,0.498681366103
DDAH2,2.0,0.0417485235578,0.498681366103
DYNLL2,2.0,0.0493101925357,0.498681366103
APOM,2.0,0.0417485235578,0.498681366103
HSPB6,2.0,0.0373837473219,0.498681366103
AKAP1,2.0,0.0491747266759,0.498681366103
SLC25A12,2.0,0.0464559467874,0.498681366103
TLK2,2.0,0.0479143909789,0.498681366103
ADPRHL2,2.0,0.0441462445918,0.498681366103
GTF2H4,2.0,0.0442852024028,0.498681366103
EPS15,2.0,0.0473599939918,0.498681366103
RPL35,2.0,0.0338473453368,0.498681366103
SEPT4,2.0,0.0325879372056,0.498681366103
PBX2,2.0,0.0417485235578,0.498681366103
MDC1,2.0,0.0442852024028,0.498681366103
ERLIN2,2.0,0.032104495341,0.498681366103
RAB6B,2.0,0.034030026294,0.498681366103
GAPVD1,2.0,0.0462801176975,0.498681366103
RPL19,2.0,0.0352528572844,0.498681366103
PSMB8,2.0,0.0417485235578,0.498681366103
NDUFA9,2.0,0.0458477095381,0.498681366103
SCPEP1,2.0,0.0435325124034,0.498681366103
PLOD2,2.0,0.0430806352592,0.498681366103
FLOT1,2.0,0.0442852024028,0.498681366103
MRPL27,2.0,0.0345049288282,0.498681366103
MAPKAP1,2.0,0.0462801176975,0.498681366103
SPAG9,2.0,0.0431555431137,0.498681366103
TNXB,2.0,0.0417485235578,0.498681366103
VARS,2.0,0.0417485235578,0.498681366103
EHMT2,2.0,0.0417485235578,0.498681366103
AIF1,2.0,0.0417485235578,0.498681366103
OXCT1,2.0,0.0481156057244,0.498681366103
PARP14,2.0,0.0360983300384,0.498681366103
ITGA6,2.0,0.0464559467874,0.498681366103
GOLGA1,2.0,0.0338473453368,0.498681366103
ABCC3,2.0,0.0319891315667,0.498681366103
IFIH1,2.0,0.0458929097105,0.498681366103
PIP4K2B,2.0,0.0410428606704,0.498681366103
C5orf51,2.0,0.0481156057244,0.498681366103
DHX40,2.0,0.0462892139539,0.498681366103
INTS2,2.0,0.0371464286113,0.498681366103
RALGAPB,2.0,0.0346269798333,0.498681366103
GPSM3,2.0,0.0417485235578,0.498681366103
HAT1,2.0,0.0464559467874,0.498681366103
FTSJ3,2.0,0.0454374015389,0.498681366103
CFB,2.0,0.0417485235578,0.498681366103
SMARCA4,2.0,0.0474409709472,0.498681366103
TRIM25,2.0,0.0491747266759,0.498681366103
BAG6,2.0,0.0417485235578,0.498681366103
TRIT1,2.0,0.0372632449575,0.498681366103
HSPA1A,2.0,0.0417485235578,0.498681366103
HSPA1L,2.0,0.0417485235578,0.498681366103
HEBP1,2.0,0.048228837007,0.498681366103
RPL23,2.0,0.0410428606704,0.498681366103
C19orf52,2.0,0.0474409709472,0.498681366103
CSNK2B,2.0,0.0417485235578,0.498681366103
MRPS23,2.0,0.0493101925357,0.498681366103
ZC3HAV1,2.0,0.0424221634542,0.498681366103
SKIV2L,2.0,0.0417485235578,0.498681366103
MPO,2.0,0.0325879372056,0.498681366103
NEU1,2.0,0.0417485235578,0.498681366103
RPS6KB1,2.0,0.0443931760592,0.498681366103
ABCB8,2.0,0.0418239976276,0.498681366103
GCA,2.0,0.0458929097105,0.498681366103
PSMB3,2.0,0.0410428606704,0.498681366103
TUBB,2.0,0.0442852024028,0.498681366103
PTRH2,2.0,0.0462892139539,0.498681366103
TTC21B,2.0,0.0327369516029,0.498681366103
CLIC1,2.0,0.0417485235578,0.498681366103
EPN3,2.0,0.0345049288282,0.498681366103
TAP1,2.0,0.0417485235578,0.498681366103
TAP2,2.0,0.0417485235578,0.498681366103
SUPT4H1,2.0,0.0325879372056,0.498681366103
PSMB9,2.0,0.0417485235578,0.498681366103
PPP1R1B,2.0,0.0305607555617,0.498681366103
NF1,-2.0,0.0447377442422,0.498681366103
JAK1,2.0,0.0376107277748,0.498681366103
SRSF1,2.0,0.0493101925357,0.498681366103
CISD3,2.0,0.0410428606704,0.498681366103
MRC2,2.0,0.0479143909789,0.498681366103
DHX16,2.0,0.0442852024028,0.498681366103
DPP4,2.0,0.0458929097105,0.498681366103
ACSF2,2.0,0.0327965690208,0.498681366103
PROSC,2.0,0.032104495341,0.498681366103
FAP,2.0,0.0458929097105,0.498681366103
LRRC1,2.0,0.0343903583811,0.498681366103
CWC25,2.0,0.0410428606704,0.498681366103
SLC2A1,2.0,0.0453502260299,0.498681366103
GIMAP8,2.0,0.0418239976276,0.498681366103
GIMAP4,2.0,0.0418239976276,0.498681366103
GIMAP7,2.0,0.0418239976276,0.498681366103
GIMAP1,2.0,0.0316748275282,0.498681366103
FBXO4,2.0,0.0481156057244,0.498681366103
PDK1,2.0,0.0464559467874,0.498681366103
ILF3,2.0,0.0505110530543,0.498784300953
CPT2,2.0,0.0523369072968,0.498784300953
FAF1,2.0,0.0523369072968,0.498784300953
SNRPC,2.0,0.0517816946686,0.498784300953
RASA2,2.0,0.0510892283637,0.498784300953
TPK1,2.0,0.0510026682121,0.498784300953
ANKS1A,2.0,0.0517816946686,0.498784300953
UHRF1BP1,2.0,0.0517816946686,0.498784300953
AP1M2,2.0,0.0505110530543,0.498784300953
CDKN2C,2.0,0.0523369072968,0.498784300953
PODN,2.0,0.0523369072968,0.498784300953
C1orf123,2.0,0.0523369072968,0.498784300953
ARHGEF5,2.0,0.0510026682121,0.498784300953
KRI1,2.0,0.0505110530543,0.498784300953
PLS1,2.0,0.0508690308917,0.498784300953
ACOT11,2.0,0.0523369072968,0.498784300953
U2SURP,2.0,0.0508690308917,0.498784300953
QTRT1,2.0,0.0505110530543,0.498784300953
KEAP1,2.0,0.0505110530543,0.498784300953
GPX7,2.0,0.0523369072968,0.498784300953
COX11,2.0,0.0530780603811,0.502948841491
TOM1L1,2.0,0.0530780603811,0.502948841491
DOCK6,2.0,0.053687995357,0.502963741206
SPC24,2.0,0.053687995357,0.502963741206
TMEM205,2.0,0.053687995357,0.502963741206
KANK2,2.0,0.053687995357,0.502963741206
CARM1,2.0,0.0542013984693,0.506339052932
ITFG2,2.0,0.0554136032104,0.513353493904
MRPL21,2.0,0.0554179610898,0.513353493904
FKBP4,2.0,0.0554136032104,0.513353493904
SARS2,2.0,0.0625513570296,0.515301706073
PSMB2,2.0,0.0707553704717,0.515301706073
MED1,2.0,0.0584644586092,0.515301706073
ATP1B3,2.0,0.0571280733668,0.515301706073
MRPS33,2.0,0.0676756534056,0.515301706073
OLA1,2.0,0.060801776156,0.515301706073
SCRN3,2.0,0.060801776156,0.515301706073
GEMIN4,2.0,0.0701495790458,0.515301706073
CHD4,2.0,0.0658149071999,0.515301706073
TSPAN9,2.0,0.0630396119269,0.515301706073
CPA3,2.0,0.0607876121688,0.515301706073
TAPBPL,2.0,0.0658149071999,0.515301706073
SIRT2,2.0,0.0625513570296,0.515301706073
NCAPD2,2.0,0.0658149071999,0.515301706073
COMMD2,2.0,0.0607876121688,0.515301706073
EIF3K,2.0,0.0625513570296,0.515301706073
CIR1,2.0,0.060801776156,0.515301706073
HOOK2,2.0,0.0616820346391,0.515301706073
ZYG11B,2.0,0.0608709219444,0.515301706073
RSF1,2.0,0.0646832543275,0.515301706073
NCDN,2.0,0.0707553704717,0.515301706073
TIMM50,2.0,0.0689782524331,0.515301706073
ZNFX1,2.0,0.0708987832668,0.515301706073
MRPS12,2.0,0.0625513570296,0.515301706073
NXN,2.0,0.0701495790458,0.515301706073
PAXIP1,2.0,0.0583949052931,0.515301706073
PVRL2,2.0,0.0572885816847,0.515301706073
PGM2L1,2.0,0.0675060903099,0.515301706073
GSTK1,2.0,0.0654884984014,0.515301706073
HNRNPL,2.0,0.0625513570296,0.515301706073
PAF1,2.0,0.0689782524331,0.515301706073
IMPACT,2.0,0.0630016278375,0.515301706073
GALNT3,2.0,0.0663427542256,0.515301706073
NUB1,2.0,0.0645233155143,0.515301706073
MRPL45,2.0,0.0628785563948,0.515301706073
EIF2A,2.0,0.0666921107958,0.515301706073
TGM2,2.0,0.0564634572206,0.515301706073
HMGA1,2.0,0.0677525990569,0.515301706073
ABR,2.0,0.0701495790458,0.515301706073
SAMD4B,2.0,0.0689782524331,0.515301706073
NUDT16,2.0,0.0588225335349,0.515301706073
TUBB1,2.0,0.0569312187335,0.515301706073
NPEPL1,2.0,0.0648162897914,0.515301706073
LRRC41,2.0,0.06613955649,0.515301706073
ZYX,2.0,0.0654884984014,0.515301706073
STAU1,2.0,0.0708987832668,0.515301706073
GMPR,2.0,0.0692188225852,0.515301706073
VPS53,2.0,0.0701495790458,0.515301706073
CASP2,2.0,0.0654884984014,0.515301706073
DDX27,2.0,0.0708987832668,0.515301706073
GRB7,2.0,0.0617132601365,0.515301706073
GYG1,2.0,0.0607876121688,0.515301706073
FCGBP,2.0,0.0608696863545,0.515301706073
COX6B1,2.0,0.0643502557296,0.515301706073
GMFG,2.0,0.0689782524331,0.515301706073
MRPL3,2.0,0.0588225335349,0.515301706073
GAPDH,2.0,0.0658149071999,0.515301706073
SNX29,2.0,0.067369926116,0.515301706073
TRIM24,2.0,0.0580228273203,0.515301706073
GNL1,2.0,0.0665427980546,0.515301706073
CUL1,2.0,0.0619035467988,0.515301706073
MRPL51,2.0,0.0658149071999,0.515301706073
RHEB,2.0,0.0645233155143,0.515301706073
ERBB2,2.0,0.0617132601365,0.515301706073
PSMD14,2.0,0.0610904477279,0.515301706073
DNM2,2.0,0.05805009836,0.515301706073
ARFGEF2,2.0,0.0708987832668,0.515301706073
RNMTL1,2.0,0.0701495790458,0.515301706073
ACTR3B,2.0,0.0701348772894,0.515301706073
HLTF,2.0,0.0607876121688,0.515301706073
GNAS,2.0,0.0648162897914,0.515301706073
PFN2,2.0,0.0607876121688,0.515301706073
MED29,2.0,0.0689782524331,0.515301706073
RBM33,2.0,0.0583949052931,0.515301706073
NDUFB2,2.0,0.0676756534056,0.515301706073
YWHAE,2.0,0.0701495790458,0.515301706073
KIAA0319L,2.0,0.0707553704717,0.515301706073
NUDT3,2.0,0.0677525990569,0.515301706073
ECH1,2.0,0.0625513570296,0.515301706073
STX16,2.0,0.0648162897914,0.515301706073
BCAM,2.0,0.0572885816847,0.515301706073
GLOD4,2.0,0.0701495790458,0.515301706073
RABAC1,2.0,0.0619466215366,0.515301706073
MIEN1,2.0,0.0617132601365,0.515301706073
SUPT5H,2.0,0.0689782524331,0.515301706073
NOP2,2.0,0.0658149071999,0.515301706073
FBL,2.0,0.0608696863545,0.515301706073
WWTR1,2.0,0.0607876121688,0.515301706073
RPS10,2.0,0.0677525990569,0.515301706073
RPS16,2.0,0.0689782524331,0.515301706073
NFKBIB,2.0,0.0625513570296,0.515301706073
EXOC4,2.0,0.0558469597012,0.515301706073
ACTN4,2.0,0.0625513570296,0.515301706073
CPPED1,2.0,0.067369926116,0.515301706073
CTSZ,2.0,0.0569312187335,0.515301706073
EZH2,2.0,0.0619035467988,0.515301706073
CSE1L,2.0,0.0708987832668,0.515301706073
FBXL20,2.0,0.0584644586092,0.515301706073
ARHGEF17,2.0,0.0715775134505,0.519093940748
PAK1,2.0,0.0725078182348,0.523544443019
AHCYL2,2.0,0.0723559397523,0.523544443019
TRIM26,2.0,0.0741617474973,0.530815646699
PPP1R11,2.0,0.0741617474973,0.530815646699
ICAM2,2.0,0.0743174007928,0.530815646699
CCDC47,2.0,0.0743174007928,0.530815646699
TEX2,2.0,0.0743174007928,0.530815646699
LRRFIP1,2.0,0.0766695822856,0.535586125729
GPRC5C,2.0,0.0770205796238,0.535586125729
PPME1,2.0,0.0777415030954,0.535586125729
SCP2,2.0,0.0779008249975,0.535586125729
TM9SF2,2.0,0.0784555165994,0.535586125729
AK2,2.0,0.0754715441672,0.535586125729
FAM98C,2.0,0.0796819999572,0.535586125729
ATF2,2.0,0.0782274457616,0.535586125729
PPP1R14A,2.0,0.0796819999572,0.535586125729
SIPA1L3,2.0,0.0796819999572,0.535586125729
RPL38,2.0,0.0770205796238,0.535586125729
PSMC4,2.0,0.0791018220122,0.535586125729
COL6A3,2.0,0.0766695822856,0.535586125729
RFX1,2.0,0.0788853860109,0.535586125729
CLYBL,2.0,0.0794271454311,0.535586125729
OSBPL1A,2.0,0.0772013560068,0.535586125729
SF3A2,-2.0,0.0790512884801,0.535586125729
MRPS18B,2.0,0.079281045694,0.535586125729
PPP1R10,2.0,0.079281045694,0.535586125729
SPCS2,2.0,0.0786258704649,0.535586125729
PHC2,2.0,0.0754715441672,0.535586125729
UQCRH,2.0,0.077769073408,0.535586125729
TBXAS1,2.0,0.0770462727758,0.535586125729
ABCF1,2.0,0.079281045694,0.535586125729
PARP12,2.0,0.0770462727758,0.535586125729
PHC3,2.0,0.0782434557781,0.535586125729
AGK,2.0,0.0770462727758,0.535586125729
UBE2F,2.0,0.0766695822856,0.535586125729
SSBP1,2.0,0.0770462727758,0.535586125729
TOP2A,2.0,0.0813114356863,0.53711591393
KRT23,2.0,0.0815458805341,0.53711591393
HPS3,2.0,0.0809738322177,0.53711591393
AKAP8,2.0,0.080998330504,0.53711591393
SMG8,2.0,0.0803914587805,0.53711591393
AKAP8L,2.0,0.0806658672867,0.53711591393
IGFBP4,2.0,0.0813114356863,0.53711591393
KRT10,2.0,0.0815458805341,0.53711591393
SMARCE1,2.0,0.0813114356863,0.53711591393
CP,2.0,0.0809738322177,0.53711591393
NDUFS1,2.0,0.0816961913235,0.53711591393
SRSF3,2.0,0.082314292555,0.540105883888
WNK1,2.0,0.0828822554135,0.5427556805
TMUB1,2.0,0.0860086559251,0.546981971431
SLC4A2,2.0,0.0860086559251,0.546981971431
REPIN1,2.0,0.0860086559251,0.546981971431
RARRES2,2.0,0.0860086559251,0.546981971431
C8A,2.0,0.0843260659836,0.546981971431
C8B,2.0,0.0843260659836,0.546981971431
OMA1,2.0,0.0843260659836,0.546981971431
ICAM3,2.0,0.0850401922063,0.546981971431
ZMYM4,2.0,0.0846288405966,0.546981971431
FDX1L,2.0,0.0850401922063,0.546981971431
AGAP3,2.0,0.0860086559251,0.546981971431
TACSTD2,2.0,0.0843260659836,0.546981971431
CDK5,2.0,0.0860086559251,0.546981971431
AKR1B1,2.0,0.0851970855612,0.546981971431
RAVER1,2.0,0.0850401922063,0.546981971431
RAB3D,2.0,0.0865448820042,0.549335748153
PTPRF,2.0,0.086953089041,0.549816186345
EBNA1BP2,2.0,0.086953089041,0.549816186345
FHIT,-2.0,0.0886902857651,0.557602233888
AHCY,2.0,0.0884526490017,0.557602233888
CD200,2.0,0.0886456085369,0.557602233888
HMGCS1,2.0,0.0923182064763,0.559843269414
PAIP1,2.0,0.0923182064763,0.559843269414
ALDH1A1,2.0,0.0927711253821,0.559843269414
SLC39A11,2.0,0.0924721388389,0.559843269414
ANXA1,2.0,0.0927711253821,0.559843269414
WDR91,2.0,0.0909531451255,0.559843269414
CALD1,2.0,0.0909531451255,0.559843269414
POLR2I,2.0,0.0908509957038,0.559843269414
ACTR5,2.0,0.0902751837706,0.559843269414
C1orf50,2.0,0.092618101485,0.559843269414
YBX1,2.0,0.092618101485,0.559843269414
PPIH,2.0,0.092618101485,0.559843269414
DHX35,2.0,0.0902751837706,0.559843269414
TBCB,2.0,0.0908509957038,0.559843269414
PPCS,2.0,0.092618101485,0.559843269414
NUP205,2.0,0.0909531451255,0.559843269414
CNOT4,2.0,0.0909531451255,0.559843269414
CAPNS1,2.0,0.0908509957038,0.559843269414
DMD,2.0,0.0898375827522,0.559843269414
TYROBP,2.0,0.0908509957038,0.559843269414
NNT,2.0,0.0923182064763,0.559843269414
FOXJ3,2.0,0.092618101485,0.559843269414
FAM162A,2.0,0.094111062903,0.565844500196
CCDC58,2.0,0.094111062903,0.565844500196
DTNBP1,2.0,0.094278899186,0.565844500196
GSS,2.0,0.0962733016315,0.570565965045
CEP250,2.0,0.0962733016315,0.570565965045
PROCR,2.0,0.0962733016315,0.570565965045
ERGIC3,2.0,0.0962733016315,0.570565965045
PLSCR1,2.0,0.0958205684792,0.570565965045
PLEKHF1,2.0,0.0955509542676,0.570565965045
EIF6,2.0,0.0962733016315,0.570565965045
FOSL2,2.0,0.0968043836411,0.572687113956
ACSS2,2.0,0.0970206792051,0.572941760949
NOTCH3,2.0,0.0980097379478,0.573660536979
HCLS1,2.0,0.0979736924861,0.573660536979
