Domain,assoc_id,PLOTS,In Figure 4D,FEATURE,Drug id,Drug name,Drug Target,N_FEATURE_pos,N_FEATURE_neg,log max.Conc.tested,log max.Conc.tested2,FEATUREpos_logIC50_MEAN,FEATUREneg_logIC50_MEAN,FEATURE_deltaMEAN_IC50,FEATUREpos_IC50_sd,FEATUREneg_IC50_sd,FEATURE_IC50_effect_size,FEATUREpos_Glass_delta,FEATUREneg_Glass_delta,FEATURE_ANOVA_pval,Tissue_ANOVA_pval,MEDIA_ANOVA_pval,MSI_ANOVA_pval,FEATURE_FDR
COAD/READ,a21,WebPage,YES,CNOT1_mut,326,GSK690693,AKT,3,43,2.3263,NA,1.3168,4.2929,-2.9761,1.8941,1.1636,2.4669,1.57,2.56,1.5145E-04,NA,NA,2.6980E-01,13.3962
COAD/READ,a11,WebPage,YES,ASXL2_mut,272,AR-42,HDAC,4,41,1.6332,NA,2.3474,-0.4768,2.8242,2.7852,0.9137,2.4602,1.01,3.09,3.2651E-05,NA,NA,7.1186E-02,5.5137
PANCAN,a69,WebPage,NO,BCR-ABL_fusion,1019,Bosutinib,"SRC, ABL, TEC",6,842,0.6931,NA,-1.5617,1.7709,-3.3326,0.1782,1.3682,2.4429,18.71,2.44,2.8174E-06,5.4034E-28,8.1061E-01,1.1015E-01,0.6742
GBM,a5,WebPage,YES,"loss:cnaPANCAN230 (SYNCRIP,ZNF292)",1053,MK-2206,"AKT1, AKT2",3,29,1.3863,0.6931,3.7027,1.6899,2.0128,0.5864,0.8409,2.4357,3.43,2.39,3.6526E-04,NA,NA,NA,24.9444
PANCAN,a86,WebPage,NO,RUNX1_mut,1049,PD-173074,"FGFR1, FGFR3",3,843,0.6931,NA,-0.0793,2.5920,-2.6713,2.9250,1.0917,2.4292,0.91,2.45,5.8583E-06,1.2329E-20,3.2470E-04,1.9014E-01,1.1247
COAD/READ,a24,WebPage,YES,BRWD1_mut,1261,rTRAIL,"TR10A (DR4),  TR10B (DR5)",3,44,-2.3026,NA,-4.1512,-0.7755,-3.3758,1.0035,1.4099,2.4210,3.36,2.39,2.2297E-04,NA,NA,5.4388E-01,17.2573
BRCA,a14,WebPage,YES,ASH1L_mut,170,Shikonin,unknown,3,44,2.7726,NA,-2.3041,0.1609,-2.4650,0.2155,1.0477,2.4046,11.44,2.35,2.1259E-04,NA,NA,NA,17.5829
BRCA,a4,WebPage,YES,"gain:cnaPANCAN362 (CRNKL1,FOXA2)",204,Tipifarnib,Farnesyl-transferase (FNTA),5,43,2.7726,NA,4.2447,1.3148,2.9300,1.7565,1.1574,2.3992,1.67,2.53,6.7693E-06,NA,NA,NA,1.9596
COAD/READ,a5,WebPage,YES,PTEN_mut,326,GSK690693,AKT,6,40,2.3263,NA,1.8138,4.4415,-2.6278,1.4694,1.0384,2.3977,1.79,2.53,3.4885E-06,NA,NA,2.3051E-01,1.2863
LUAD,a10,WebPage,YES,gain:cnaPANCAN332 (),1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",3,50,2.3026,NA,4.0181,1.5819,2.4362,1.6229,0.9854,2.3932,1.50,2.47,1.8858E-04,NA,NA,NA,16.2536
GBM,a8,WebPage,YES,"loss:cnaPANCAN230 (SYNCRIP,ZNF292)",172,Embelin,XIAP,3,27,3.4657,NA,4.3938,2.5664,1.8274,1.6273,0.6523,2.3908,1.12,2.80,5.0876E-04,NA,NA,NA,24.9444
GBM,a7,WebPage,YES,gain:cnaPANCAN126 (),1003,Camptothecin,TOP1,3,30,-2.3026,NA,-1.5692,-4.6737,3.1045,2.4238,1.1873,2.3826,1.28,2.61,4.3783E-04,NA,NA,NA,24.9444
HNSC,a2,WebPage,NO,TP53_mut,1069,EHT 1864,Rac GTPases,37,4,2.3026,NA,3.4858,4.8728,-1.3870,0.5408,0.9576,2.3768,2.56,1.45,5.6949E-05,NA,NA,NA,15.4219
BLCA,a3,WebPage,YES,gain:cnaPANCAN363 (ASXL1),269,NSC-207895,MDM4,6,13,2.9957,NA,5.0091,2.9561,2.0530,1.1956,0.6870,2.3649,1.72,2.99,1.6987E-04,NA,NA,NA,12.1454
PANCAN,a263,WebPage,NO,loss:cnaPANCAN225 (),53,CGP-60474,"CDK1,CDK2,CDK5,CDK7,CDK9",3,397,-1.3626,NA,0.7664,-2.1487,2.9151,0.8105,1.2369,2.3602,3.60,2.36,1.7364E-04,8.7071E-04,5.9913E-01,2.1315E-01,10.9006
BRCA,a1,WebPage,NO,"gain:cnaPANCAN301 (CDK12,ERBB2,MED24)",1377,Afatinib (rescreen),"ERBB2, EGFR",15,32,2.3026,NA,0.7045,3.8331,-3.1286,1.2966,1.3575,2.3368,2.41,2.30,2.0745E-09,NA,NA,NA,0.0024
BRCA,a20,WebPage,YES,POLR2B_mut,1218,JQ1,"BRD2, BRD3, BRD4",3,43,0.0000,NA,1.1333,2.5504,-1.4171,0.3628,0.6199,2.3210,3.91,2.29,3.3861E-04,NA,NA,NA,19.2983
GBM,a9a,WebPage,YES,loss:cnaPANCAN37 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9b,WebPage,YES,loss:cnaPANCAN39 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9c,WebPage,YES,loss:cnaPANCAN42 (ANK3),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9d,WebPage,YES,loss:cnaPANCAN43 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
GBM,a9e,WebPage,YES,loss:cnaPANCAN46 (),1248,FK866,NAMPT,3,32,0.0000,NA,1.8858,-3.3643,5.2501,0.9229,2.3234,2.3196,5.69,2.26,5.2619E-04,NA,NA,NA,24.9444
