protein,type,meas,coef,wald,fdr
PUF60,2.0,70.0,0.814813547756,3.36021766343e-22,3.750179765944721e-20
ZNF250,2.0,70.0,0.806083807565,5.27641803276e-22,5.812282825172788e-20
CDK12,2.0,16.0,1.481708502,5.63458716002e-22,6.1272523450416688e-20
CEP89,2.0,20.0,1.17648408153,6.8253721763e-22,7.3282033923283303e-20
IGHMBP2,2.0,18.0,1.14190547044,7.63654247538e-22,8.0966441595184846e-20
ANKRD40,2.0,14.0,1.17804418718,8.25754910787e-22,8.6469792015961656e-20
FBXL20,2.0,14.0,1.56482043508,9.65990705959e-22,9.9921136194415149e-20
MTAP,-2.0,10.0,-2.18640767437,9.93251244237e-22,1.0150309703152196e-19
ATP6V1C1,2.0,50.0,0.815876167738,1.09378922951e-21,1.1044666957997008e-19
RNF139,2.0,77.0,0.838435898411,1.7889106767e-21,1.7851223952645416e-19
PSMD8,2.0,18.0,1.24946498903,2.86579914868e-21,2.8264777184964429e-19
CCDC130,2.0,23.0,1.18621440707,2.9619242186e-21,2.8877058876004418e-19
C6orf203,2.0,7.0,2.45558701628,3.97402840684e-21,3.8304214712324124e-19
HSF1,2.0,70.0,0.773066253972,4.82755182813e-21,4.600819618669455e-19
COMMD5,2.0,70.0,0.759724184298,5.11767879805e-21,4.823127951675336e-19
CYB561,2.0,15.0,1.49992442923,6.23121635362e-21,5.808041440817165e-19
DDA1,2.0,16.0,1.29994420391,6.30102607304e-21,5.8092720816912729e-19
GLOD4,2.0,6.0,1.78562532645,6.58621934721e-21,6.0069153229027724e-19
PI4KB,2.0,32.0,0.657569993775,6.94394611699e-21,6.2658032940770497e-19
CYHR1,2.0,70.0,0.827599857903,8.93480328918e-21,7.9773685788210027e-19
CHRAC1,2.0,70.0,0.709477814224,1.05145530982e-20,9.1942721009628412e-19
NDUFB9,2.0,78.0,0.946622670519,1.050208218e-20,9.1942721009628412e-19
PSMB3,2.0,8.0,2.06551115223,1.21255880778e-20,1.0494820211838144e-18
BABAM1,2.0,16.0,1.20873043525,1.42370462442e-20,1.219784103467331e-18
PCYT1A,2.0,29.0,0.865511304012,1.71709705981e-20,1.456441726131041e-18
CYC1,2.0,70.0,0.987973795893,2.02431524038e-20,1.700023947413245e-18
KRI1,2.0,17.0,1.24217771037,2.28370881097e-20,1.899060601438126e-18
POLB,2.0,18.0,1.47160687998,2.43725672573e-20,2.0070690822976878e-18
SCMH1,2.0,19.0,1.10758353522,2.78101923179e-20,2.2681351080806264e-18
ZC3H3,2.0,72.0,0.731634313414,2.83273522478e-20,2.2883104930119171e-18
RAVER1,2.0,15.0,1.31277312782,3.36768616761e-20,2.6947843465756424e-18
VDAC3,2.0,16.0,1.29189596488,4.09487587429e-20,3.24605020240096e-18
ZNF791,2.0,17.0,1.21708512094,4.28341552399e-20,3.3552477939207521e-18
ACER3,2.0,24.0,1.18719150708,4.311742626e-20,3.3552477939207521e-18
FAM91A1,2.0,75.0,0.786044862956,4.70991215415e-20,3.6317704446795721e-18
UTP23,2.0,62.0,0.804208274587,4.83889002522e-20,3.6976094769288309e-18
PAK1,2.0,24.0,1.21679725383,4.94364612465e-20,3.7439291454728483e-18
XYLT2,2.0,16.0,1.30152230866,5.33891646959e-20,4.0074946455799028e-18
ANKRD27,2.0,21.0,1.20582922486,5.57955700484e-20,4.1513861855339674e-18
PTEN,-2.0,12.0,-1.53915043066,7.75290762018e-20,5.718274994289193e-18
ENY2,2.0,52.0,0.758722594273,8.71486087396e-20,6.372366373525522e-18
FOXJ3,2.0,14.0,1.09886694757,1.17773618286e-19,8.5380840196730733e-18
INTS2,2.0,14.0,1.43187428619,1.33853564125e-19,9.5528496067983639e-18
FAM83H,2.0,70.0,0.940104427475,1.34023709409e-19,9.5528496067983639e-18
SHARPIN,2.0,70.0,0.788226745636,1.45014347158e-19,1.0126123492195622e-17
ZNF34,2.0,70.0,0.777427648604,1.44917948908e-19,1.0126123492195622e-17
RNMTL1,2.0,6.0,1.94850188305,1.4564808607e-19,1.0126123492195622e-17
SARS2,2.0,16.0,1.62753065939,1.49301070246e-19,1.0295704697772846e-17
LSM14A,2.0,17.0,0.994288507654,1.66734802756e-19,1.1405198362726749e-17
SENP5,2.0,28.0,0.901010717479,1.69903971841e-19,1.1529003913217639e-17
SMARCE1,2.0,6.0,1.83906681424,1.76105121565e-19,1.1854949532627572e-17
GOLGA7,2.0,18.0,1.16454603496,2.20841851276e-19,1.4749453405708766e-17
FAM49B,2.0,80.0,0.749247294228,2.26097510378e-19,1.4982492836119146e-17
NUP85,2.0,13.0,1.15494715273,2.51067513632e-19,1.6508175586269886e-17
ERAL1,2.0,10.0,1.53729913268,3.0951804512e-19,2.0194861990078451e-17
C19orf47,2.0,12.0,1.41780109475,3.20743815529e-19,2.0767549949015504e-17
NARS2,2.0,24.0,1.1144869305,3.57874396088e-19,2.2996141118327146e-17
MRPL27,2.0,13.0,1.67074613286,4.02484039557e-19,2.5668192658054792e-17
RBM17,2.0,19.0,0.877175644288,4.87167614728e-19,3.0836982896452889e-17
RSAD1,2.0,13.0,1.34714333233,5.25643206402e-19,3.3025967975567092e-17
CCNE1,2.0,35.0,1.75539884989,8.67257118689e-19,5.4088785887619947e-17
UVRAG,2.0,22.0,1.1227913764,9.82508817527e-19,6.0829487520175623e-17
RAD21,2.0,62.0,0.763710926,1.01563369067e-18,6.2424673653859755e-17
SETDB1,2.0,34.0,0.655328971839,1.04693501886e-18,6.3885631870494888e-17
MED26,2.0,18.0,0.998213898286,1.63174089706e-18,9.8860187777299544e-17
SQLE,2.0,78.0,1.13574934832,1.88648836477e-18,1.1282226308455014e-16
TSNARE1,2.0,70.0,0.940279396911,1.8887952556e-18,1.1282226308455014e-16
SMARCD2,2.0,15.0,1.10547211638,2.01489995885e-18,1.1951315699961726e-16
C19orf52,2.0,17.0,1.06183697516,2.4660015331e-18,1.4525434030381864e-16
C8orf76,2.0,76.0,0.836713278655,3.15755886592e-18,1.8470630552249647e-16
NEUROD2,2.0,16.0,2.73420563777,3.30676522671e-18,1.9210947022597266e-16
STX10,2.0,23.0,1.18779268345,3.55330069899e-18,2.0502786754287919e-16
CDC6,2.0,9.0,2.50292073452,3.68965781491e-18,2.1145728098709981e-16
ZNF18,-2.0,5.0,-2.34359486436,4.05335947812e-18,2.307422489491553e-16
ASB7,2.0,13.0,1.06963671076,4.15586465754e-18,2.3500029350167371e-16
FAM84B,2.0,83.0,0.961287827854,4.4129895663e-18,2.4788726822095218e-16
CLEC16A,2.0,8.0,1.71514806799,4.59281833591e-18,2.5629134950806582e-16
ZNF507,2.0,19.0,1.02261617538,4.88651675611e-18,2.708982687927493e-16
POLDIP2,2.0,10.0,1.3789828563,6.54434479017e-18,3.6044891240378852e-16
USP32,2.0,17.0,1.35564659336,7.20251920973e-18,3.9414043830256081e-16
SUPT6H,2.0,9.0,1.71924325057,7.45397955895e-18,4.0528624755783895e-16
MRPL13,2.0,69.0,0.804121899349,7.64602740323e-18,4.1308028302032343e-16
SF3A3,2.0,13.0,0.940690658592,8.13266027514e-18,4.3659002818806662e-16
UQCRFS1,2.0,24.0,0.992513144295,9.2122653728e-18,4.914366974346237e-16
TIGD5,2.0,69.0,0.874679994308,1.10406272095e-17,5.8529124994118811e-16
KAT7,2.0,12.0,1.18183880663,1.11312728759e-17,5.8643140703778183e-16
COPS5,2.0,22.0,0.985290783534,1.1321189346e-17,5.9275511131150047e-16
TLK2,2.0,15.0,1.0476973043,1.28132376084e-17,6.6676000855256459e-16
MED20,2.0,10.0,1.33586553803,1.3240011638e-17,6.8476694337675386e-16
FTSJ3,2.0,15.0,1.18380990639,1.52631390587e-17,7.7768675699028069e-16
CDC37,2.0,19.0,0.971965763031,1.52039061217e-17,7.7768675699028069e-16
TRPC4AP,2.0,15.0,0.988290260384,1.53116821996e-17,7.7768675699028069e-16
STRADA,2.0,14.0,1.12540406618,1.71803203751e-17,8.6226909717074304e-16
DGAT1,2.0,70.0,0.843540744603,1.71692705258e-17,8.6226909717074304e-16
NRBP2,2.0,71.0,1.08443527093,1.8515739091e-17,9.2382646452801398e-16
FAM32A,2.0,16.0,0.858727069824,1.87493938561e-17,9.3001379349584618e-16
FBXW9,2.0,17.0,1.53861655985,1.89064022119e-17,9.3234943930939779e-16
FBXO18,2.0,18.0,0.836032001652,1.94737659482e-17,9.5477735706631049e-16
CDC5L,2.0,9.0,1.33535187248,1.97479759634e-17,9.6265708115800351e-16
YWHAZ,2.0,52.0,0.73564480938,1.98663897295e-17,9.6289552963158119e-16
CHERP,2.0,19.0,1.09402832037,2.13871047272e-17,1.0307126266809968e-15
ZNF576,2.0,6.0,1.74431687521,2.37404714839e-17,1.1376648538226653e-15
AP3M1,2.0,8.0,1.45275773824,2.66112810386e-17,1.268072391961089e-15
C8orf33,2.0,70.0,0.829061955812,2.72604793003e-17,1.2917507565671972e-15
VPS28,2.0,70.0,0.775236419906,2.89453305042e-17,1.3639682963123518e-15
PAK4,2.0,17.0,1.46622212885,3.13961518755e-17,1.4712826530846511e-15
DCAF15,2.0,24.0,1.15625951285,3.84052866636e-17,1.7898551729717112e-15
RBM28,2.0,14.0,1.1475356994,3.88359553126e-17,1.8000359178205445e-15
EFR3A,2.0,77.0,0.732972734952,4.09859895642e-17,1.8893650189310468e-15
DHX40,2.0,15.0,1.21379131445,4.16954674104e-17,1.9116808355400788e-15
SMG8,2.0,11.0,1.34899291483,4.23840421147e-17,1.9270034459088503e-15
TACO1,2.0,13.0,1.25787842411,4.24840420166e-17,1.9270034459088503e-15
RAB22A,2.0,24.0,0.808727997062,4.29499771611e-17,1.9377750334083862e-15
ZNF317,2.0,9.0,1.20586589109,4.53009623017e-17,2.033030488059852e-15
PPP1R16A,2.0,70.0,0.857030031389,4.76632060484e-17,2.1277858615936436e-15
AQP11,2.0,25.0,1.43685649563,5.24068397674e-17,2.3273026958470986e-15
INPPL1,2.0,13.0,1.29603618793,5.26870198529e-17,2.3275588666255044e-15
PROSC,2.0,10.0,1.4361876465,5.5106129376e-17,2.4206492846661341e-15
PHB,2.0,14.0,1.468089209,5.53650036814e-17,2.4206492846661341e-15
SNF8,2.0,10.0,1.47289517876,5.81317610097e-17,2.5285825481226026e-15
WDYHV1,2.0,75.0,0.725105496867,6.19262765168e-17,2.6528216031080663e-15
GEMIN4,2.0,6.0,1.94888275442,6.14704240469e-17,2.6528216031080663e-15
KIAA0355,2.0,18.0,1.10343153651,6.19114524271e-17,2.6528216031080663e-15
TPCN2,2.0,23.0,1.03432845497,6.46879804654e-17,2.7572032678777493e-15
MRPS7,2.0,13.0,1.39444375446,7.56427629478e-17,3.2080095766163187e-15
ERCC4,2.0,7.0,1.84390218745,7.80562378874e-17,3.2938955709495836e-15
ZNF251,2.0,70.0,0.715995720074,8.22260593847e-17,3.4526803747572362e-15
TUBD1,2.0,17.0,1.28288611329,9.45540984804e-17,3.9314110946615711e-15
LSM1,2.0,12.0,1.42621712197,9.43317946683e-17,3.9314110946615711e-15
HRSP12,2.0,47.0,0.932997187857,1.02190399249e-16,4.2281900801557004e-15
DHRS7B,2.0,6.0,2.0460699656,1.10742323521e-16,4.5597882917827588e-15
VPS72,2.0,33.0,0.658817028254,1.13940916363e-16,4.6688253748505075e-15
ZNF136,2.0,17.0,1.26193320276,1.32473388975e-16,5.4021119484798668e-15
EXOSC4,2.0,70.0,0.87878745081,1.39811289016e-16,5.6740638920245285e-15
PYCRL,2.0,69.0,0.967546133588,1.47386609143e-16,5.9248019846071559e-15
ATAD2,2.0,76.0,0.849250435076,1.47046317486e-16,5.9248019846071559e-15
PPIE,2.0,17.0,1.05759616379,1.48322304572e-16,5.9342914499169765e-15
PLEKHG2,2.0,18.0,1.78611675696,1.64002525526e-16,6.5308423545064774e-15
SS18,2.0,11.0,1.31637933769,1.78917907489e-16,7.0915032304626531e-15
FLOT2,2.0,10.0,1.64582308452,1.83133106537e-16,7.1253899525063141e-15
SIN3B,2.0,17.0,1.2292718569,1.82644723668e-16,7.1253899525063141e-15
SLBP,2.0,14.0,1.2583441623,1.80620210496e-16,7.1253899525063141e-15
YIF1B,2.0,18.0,1.25186382316,1.8283335206e-16,7.1253899525063141e-15
TARS2,2.0,29.0,0.763888899956,1.90747935575e-16,7.3877807741972364e-15
GDAP2,2.0,7.0,1.56860432148,2.04727745887e-16,7.8931851846088386e-15
RAE1,2.0,26.0,0.834727064118,2.07403153983e-16,7.9601518193847905e-15
TATDN1,2.0,77.0,0.809338786631,2.27513598791e-16,8.6926592114553092e-15
DDX5,2.0,14.0,0.951255684726,2.5242561666e-16,9.601229060569273e-15
PHF12,2.0,11.0,1.27545942491,2.53899020544e-16,9.6141584475609986e-15
ICT1,2.0,11.0,1.49853757513,2.59079994457e-16,9.7667400577253533e-15
NFKBIB,2.0,16.0,1.40044730593,2.72467124559e-16,1.0225956418192791e-14
YY1AP1,2.0,26.0,0.605462235689,2.74976853658e-16,1.0274685782920438e-14
ABCF3,2.0,36.0,0.659302280882,2.99998526329e-16,1.1160471492655958e-14
ZNF563,2.0,16.0,1.50361909896,3.07207571415e-16,1.1280236453428355e-14
ASH2L,2.0,13.0,1.1858742681,3.0455845871e-16,1.1280236453428355e-14
DCAF13,2.0,49.0,0.736986340388,3.05917355229e-16,1.1280236453428355e-14
GPATCH1,2.0,20.0,0.919860482754,3.16548118181e-16,1.1573108355238307e-14
RAB2A,2.0,26.0,0.792760880109,3.39917107517e-16,1.237414981097879e-14
POLR3A,2.0,12.0,1.11585546524,3.56258892701e-16,1.2913623623458328e-14
ZNF652,2.0,15.0,1.32198527044,4.00776594805e-16,1.4465476923975995e-14
WDR3,2.0,7.0,1.66327347016,4.10780966125e-16,1.4763746418093669e-14
EME1,2.0,13.0,2.00725832123,4.22720387141e-16,1.5058461644524859e-14
MRPL38,2.0,14.0,1.23384958183,4.2430704233e-16,1.5058461644524859e-14
ZNF706,2.0,53.0,0.7126952639,4.21155401031e-16,1.5058461644524859e-14
GLI4,2.0,71.0,0.903912283694,4.32463659112e-16,1.5283986485783768e-14
CDC42SE1,2.0,32.0,0.673834552809,4.44195727585e-16,1.5633477848048881e-14
FARSA,2.0,19.0,1.0468248996,4.64762311585e-16,1.6289726970512866e-14
CWC25,2.0,8.0,1.38835483785,4.76740627427e-16,1.6640798361460419e-14
DCAF7,2.0,15.0,0.920960147438,4.81826954984e-16,1.6749410787600479e-14
EIF3G,2.0,14.0,1.18259168901,4.90769042912e-16,1.6990624579494368e-14
METTL23,2.0,13.0,1.0985900721,5.49014764522e-16,1.8929850539316442e-14
TSEN54,2.0,13.0,1.21151658261,5.59830660361e-16,1.9147111537036813e-14
GCDH,2.0,19.0,1.13103685525,5.57998849258e-16,1.9147111537036813e-14
ELOF1,2.0,14.0,1.18743109404,5.96532213641e-16,2.032042665100994e-14
RLF,2.0,17.0,1.1665852386,6.41606889973e-16,2.1768438562991615e-14
DHPS,2.0,17.0,1.18502246839,6.54633369319e-16,2.2121913301061953e-14
FYTTD1,2.0,28.0,0.902547170593,6.63992295651e-16,2.2349137506787815e-14
ZNF687,2.0,32.0,0.715381554202,6.67074977126e-16,2.2364150023659289e-14
NDUFC2,2.0,27.0,1.26911267063,6.81360464858e-16,2.2753147491825428e-14
WDR83,2.0,17.0,1.35667156604,7.38335386647e-16,2.4559061762905277e-14
UTP18,2.0,10.0,1.40592688555,8.9021274146e-16,2.9495251847919397e-14
ADCK4,2.0,9.0,1.52617147971,9.63653003416e-16,3.1804298735318243e-14
OSBPL2,2.0,26.0,0.777331918871,9.85725756843e-16,3.2406689416838451e-14
PRKACA,2.0,21.0,0.868091677752,9.9588604379e-16,3.2614306654152701e-14
PCGF2,2.0,8.0,2.0279832148,1.02075021136e-15,3.3300012664438644e-14
LSG1,2.0,29.0,0.772755032446,1.0467240041e-15,3.401652491476879e-14
DYRK2,2.0,9.0,1.50616889467,1.05435642462e-15,3.4133783181688976e-14
ACTN4,2.0,16.0,1.35438974761,1.11186251935e-15,3.5858623152724557e-14
CCT5,2.0,21.0,0.905384126147,1.15380678722e-15,3.7070413519693513e-14
AKAP8,2.0,21.0,0.746562260045,1.17591089567e-15,3.7638023460686243e-14
EDEM2,2.0,15.0,1.07934074508,1.18549621651e-15,3.780217634762365e-14
PIP4K2B,2.0,8.0,1.46286707443,1.19574482707e-15,3.7844431429846707e-14
BAG4,2.0,11.0,1.53718377523,1.19378806813e-15,3.7844431429846707e-14
ZHX1,2.0,76.0,0.721903922835,1.25776585193e-15,3.9659367866566581e-14
ARHGAP39,2.0,70.0,0.836912454065,1.34150619226e-15,4.2143168602771156e-14
ZNF696,2.0,71.0,0.726614764648,1.35690880064e-15,4.2469743346835069e-14
GOLPH3L,2.0,31.0,0.835224639538,1.37740093738e-15,4.2952627760457706e-14
PSMC5,2.0,15.0,1.10050844165,1.42063042442e-15,4.4138414871432892e-14
TNPO3,2.0,12.0,1.00824925228,1.45721245167e-15,4.5109766478283288e-14
POLR2K,2.0,51.0,0.819976150688,1.58309087747e-15,4.8828279355204217e-14
GSDMB,2.0,17.0,2.20807336607,1.62610315375e-15,4.9973213587242386e-14
KLHL9,-2.0,7.0,-1.78196467078,2.01730655075e-15,6.1771820084570305e-14
BRD4,2.0,22.0,0.979007594382,2.06658401709e-15,6.3053113787768877e-14
UBR5,2.0,48.0,0.724265009651,2.17793016659e-15,6.6212199544776907e-14
NOL11,2.0,14.0,1.04930633798,2.25973496446e-15,6.8391904873044125e-14
PARL,2.0,36.0,0.681183837146,2.26575398129e-15,6.8391904873044125e-14
NADSYN1,2.0,18.0,1.21022582204,2.36169740857e-15,7.0904286755015306e-14
SLC35B1,2.0,12.0,1.23228432222,2.36570539397e-15,7.0904286755015306e-14
AMZ2,2.0,16.0,1.1062148552,2.57267566967e-15,7.6836038838558559e-14
POLG2,2.0,14.0,1.11996849915,2.59333203085e-15,7.7181201002470722e-14
SWSAP1,2.0,15.0,1.18730430485,2.60486070005e-15,7.7253246355891286e-14
CC2D1A,2.0,24.0,1.18463512239,2.77032243138e-15,8.1874128442253281e-14
ACTL6A,2.0,43.0,0.715193260835,2.78571607806e-15,8.2043207548970418e-14
C19orf43,2.0,17.0,1.06729447257,2.93768565997e-15,8.6219549369824855e-14
KIAA1429,2.0,40.0,0.678254538912,3.52166401204e-15,1.0300260051767576e-13
UBA2,2.0,18.0,1.05148343864,3.66342350056e-15,1.0641492510865323e-13
EIF2B5,2.0,36.0,0.598839796807,3.65326657479e-15,1.0641492510865323e-13
TIMM22,2.0,6.0,1.55042052626,3.81614405834e-15,1.1047281195521439e-13
SRP68,2.0,12.0,0.945549726121,3.85485555642e-15,1.1121389397816576e-13
SDF2,2.0,9.0,1.41125840239,3.96553104088e-15,1.1401909928389806e-13
ADCK5,2.0,70.0,0.790993319047,4.296411102e-15,1.2311540191603727e-13
MED30,2.0,66.0,0.732344040496,4.3634117264e-15,1.2461433758692779e-13
EIF3H,2.0,62.0,0.69448640923,4.39796711097e-15,1.251797215949239e-13
GSPT1,2.0,6.0,1.5319471579,4.43786207652e-15,1.258927964315637e-13
MAP2K4,-2.0,7.0,-1.85777625491,4.61466312668e-15,1.3047190880162385e-13
SIRT2,2.0,16.0,1.04029539309,4.83987846156e-15,1.3638488076734868e-13
PARN,2.0,6.0,1.48952898217,5.10158125056e-15,1.4328348399743288e-13
NEK8,2.0,9.0,2.05633910692,5.23309978519e-15,1.4649225207254871e-13
PRKRIR,2.0,22.0,1.15272000092,5.61290064321e-15,1.5660731334111391e-13
IFT20,2.0,10.0,1.38599672507,5.73489118964e-15,1.5948638383785625e-13
PNMT,2.0,18.0,4.49345968034,5.94644064541e-15,1.6482911619062588e-13
SDAD1,2.0,6.0,1.65020397568,6.07222919876e-15,1.6776758326999444e-13
RAB2B,2.0,7.0,1.57434293733,6.97289858025e-15,1.9202638233015045e-13
RAD23A,2.0,20.0,0.978332340498,7.06009723546e-15,1.9379852670281124e-13
MRFAP1L1,2.0,12.0,1.06412788159,7.28794480444e-15,1.9940757364920946e-13
TM2D3,2.0,13.0,1.12373386041,7.66445322752e-15,2.0903502339487813e-13
FBXL6,2.0,70.0,0.821880171845,8.66401356707e-15,2.3553898421763625e-13
LYRM5,2.0,15.0,1.61786576873,8.88652829099e-15,2.4004946803870941e-13
MRPS12,2.0,16.0,1.35211068101,8.88159738709e-15,2.4004946803870941e-13
PREP,2.0,7.0,1.8098018478,9.43148972633e-15,2.5396157415479677e-13
TRMT1,2.0,23.0,1.18558944287,9.72283856908e-15,2.6097821754094391e-13
PRUNE,2.0,32.0,0.686711518637,1.11285119472e-14,2.9776668244945688e-13
GTPBP4,2.0,16.0,1.0164791605,1.1786294061e-14,3.1437530259626103e-13
GINS4,2.0,18.0,1.47100356599,1.27597329692e-14,3.3821267201456775e-13
CNOT4,2.0,17.0,0.711152400279,1.27210077841e-14,3.3821267201456775e-13
LSM14B,2.0,26.0,0.799064103762,1.29357967741e-14,3.418113029223425e-13
RPRD2,2.0,29.0,0.679506913892,1.34765110281e-14,3.5499306378997391e-13
TSTA3,2.0,70.0,0.796106752318,1.36416707278e-14,3.5823111799879123e-13
WHSC1,2.0,13.0,1.37023344713,1.39942109647e-14,3.6522737662439481e-13
TAF8,2.0,10.0,1.07532086056,1.39770087524e-14,3.6522737662439481e-13
NUDCD1,2.0,53.0,0.715453288568,1.41457461551e-14,3.6804975118870876e-13
