human	mouse
A0A075B738	Q08481
A0A075B739	Q8C5V8
A0A075B746	P58059
A0A075B747	E9Q7G4
A0A075B748	O35640
A0A075B749	G3X9L9
A0A075B751	Q9WVG5
A0A075B752	O35640
A0A075B754	Q4QY64
A0A075B756	Q19A41
A0A075B763	Q5EBH1
A0A075B765	O35640
A0A075B768	E9QM90
A0A075B769	Q6P3B2
A0A075B770	Q80TZ9
A0A075B771	A0A1B0GSS6
A0A075B772	A0A1B0GSS6
A0A075B773	Q8VC48
A0A075B774	Q8K440
A0A075B777	Q80XL7
A0A075B778	Q8K448
A0A075B780	E9PV58
A0A075B781	P17892
A0A075B783	Q61789
A0A075B784	B1AQJ2
A0A075B785	E9QM90
A0A075B788	S4R1S4
A0A075B789	A1L3C1
A0A075B791	A0A0U1RQ84
A0A075B791	E9Q2S6
A0A075B791	F8VPX4
A0A075B791	G3X9H3
A0A075B791	J3QPC5
A0A075B791	Q3TQG9
A0A075B791	Q3UVF6
A0A075B791	Q8K0D9
A0A075B793	A2AEW8
A0A075B794	A2AMW4
A0A075B794	F2Z493
A0A075B794	O89006
A0A075B794	O89009
A0A075B794	O89010
A0A075B794	O89012
A0A075B794	Q6T340
A0A075B794	Q8BQJ2
A0A075B794	Q9D9G4
A0A075B794	Q9R2A2
A0A075B795	P33267
A0A075B796	A0A0U1RQ84
A0A075B796	E9Q2S6
A0A075B796	F8VPX4
A0A075B796	G3X9H3
A0A075B796	J3QPC5
A0A075B796	Q3TQG9
A0A075B796	Q3UVF6
A0A075B796	Q8K0D9
A0A075B797	Q9D6T0
A0A075B798	A2AMW4
A0A075B798	F2Z493
A0A075B798	O89006
A0A075B798	O89009
A0A075B798	O89010
A0A075B798	O89012
A0A075B798	Q6T340
A0A075B798	Q8BQJ2
A0A075B798	Q9D9G4
A0A075B798	Q9R2A2
A0A075B7A0	P35980
A0A075B7A1	Q9JIA7
A0A075B7A2	Q4KL35
A0A075B7A4	A1L3C1
A0A075B7A5	Q61450
A0A075B7A5	Q64281
A0A075B7A6	P00755
A0A075B7A6	P00756
A0A075B7A6	P00757
A0A075B7A6	P04071
A0A075B7A6	P07628
A0A075B7A6	P15945
A0A075B7A6	P15946
A0A075B7A6	P15947
A0A075B7A6	P15948
A0A075B7A6	P15949
A0A075B7A6	P36369
A0A075B7A6	Q61754
A0A075B7A6	Q61759
A0A075B7A6	Q9JM71
A0A075B7A9	A2AMW4
A0A075B7A9	F2Z493
A0A075B7A9	O89006
A0A075B7A9	O89009
A0A075B7A9	O89010
A0A075B7A9	O89012
A0A075B7A9	Q6T340
A0A075B7A9	Q8BQJ2
A0A075B7A9	Q9D9G4
A0A075B7A9	Q9R2A2
A0A075B7B0	A0A0U1RQ84
A0A075B7B0	E9Q2S6
A0A075B7B0	F8VPX4
A0A075B7B0	G3X9H3
A0A075B7B0	J3QPC5
A0A075B7B0	Q3TQG9
A0A075B7B0	Q3UVF6
A0A075B7B0	Q8K0D9
A0A075B7B1	Q70IV5
A0A075B7B2	E9PVB5
A0A075B7B3	Q8C0Q4
A0A075B7B4	Q9R0T8
A0A075B7B6	A0A075B5S6
A0A075B7B6	A0A075B5T0
A0A075B7B6	A0A075B5T1
A0A075B7B6	A0A0A6YWB6
A0A075B7B6	A0A0A6YXF1
A0A075B7B6	P18531
A0A075B7B7	Q5SSG4
A0A075B7B8	A0A0A6YWG4
A0A075B7C0	A0A0R4IZW8
A0A075B7C1	Q8BQ46
A0A075B7C2	Q8C1R3
A0A075B7C5	P30882
A0A075B7C7	Q9R0T8
A0A075B7D1	Q5QNV8
A0A075B7D2	Q8K3W0
A0A075B7D3	Q5QNV8
A0A075B7D4	A0A140T8P3
A0A075B7D5	Q9R0T8
A0A075B7D6	Q8BQ46
A0A075B7D8	A0A075B5R2
A0A075B7D8	A0A075B5S2
A0A075B7D8	A0A075B5T2
A0A075B7D8	A0A075B5T3
A0A075B7D8	A0A075B5T6
A0A075B7D8	A0A0A6YX91
A0A075B7D8	A0A0A6YXL5
A0A075B7D8	A0A0B4J1J6
A0A075B7D8	J3QK03
A0A075B7D9	Q8BQ46
A0A075B7E2	Q8C1R3
A0A075B7E4	Q8BQ46
A0A075B7F2	Q8BQ46
A0A075B7F4	Q8BQ46
A0A075B7F5	G3UYQ4
A0A075B7F8	Q8K3Z9
A0A075B7G2	L7N1X4
A0A075B7G2	Q6P5C7
A0A075B7G2	Q7M6X3
A0A075B7G2	Q8BIN6
A0A075B7G2	Q91W94
A0A075B7G3	L7N1X4
A0A075B7G3	Q6P5C7
A0A075B7G3	Q7M6X3
A0A075B7G3	Q8BIN6
A0A075B7G3	Q91W94
A0A075B7G4	L7N1X4
A0A075B7G4	Q6P5C7
A0A075B7G4	Q7M6X3
A0A075B7G4	Q8BIN6
A0A075B7G4	Q91W94
A0A075B7G5	L7N1X4
A0A075B7G5	Q6P5C7
A0A075B7G5	Q7M6X3
A0A075B7G5	Q8BIN6
A0A075B7G5	Q91W94
A0A075B7G6	L7N1X4
A0A075B7G6	Q6P5C7
A0A075B7G6	Q7M6X3
A0A075B7G6	Q8BIN6
A0A075B7G6	Q91W94
A0A075B7G8	A0A0R4J2C1
A0A087WSV0	Q9D3J3
A0A087WSV6	A0A0B4J1F3
A0A087WSV6	D3Z7A9
A0A087WSV6	E9Q1Z6
A0A087WSV6	F6PZL4
A0A087WSV6	F8VQ94
A0A087WSV6	P97484
A0A087WSV8	P81117
A0A087WSW0	Q7TS99
A0A087WSW1	D3YVL2
A0A087WSW2	L7N1X4
A0A087WSW2	Q6P5C7
A0A087WSW2	Q7M6X3
A0A087WSW2	Q8BIN6
A0A087WSW2	Q91W94
A0A087WSW5	Q8BFZ8
A0A087WSW7	Q60848
A0A087WSW8	O88689
A0A087WSW8	Q91Y12
A0A087WSW8	Q91Y13
A0A087WSW8	Q91Y20
A0A087WSW9	Q9JMH6
A0A087WSX5	Q8CJ78
A0A087WSX6	H3BLP9
A0A087WSX8	A0A0B4J1F3
A0A087WSX8	D3Z7A9
A0A087WSX8	E9Q1Z6
A0A087WSX8	F6PZL4
A0A087WSX8	F8VQ94
A0A087WSX8	P97484
A0A087WSY1	E9PVV8
A0A087WSY3	A0A0J9YUH2
A0A087WSY3	A0A0J9YUZ3
A0A087WSY3	A0A140LHE4
A0A087WSY3	A0A1B0GRY3
A0A087WSY3	A5H0M4
A0A087WSY3	D3Z1P8
A0A087WSY3	D3Z4K0
A0A087WSY3	E9Q637
A0A087WSY3	F6VZZ1
A0A087WSY3	Q05AC5
A0A087WSY3	Q8C646
A0A087WSY3	Q9D4J9
A0A087WSY4	A0A075B5S6
A0A087WSY4	A0A075B5T0
A0A087WSY4	A0A075B5T1
A0A087WSY4	A0A0A6YWB6
A0A087WSY4	A0A0A6YXF1
A0A087WSY4	P18531
A0A087WSY5	Q9JHH6
A0A087WSY6	A0A075B5M9
A0A087WSY9	Q9JMH6
A0A087WSZ0	A0A140T8P3
A0A087WSZ1	Q925P2
A0A087WSZ1	Q925P3
A0A087WSZ2	O88990
A0A087WSZ3	A0A0A0MQ91
A0A087WSZ6	Q99LB2
A0A087WSZ7	Q01063
A0A087WSZ8	Q8K3C0
A0A087WT00	Q9DCG2
A0A087WT01	A0A075B656
A0A087WT02	A0A075B5Z8
A0A087WT02	A0A075B603
A0A087WT02	A0A075B639
A0A087WT02	A0A075B6A6
A0A087WT02	A0A075B6B0
A0A087WT02	A0A075B6B2
A0A087WT02	A0A075B6B3
A0A087WT02	A0A075B6B4
A0A087WT02	Q5R1E6
A0A087WT02	Q5R1I0
A0A087WT02	Q5R1I4
A0A087WT05	Q91XY4
A0A087WT09	Q925P2
A0A087WT09	Q925P3
A0A087WT12	F7A8H6
A0A087WT17	O08586
A0A087WT18	Q9DBN4
A0A087WT19	D3Z5T3
A0A087WT19	E9Q1M3
A0A087WT19	E9Q2H5
A0A087WT19	J3QJV4
A0A087WT19	J3QMD1
A0A087WT19	J3QMW1
A0A087WT19	L7N2C3
A0A087WT19	Q08EG8
A0A087WT19	W4VSP7
A0A087WT20	Q6PAC3
A0A087WT21	E9QA25
A0A087WT22	Q549C9
A0A087WT23	Q3TTF2
A0A087WT25	Q9Z273
A0A087WT26	Q80WQ2
A0A087WT27	Q9CYR6
A0A087WT28	Q5UKY4
A0A087WT28	Q6XJV4
A0A087WT28	Q6XJV6
A0A087WT28	Q9ES57
A0A087WT30	Q9CX66
A0A087WT32	Q91V83
A0A087WT34	Q9Z2D8
A0A087WT35	Q80XI4
A0A087WT36	Q9CZ57
A0A087WT38	Q9CYF5
A0A087WT39	Q9EQR5
A0A087WT41	A0A0B4J1F3
A0A087WT41	D3Z7A9
A0A087WT41	E9Q1Z6
A0A087WT41	F6PZL4
A0A087WT41	F8VQ94
A0A087WT41	P97484
A0A087WT42	Q9JIF3
A0A087WT44	O70252
A0A087WT45	A2AEW8
A0A087WT46	Q7TSQ1
A0A087WT47	Q9WUZ5
A0A087WT48	Q9QYJ0
A0A087WT49	Q9CYH5
A0A087WT50	Q8C5G4
A0A087WT51	Q9EQI8
A0A087WT52	O35280
A0A087WT53	Q6RHR9
A0A087WT54	Q3UMU9
A0A087WT55	Q91YD3
A0A087WT56	D3Z5M1
A0A087WT56	K3W4R9
A0A087WT58	F5H8M8
A0A087WT59	P07309
A0A087WT60	Q9DAK2
A0A087WT64	P97287
A0A087WT65	F8VQ45
A0A087WT67	L7N1X4
A0A087WT67	Q6P5C7
A0A087WT67	Q7M6X3
A0A087WT67	Q8BIN6
A0A087WT67	Q91W94
A0A087WT69	Q3URS3
A0A087WT70	Q61039
A0A087WT71	P97479
A0A087WT72	Q9WTK7
A0A087WT73	Q3U492
A0A087WT76	Q8BGT9
A0A087WT77	Q3TD49
A0A087WT80	Q9Z1B3
A0A087WT82	Q8R3X6
A0A087WT84	Q8BFT6
A0A087WT87	P56564
A0A087WT88	Q6VYH9
A0A087WT90	Q9EQI8
A0A087WT92	Q8CF66
A0A087WT94	Q9WV69
A0A087WT95	O55137
A0A087WT95	Q6Q2Z6
A0A087WT95	Q9QYR7
A0A087WT95	Q9QYR9
A0A087WT96	Q9Z1K5
A0A087WT97	E9Q918
A0A087WT98	Q8BT18
A0A087WT99	Q91V76
A0A087WTA0	A0A140T8J5
A0A087WTA0	E9Q9U0
A0A087WTA0	G5E8G2
A0A087WTA0	G5E8I7
A0A087WTA0	Q61068
A0A087WTA1	Q99P47
A0A087WTA2	E9PVN6
A0A087WTA5	Q61749
A0A087WTA6	Q6TAW2
A0A087WTA8	Q01149
A0A087WTA9	Q8BMY7
A0A087WTB0	P70270
A0A087WTB2	B1AWM0
A0A087WTB3	A2A4M2
A0A087WTB3	Q64526
A0A087WTB3	Q9D141
A0A087WTB3	Q9D3H7
A0A087WTB5	P22272
A0A087WTB6	P18872
A0A087WTB7	E9PZM7
A0A087WTB8	P58321
A0A087WTB8	Q9JKB1
A0A087WTB9	D3Z482
A0A087WTC0	Q8VEH6
A0A087WTC1	A0A140T8J5
A0A087WTC1	E9Q9U0
A0A087WTC1	G5E8G2
A0A087WTC1	G5E8I7
A0A087WTC1	Q61068
A0A087WTC3	D3YYM4
A0A087WTC5	Q80Y72
A0A087WTC6	Q8K396
A0A087WTC9	Q8BJ05
A0A087WTD0	Q8VIJ8
A0A087WTD2	Q9JKJ9
A0A087WTD3	Q9EQC7
A0A087WTD5	Q6GQT9
A0A087WTD6	Q8K301
A0A087WTD7	E9Q394
A0A087WTD8	P50431
A0A087WTD9	Q9CYH5
A0A087WTE0	Q80VQ0
A0A087WTE2	Q8VIJ8
A0A087WTE3	O08644
A0A087WTE4	E9QB01
A0A087WTE5	Q5SWK4
A0A087WTE6	B1AQX9
A0A087WTE7	Q8CBY3
A0A087WTE8	G5E8K5
A0A087WTE9	A0A0R4J0F4
A0A087WTF0	Q6NZK8
A0A087WTF1	Q9CZ92
A0A087WTF2	P99028
A0A087WTF3	G5E8K5
A0A087WTF5	A0A140T8J5
A0A087WTF5	E9Q9U0
A0A087WTF5	G5E8G2
A0A087WTF5	G5E8I7
A0A087WTF5	Q61068
A0A087WTF6	E9QB01
A0A087WTF7	E9Q2A2
A0A087WTF7	Q8BUX5
A0A087WTF9	E9PVP2
A0A087WTG3	Q9JLV5
A0A087WTG4	Q921F2
A0A087WTG7	E9PWX1
A0A087WTG8	Q8JZP2
A0A087WTH2	Q8C008
A0A087WTH3	Q3UXL4
A0A087WTH5	P23299
A0A087WTH8	Q9JKX4
A0A087WTH9	E9QL65
A0A087WTI0	E9Q203
A0A087WTI2	Q91XY4
A0A087WTI3	Q9DC70
A0A087WTI4	P99025
A0A087WTI6	A0A087WPA7
A0A087WTI8	A2ANF5
A0A087WTI9	Q8K1C9
A0A087WTJ0	A0A0R4J0J3
A0A087WTJ2	Q8BWF2
A0A087WTJ2	Q99MI6
A0A087WTJ3	O70343
A0A087WTJ4	Q9JLT2
A0A087WTJ5	P41163
A0A087WTJ6	P18111
A0A087WTJ7	P58771
A0A087WTJ8	Q9D4B2
A0A087WTJ9	O70481
A0A087WTK0	E9Q4S7
A0A087WTK1	Q80VP8
A0A087WTK2	Q3U319
A0A087WTK3	Q640N4
A0A087WTK6	B2KGA7
A0A087WTK8	Q9Z0P4
A0A087WTK9	Q8BWG9
A0A087WTL3	Q9D3D9
A0A087WTL4	P59017
A0A087WTL7	A0A0B4J1E4
A0A087WTL9	G3X9Q6
A0A087WTM0	Q8CD91
A0A087WTM1	G5E843
A0A087WTM4	Q9CXF7
A0A087WTM5	Q99KR6
A0A087WTM9	P25446
A0A087WTN1	A2RSX4
A0A087WTN2	L7N1X4
A0A087WTN2	Q6P5C7
A0A087WTN2	Q7M6X3
A0A087WTN2	Q8BIN6
A0A087WTN2	Q91W94
A0A087WTN6	E9PY16
A0A087WTN8	E9Q4F7
A0A087WTN9	O35640
A0A087WTP0	A2A559
A0A087WTP1	D3Z1Z1
A0A087WTP2	Q920E5
A0A087WTP3	Q3U0V1
A0A087WTP4	F8WH81
A0A087WTP5	G5E8K5
A0A087WTP7	Q8VIJ8
A0A087WTQ2	Q8CBE3
A0A087WTQ3	Q5SQX6
A0A087WTQ6	Q3UH53
A0A087WTQ7	Q99J79
A0A087WTQ9	E9Q203
A0A087WTR0	Q9CQK1
A0A087WTR1	A0A0R4J0H1
A0A087WTR2	B9EKK6
A0A087WTR3	E9QB01
A0A087WTR4	Q8BGA8
A0A087WTR5	Q8VCB2
A0A087WTR6	Q99PJ1
A0A087WTR7	Q6PFX6
A0A087WTR9	Q3UTC9
A0A087WTS0	A0A0R4J111
A0A087WTS1	E9PYV8
A0A087WTS3	Q8BP22
A0A087WTS4	P26883
A0A087WTS6	Q922I7
A0A087WTS8	Q3U2G2
A0A087WTS9	A0A0A0MQN6
A0A087WTT2	Q8CIB6
A0A087WTT5	Q925Q8
A0A087WTT6	D3YYL7
A0A087WTT6	P62274
A0A087WTT7	Q8CDC7
A0A087WTT8	P68500
A0A087WTU1	Q8K1C9
A0A087WTU2	Q9DCC4
A0A087WTU3	E9Q137
A0A087WTU4	F8VQ11
A0A087WTU5	Q3UH85
A0A087WTU6	Q8VCA5
A0A087WTU7	P11531
A0A087WTU8	Q9JJ57
A0A087WTU9	Q8K4E0
A0A087WTV1	Q8BX94
A0A087WTV2	P61290
A0A087WTV4	Q9EPU4
A0A087WTV5	Q8CHV6
A0A087WTV6	Q922Q4
A0A087WTW0	Q8VDF2
A0A087WTW1	B2RW11
A0A087WTW2	Q91VW5
A0A087WTW3	Q8VHR0
A0A087WTW5	Q9WUF3
A0A087WTW8	Q01065
A0A087WTW9	A0A087WNZ9
A0A087WTX3	Q8K4K2
A0A087WTX6	O08800
A0A087WTX8	Q8K021
A0A087WTX9	D3Z482
A0A087WTY0	L7N1X4
A0A087WTY0	Q6P5C7
A0A087WTY0	Q7M6X3
A0A087WTY0	Q8BIN6
A0A087WTY0	Q91W94
A0A087WTY1	P97304
A0A087WTY2	P29416
A0A087WTY3	O88876
A0A087WTY4	E9Q3P4
A0A087WTY5	P02463
A0A087WTY6	Q61477
A0A087WTY8	Q497Q6
A0A087WTY9	J3QP80
A0A087WTY9	Q9CQL7
A0A087WTZ2	Q99NF8
A0A087WTZ3	Q8VDI9
A0A087WTZ4	Q921F2
A0A087WTZ5	Q922Y1
A0A087WTZ7	Q6PDH0
A0A087WTZ8	Q91VT1
A0A087WU01	Q9JKV5
A0A087WU02	Q9CR89
A0A087WU03	D3YTQ3
A0A087WU05	Q9D486
A0A087WU06	P58854
A0A087WU07	Q7TNS2
A0A087WU08	Q61646
A0A087WU09	Q8CJ40
A0A087WU10	Q9CPT5
A0A087WU11	Q8BMY7
A0A087WU12	G3UW74
A0A087WU13	P40240
A0A087WU14	Q8K021
A0A087WU18	Q9Z2U4
A0A087WU21	P24807
A0A087WU24	E9Q918
A0A087WU25	Q8K0L3
A0A087WU26	A2AVJ7
A0A087WU27	Q8VCT3
A0A087WU28	Q9CPY1
A0A087WU29	P14220
A0A087WU31	Q3TF45
A0A087WU33	B1AQX9
A0A087WU35	L7N1X4
A0A087WU35	Q6P5C7
A0A087WU35	Q7M6X3
A0A087WU35	Q8BIN6
A0A087WU35	Q91W94
A0A087WU36	B2RXS4
A0A087WU37	Q8VEH6
A0A087WU38	G3XA20
A0A087WU39	Q9WVS6
A0A087WU40	Q8BYK6
A0A087WU43	A0A0R4IZW5
A0A087WU44	Q8BYH8
A0A087WU46	G5E8H3
A0A087WU48	Q8R1G6
A0A087WU49	E9PWQ7
A0A087WU50	Q9D9T6
A0A087WU51	Q3V2J0
A0A087WU52	Q7TMB8
A0A087WU53	A2ADH1
A0A087WU54	Q80VQ0
A0A087WU55	Q5SV80
A0A087WU57	O88533
A0A087WU58	A4Q9F4
A0A087WU62	Q9D0Q7
A0A087WU63	Q8BYK6
A0A087WU64	P33609
A0A087WU65	P97390
A0A087WU66	Q8VEH6
A0A087WU67	Q80UG1
A0A087WU68	Q922I7
A0A087WU70	D3Z6E3
A0A087WU71	Q8CHV6
A0A087WU73	Q8K4J6
A0A087WU76	P50172
A0A087WU77	Q8BH52
A0A087WU78	B1AV60
A0A087WU80	Q60769
A0A087WU81	P00329
A0A087WU83	Q9CQN6
A0A087WU84	P33534
A0A087WU85	Q3U481
A0A087WU87	P24807
A0A087WU88	P23299
A0A087WU89	Q4VA45
A0A087WU90	A0A0B4J1G0
A0A087WU93	Q9DBG3
A0A087WU95	Q14CH0
A0A087WU96	E9PUQ5
A0A087WUA0	E9PV24
A0A087WUA1	E9Q4Z2
A0A087WUA4	Q3TTF2
A0A087WUA6	A0A0A0MQI6
A0A087WUA7	A0A0G2JGH6
A0A087WUA8	Q99PJ1
A0A087WUB0	F8WJF7
A0A087WUB1	Q14B48
A0A087WUB9	Q9CWL8
A0A087WUC0	Q9WV69
A0A087WUC4	P00329
A0A087WUC5	B1AZR7
A0A087WUC6	Q9CYN2
A0A087WUC7	Q99PJ1
A0A087WUC8	E9QLP0
A0A087WUC9	G3UW81
A0A087WUC9	Q99N18
A0A087WUC9	Q9EP75
A0A087WUD0	Q8CA95
A0A087WUD1	Q8BIF9
A0A087WUD2	O35177
A0A087WUD3	Q78XF5
A0A087WUD4	A0A140T8J5
A0A087WUD4	E9Q9U0
A0A087WUD4	G5E8G2
A0A087WUD4	G5E8I7
A0A087WUD4	Q61068
A0A087WUD7	Q8BTY8
A0A087WUD9	P97290
A0A087WUE1	A2A690
A0A087WUE3	Q3UTC9
A0A087WUE4	Q8CBY3
A0A087WUE6	E9Q507
A0A087WUE7	E9PZM7
A0A087WUE9	F8WJD4
A0A087WUF0	G3UW81
A0A087WUF0	Q99N18
A0A087WUF0	Q9EP75
A0A087WUF3	P97471
A0A087WUF6	P15655
A0A087WUF8	Q80VQ0
A0A087WUF9	Z4YKJ7
A0A087WUG0	Q8CHB8
A0A087WUG3	Q8C0M9
A0A087WUG6	P06880
A0A087WUG7	P26151
A0A087WUG8	A4Q9F4
A0A087WUG9	E9PY62
A0A087WUH1	Q7TNM2
A0A087WUH3	E9PY62
A0A087WUH4	Q8CC27
A0A087WUH5	Q8VHD6
A0A087WUH9	P53351
A0A087WUI2	O88569
A0A087WUI4	E9PY32
A0A087WUI4	E9QJW9
A0A087WUI6	E9Q6K3
A0A087WUI7	Q9ERC8
A0A087WUI8	Q922H4
A0A087WUJ1	Q9EQR5
A0A087WUJ2	Q8BSY0
A0A087WUJ3	Q9CWT3
A0A087WUJ4	Q7TSH3
A0A087WUJ5	A3KGW5
A0A087WUJ7	P29416
A0A087WUJ8	Q8C6G0
A0A087WUJ9	Q6PFQ7
A0A087WUK1	Q01887
A0A087WUK2	D3YTQ3
A0A087WUK3	Q9CSU0
A0A087WUK4	Q505F1
A0A087WUK7	Q6PDC8
A0A087WUK8	Q8C811
A0A087WUL1	Q9D486
A0A087WUL2	D3YUM8
A0A087WUL2	Q9R1P1
A0A087WUL4	Q7TN75
A0A087WUL6	Q8QZR8
A0A087WUL9	Q9WVJ2
A0A087WUM0	E9PVN6
A0A087WUM3	Q9CQ54
A0A087WUM5	Q9CYL5
A0A087WUM8	Q8C9M8
A0A087WUM9	Q9CTG6
A0A087WUN1	P22725
