logoddratios,pvalue
LYSOSOME,-0.0219228941421526,0.734893624891384
GLUTATHIONE METABOLISM,-0.0395595674338785,0.742853965205025
REGULATION OF AUTOPHAGY,-0.0555910112506967,0.757719948407567
GLYCOSPHINGOLIPID BIOSYNTHESIS GANGLIO SERIES,-0.0632519042945747,0.75842744830517
LIMONENE AND PINENE DEGRADATION,-0.0745968422092381,0.758487717512183
ALANINE ASPARTATE AND GLUTAMATE METABOLISM,-0.0453319633703032,0.764201773423587
CYTOSOLIC DNA SENSING PATHWAY,-0.0453319633703032,0.764201773423587
WNT SIGNALING PATHWAY,-0.0214700439005073,0.773605587255588
TASTE TRANSDUCTION,-0.037902527378037,0.78513851597577
STEROID BIOSYNTHESIS,-0.0959767011707881,0.791838471320859
GLYCOSAMINOGLYCAN BIOSYNTHESIS CHONDROITIN SULFATE,-0.0664072434687693,0.799662770556257
FATTY ACID METABOLISM,-0.0515674200019409,0.804456537172165
GLYCEROLIPID METABOLISM,-0.0585331266997259,0.805599681206751
LINOLEIC ACID METABOLISM,-0.0771457137731569,0.805766904658113
RIBOFLAVIN METABOLISM,-0.0936253937083589,0.813401619778232
DNA REPLICATION,-0.0582969405346708,0.815657082446207
MELANOGENESIS,-0.0347216626921784,0.828013562557318
SPHINGOLIPID METABOLISM,-0.0759018648501891,0.834730314254824
PYRIMIDINE METABOLISM,-0.0486731942087651,0.842267014332371
GALACTOSE METABOLISM,-0.0746919650454068,0.845016326122732
PRIMARY BILE ACID BIOSYNTHESIS,-0.108842610718501,0.855607278885944
DRUG METABOLISM OTHER ENZYMES,-0.0586424319322957,0.85790341861793
NEUROTROPHIN SIGNALING PATHWAY,-0.0362254827058122,0.866815076399559
N GLYCAN BIOSYNTHESIS,-0.0681487671788714,0.869014418823424
TERPENOID BACKBONE BIOSYNTHESIS,-0.131413954597759,0.881255547047752
PROTEIN EXPORT,-0.131413954597759,0.881255547047752
BETA ALANINE METABOLISM,-0.0917253043441872,0.887984439753813
PURINE METABOLISM,-0.0387259598798344,0.888237718307909
NEUROACTIVE LIGAND RECEPTOR INTERACTION,-0.025975985897838,0.888415799171002
RETINOL METABOLISM,-0.0659134439473438,0.890404935871468
PYRUVATE METABOLISM,-0.0825377036997515,0.899443656476007
GLYCOSAMINOGLYCAN BIOSYNTHESIS KERATAN SULFATE,-0.161747017928138,0.907275420448381
CYTOKINE CYTOKINE RECEPTOR INTERACTION,-0.0351042249618206,0.907445954359439
FRUCTOSE AND MANNOSE METABOLISM,-0.0983569397247327,0.907865788336266
VALINE LEUCINE AND ISOLEUCINE BIOSYNTHESIS,-0.143604716977713,0.909615860126785
STEROID HORMONE BIOSYNTHESIS,-0.0943773802006808,0.910862428969887
PANTOTHENATE AND COA BIOSYNTHESIS,-0.13150337609575,0.912937689220945
NOD LIKE RECEPTOR SIGNALING PATHWAY,-0.0722455808714441,0.915600268471784
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450,-0.0779475871276823,0.916786870636431
GLYCOSAMINOGLYCAN BIOSYNTHESIS HEPARAN SULFATE,-0.115410406133863,0.91939250039686
DRUG METABOLISM CYTOCHROME P450,-0.0781426055874721,0.927145988466258
PPAR SIGNALING PATHWAY,-0.0746402304517831,0.93317925090491
GLYCOLYSIS GLUCONEOGENESIS,-0.0872859850273419,0.94597217953013
HISTIDINE METABOLISM,-0.147361384606342,0.946919511882155
NON HOMOLOGOUS END JOINING,-0.181393277867113,0.947764667524138
AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM,-0.103864319445406,0.948735485604431
CITRATE CYCLE TCA CYCLE,-0.118740813481503,0.957707197136824
PROTEASOME,-0.142277298355266,0.958111687497211
ETHER LIPID METABOLISM,-0.158876099914953,0.967246202548052
BIOSYNTHESIS OF UNSATURATED FATTY ACIDS,-0.173690323328691,0.968205347181384
GLYCEROPHOSPHOLIPID METABOLISM,-0.116751911281773,0.974381540700004
RIG I LIKE RECEPTOR SIGNALING PATHWAY,-0.116751911281773,0.974381540700004
BUTANOATE METABOLISM,-0.145447116253571,0.977780236930205
PARKINSONS DISEASE,-0.109155135477194,0.983749186762723
GLYCOSYLPHOSPHATIDYLINOSITOL GPI ANCHOR BIOSYNTHESIS,-0.170907606873344,0.983753426517113
OXIDATIVE PHOSPHORYLATION,-0.117588303014057,0.988809026536324
SNARE INTERACTIONS IN VESICULAR TRANSPORT,-0.266201949993206,0.992269420903006
RIBOSOME,-0.162238722305839,0.994578955096786
PEROXISOME,-0.138800110802601,0.997282524307363
OLFACTORY TRANSDUCTION,-0.0780713006287768,0.999953457334408
