mouse_uniprot	mouse_entrez	mouse_refseq	human_entrez	human_refseq	human_uniprot
Q5NCP0	207742	NP_766036.2;XP_006532764.1;XP_011247146.1	54894	NP_060233.3	Q68DV7
E9Q0E2					
Q9D4H1	66482	NP_079864.1;XP_006516789.1	55770	NP_060773.3	Q96KP1
B2RY54					
Q8C905					
D3Z3E8					
A0A1B0GSW6					
Q61858	81845	NP_001122069.1;NP_115849.2	7918	NP_149417.1	O95872
Q3V0H9					
F8TZM6					
Q8C3R3					
A0A0R4J059					
D6RHM6					
Q8K1G6					
A0A0F7RQR1					
Q62272					
Q8VHZ5	73284	NP_084419.2	115265	NP_660287.1	Q96D03
Q91ZC4	404237	NP_997419.1			
F6Y7L3					
Q80ZY7					
D3YZX0					
Q8C2K1	23853	NP_081461.2	50619	NP_071330.3	Q9H4E7
A0A0G2JFF7					
Q3V357					
P04071	16615	NP_032480.1	354	NP_001639.1	P07288
O78196					
A2AQE9					
Q3U1F5					
Q8C2A8					
A0A0G2JDG9					
E9Q136					
E9PX59					
Q9D3D8					
A2BI28					
Q8BVY5					
Q3TN22					
Q8K4Q7	223753	NP_663450.3	64781	NP_073603.2	Q8TCT0
Q3TZ72					
X5J5C6					
Q8BXJ4					
Q3TYL8					
B7ZCR6					
Q70LU8					
D3Z6D8					
Q9CQM0	66257	NP_079725.1	84276	NP_115692.1	Q9BSH3
Q8K0N8					
S4R2I3					
Q3TS83					
Q3U068					
C4PFH6					
A0A0D9SEG8					
Q0VGS8					
P70380	16173	NP_032386.1;XP_006510089.1;XP_006510090.1;XP_006510091.1	3606	NP_001553.1	Q14116
A0A0R4J1A9					
Q9WVF9	93675	NP_001276635.1;NP_001276636.1;NP_001276637.1;NP_064653.1			
H3BLC9					
A0A0G2JDM7					
Q9CQ28	66632	NP_079951.1	89978	NP_542381.1	Q7L8W6
Q8BIE1					
Q9CT25					
A0A140LID6					
A0A0J9YUW5					
Q497M4					
Q8BTW8	66971	NP_080152.1	51654	NP_057492.2	Q96SZ6
A0A140LJC0					
B1ARJ5					
P30549	21337	NP_033340.3	6865	NP_001048.2	P21452
Q3U4Y0					
D3YZ69					
Q3TLN3					
Q3TT65					
Q8R1E1					
D3Z698					
A0A0A6YY19					
F7A063					
A0A087WSE0					
Q9D6S0					
Q8K392					
Q9CUC2					
F6R5G3					
F7CM37					
P61622					
E9Q5R2					
A0A140T8R2					
Q3UMR9					
A2BIM8	100039028;100048884	NP_001157998.1;NP_001186262.1			
F6QG91					
Q149U2					
Q8BG62					
Q8C6S8					
F6VE79					
J3QPE5					
Q8K0V0					
B7ZP01					
Q6V956					
A0A087WNW0					
Q8BJ10					
G3UXW3					
L7N463					
G3XA23					
B2RQD7					
E0CZ87					
A0A068BFR3					
Q8BQU8					
Q3UU93					
S4R2M3					
D3YVQ5					
F7CR30					
G3UY65					
Q0PD45					
Q3U2K6					
Q91VE3	23993	NP_036002.1	5650	NP_644806.1	P49862
P97460	18143	NP_032745.2	4862	NP_002509.2	Q99743
D3Z0X0					
A4FUQ5	14291	NP_032067.2			
Q5SSE9	268379	NP_839990.2	154664	NP_689914.2	Q86UQ4
Q8K4B0	116870	XP_006515485.1	9112		Q13330
Q8BS95	67549	NP_080505.1	51463	NP_057418.1	B7ZAQ6;P0CG08
P62869	67673	NP_080581.1			
Q80V79					
Q9DCZ4	68316	NP_001186266.1;NP_001186267.1;NP_001186268.1;NP_080949.2	79135	NP_077027.1	Q9BUR5
A0A087WP82					
V9GX08					
Q3UPZ2					
Q80WR8					
Q3B850					
G3UVW4					
Q3UKC6					
A0A0G2JG19					
A0A0U1RPH2					
E0CYP7					
Q80X87					
E9Q6L7					
K7N686					
A0A125T908					
Q3TAG9					
Q9ERX0					
F6R186					
Q8BZ45					
D3Z525					
Q61850	14234	NP_038547.2	2303	NP_005242.1	Q99958
Q5BL07	71382	NP_001280735.1;NP_082053.1	5189	NP_000457.1	O43933
G3X949					
Q3TW40					
Q32ZM2					
A0A0G2JEX1					
Q3UR35					
B7ZJH8					
Q3TL00					
Q9DAS2	75434	NP_083561.1	339778	NP_001098989.1	A6NJV1
A0A1B0GRD7					
F6TD25					
Q9CXH4					
Q6GTF8					
A0A0R4J247					
V9GXF6					
F6ZKZ3					
B0LAD6					
Q9Z2S5					
G3UZX7					
D2XZ33					
B2RT44					
D3YXT0					
Q2V6Q0					
B0V2I0					
J3QM73					
H3BKN0					
Q9JKR6	12282	NP_067370.3;XP_006510022.1;XP_006510023.1;XP_006510024.1	10525	NP_006380.1	Q9Y4L1
Q8BP92	26611	NP_036122.2	5955	NP_001258766.1	Q14257
A0A140LI96					
B5BQV4					
Q3TXI9					
Q9QZ57	56534	NP_064344.1	8988	NP_006299.1	Q12988
A0A075B5V0					
Q9D7X8	110175	NP_080913.1	79017	NP_076956.1	O75223
Q80ZA4	192190	NP_619615.2	93035	NP_803875.2	Q86WI1
Q9CXK8	66164	NP_079667.2	51388	NP_057185.1	Q9Y221
F7ABE5					
A0A0U1RQA7					
Q9JLV5	26554	NP_001300657.1;NP_057925.1	8452	NP_003581.1	Q13618
F8VQH7					
D3Z4L9					
Q3UIU9					
Q9JME4					
A0A0N4SW10					
G3UZT6					
A2A8N0					
F7CTF8					
Q9CUM3					
J3QPQ1					
Q920F9					
I7HIQ9					
Q9D2E7					
F6U8U1					
A6XA75					
E9PWT4					
Q3U593					
A2A7F4					
G3UX43					
Q3UG18					
D6RDR1					
B2RQD1					
Q6IR05					
Q3V2R6					
Q61491					
Q3U6S1					
Q3UGZ2					
Q923B0	223267	NP_663441.1;XP_006518983.1	87769	NP_149101.1	Q9BVM4
Q61599	11857	NP_001288230.1;NP_001288232.1;NP_001288234.1;NP_001288237.1;NP_001288238.1;NP_031512.1;XP_006505467.1	397	NP_001166.3	P52566
Q7TT32					
Q3UDL9					
B1AXW4					
Q9CPQ0					
Q5HZJ8					
Q8VF70					
Q1EDY5					
O54834	11856	NP_001274459.1;NP_033837.2;NP_848869.1;XP_006528757.1;XP_011246085.1	395	NP_038286.2	O43182
O35492	102414	NP_031739.3;XP_006510802.1;XP_017168549.1	1198	NP_001123500.1	P49761
A0A0N4SVE5					
Q8BYF0					
A0A0R4J107					
P13504	16177	NP_032388.1;XP_006495776.1	3554	NP_000868.1	P14778
A0A0G2JGB7					
A0A075B5Z1					
Q5BKP3					
J3QP42					
A2AQ34					
Q3U1M7					
Q497L9					
W4VSP1					
D3YZI4					
Q923W9	110751	NP_291093.2	80332	NP_001269376.1	Q9BZ11
Q8VFQ1					
Q99KF9					
P20444	18750	NP_035231.2	5578	NP_002728.1	P17252
Q3UZA5					
A0A140D4A4					
A2AET8					
Q3UME0					
Q8BZQ3					
Q3UG50	243978	NP_001030040.2	117194	NP_473371.1	Q96LB1
Q3TN42					
Q91V99					
A0A087WPP2					
Q9CPY2					
A0A0J9YUS0					
Q8VDC7					
H3BJ23					
G3DRA8					
X5J4N0					
Q810Q5	433470	NP_001004174.1;XP_006499936.1	84419	NP_115789.1	Q9C002
B7ZN14					
A0A0G2JFY6					
V9GXM8					
A0A0A6YXT0					
Q548P0					
Q9D097					
Q3TJN5					
Q99J29					
R9TNV1					
Q9D0B2					
Q4FJM0					
F6VDB5					
O88669					
A0A0U1RPK7					
Q8BP78	70567	NP_001074544.1;XP_006527397.1;XP_006527398.1	118924	NP_660289.2	Q70Z53
Q61679					
A2AT66					
A0A140LIR6					
Q8C3D9					
A2AP93					
A0A140LIW2					
P97372	19188;621823	NP_001025026.1;NP_001268401.1;NP_035320.1	5721	NP_002809.2	Q9UL46
Q9CT10	71810	NP_082209.1	8498		Q9H6Z4
Q99MP3					
D3YVA2					
Q61461					
Q3THA4					
Q6IM74					
Q9JKX6	53893	NP_058614.1;XP_006497575.1;XP_006497576.1	11164	NP_054861.2	Q9UKK9
K7T9J0					
A8IP73					
Q3TNG8					
A0A0X1KG62					
Q3U818					
Q3UCW8					
Q566J0					
E9Q009					
E9Q3M9					
Q9D3N5					
A6H6C9					
G3UW44					
Q9D425					
A0A068BER6					
A0A0J9YV68					
Q14DT0					
Q3UWW7					
Q9D015					
Q3UR91					
P15375	17878	NP_032683.1	4618	NP_002460.1	P23409
Q569X9					
Q8C4I6					
Q3UQG0					
E9Q1K3					
Q8CCY1					
Q8VFD5					
Q8CEK4					
O55093					
D3Z5D4					
A0A0G2JDF8					
B7ZC98					
Q3TBP6					
Q925H4					
A2AMJ1					
Q5DTU1					
Q8BSX1					
B0V2N3					
Q3TTJ4	621080	NP_001034309.1	157773	NP_001007091.1	Q96LL4
Q3TEV8					
Q3TBC9					
K7TH73					
F8VPT7					
Q6P8I7					
Q8NHG2					
Q8K494					
Q9DC94					
P41163	14008	NP_031985.2	2116	NP_055024.2	O00321
A2APU8	100043920;100862261;100862324;545611	NP_001078999.1;XP_001481289.2;XP_003688841.1;XP_003689294.1	259308	NP_001135389.1	Q6ZU69
A0A0G2JDU1					
Q8VEU1					
F6VYM1					
Q4QQN3					
Q8C4F9					
Q3TNY8					
P61372	16392	NP_067434.3;XP_006517596.1	3670	NP_002193.2	P61371
Q80ZE9					
Q3U717					
D3Z6J3					
Q5R1C4					
E0CYW5					
Q6P4T4					
Q3UN79					
A0A0A6YXN8					
Q9DCR0					
Q4VBC9					
Q6R5C4					
X5J5I0					
Q99LU0	67064	NP_077152.1	57132	NP_065145.2	Q7LBR1
Q8K0C1	230673	NP_666264.1	9670	NP_055467.3	O94829
E9QQ93					
A0A087WP11					
B1AU23					
Q8BKZ2					
F2Z3Z6					
Q3TGP5					
B9EIU7					
Q8C562					
B1AQZ5					
Q8VF28					
A0A087WNW3					
E9PWB2					
J3QM98					
G3UWP3					
A0A0G2JE16					
B2RWZ7					
B7ZND4					
Q52KR3	353211	NP_851993.3;XP_006527217.1	158471	NP_056040.2	Q8WUY3
A0A0A0MQ85					
Q7TNY3					
Q8CHT3	109077	NP_789813.1	80789	NP_085131.1	Q6P9B9
P42925	19301	NP_033019.2	5827	NP_061133.1	Q9NR77
E0CYD4					
Q8CC02					
D3Z0K7					
S4R2S3					
A0A0N4SVU8					
A1YYM8					
P11588	100039054	NP_001186924.1			
B1ATR2					
B1ATU5					
Q8BG80	243867	NP_780739.1;XP_006539998.1;XP_006539999.1;XP_006540000.1	23403	NP_001073938.1	Q6PJ61
Q547B5					
Q8C7X1					
V9GXN6					
Q9D5Q6					
Q9Z0E2	12667	NP_001264970.1;NP_034023.1	8646	NP_003732.2	Q9H2X0
Q7TT21					
O70435	19167	NP_035314.3;XP_017170485.1	5684	NP_002779.1	P25788
Q3U164					
A2RSC2					
S4R2I6					
W5XIK7					
Q8BMQ3	242509	NP_766458.3	54796	NP_060107.3	Q6ZN30
Q8C2M7					
A0A0G2JGN1					
C7B5Q8					
D3YUK4					
F6YPR4					
E9Q5G9					
Q3TZ05					
Q61474	17690	NP_032655.1	4440	NP_002433.1	O43347
Q7TRK6					
K7TDH5					
B9EJ41					
A0A087WS40					
Q3V0T7					
Q8VFE0					
Q3TNP2					
B8JK51					
Q3TRT7					
Q505N9					
A0A1B0GSV6					
Q3U728					
Q6P5D8	74355	NP_083163.3	23347	NP_056110.2	A6NHR9
F6QKC0					
F6S0D5					
Q3UQH7					
Q9CR70	66192	NP_079686.1			
Q9WVF6	18782	NP_035239.1;XP_006538720.1	26279	NP_036532.1	Q9UNK4
W8QD88					
P58465	69274	NP_598471.3	10217	NP_001008393.1	O15194
D3YUM6					
Q8R554	170711	NP_570950.1	161725	NP_570971.1	Q8TE49
Q8BNT0					
A0A0J9YUH4					
Q8BZ14					
D3Z5F9					
A0A0N4SVQ3					
H3BK58					
H7BX05					
Q3UDS1					
Q3U837					
Q920P2					
D3Z5W3					
Q3ULB8					
Q9D096					
Q7TRI0					
E0CXB3					
B7ZNE4					
Q9D4K1					
G3UX53					
Q8K326					
F6XX36					
Q3UR07					
A0A0A6YWT5					
Q9Z1P6	66416	NP_075691.1	4701	NP_004992.2	O95182
S4R258					
E9PZ13					
Q3TQT3					
Q3U2S0					
Q8C100					
Q8BNQ1					
Q9WVP2					
F6WSS0					
Q9QZ24					
Q497X5					
E9PVA6					
E9Q3H1					
B2RV94					
Q8BTC2					
A0A0U1RPU6					
D3Z7U1					
E9QQ90					
Q3TNL1					
A0A0R3P9C9					
Q9CRJ4					
B2KFW6					
A0A0G2JFF9					
D6RCW7					
G5CJW7					
Q8BIX2					
G3X9I0					
Q8BI18					
Q3V1N2					
Q3UVY4					
P09174	18588	NP_036197.1;XP_006532518.1	5148	NP_002593.1	P18545
Q9D9R7	70887	NP_001033705.2;NP_081867.1;NP_083654.1			
Q9WUA6	23797	NP_035915.3;XP_006496881.1;XP_006496882.1	10000	NP_005456.1	Q9Y243
Q6P5H2	18008	NP_057910.3			
D6RFC4					
Q8BI85					
Q921R9					
A2A839					
Q8K358					
F6QD74					
D3K2X3					
Q56VR2					
J3QQ00					
D3YW29					
B2RXS7					
Q9D264					
Q9D3E7					
A0A0A0MQI5					
Q8BKY0					
O35136	17968	NP_001106679.1;NP_035084.1	4685	NP_004531.2	O15394
Q8BWR8	52428	NP_082173.3	85415	NP_149094.3	Q8IUC4
D3YY06					
A0A0G2JFK3					
E9PYE0					
Q8CIW3					
Q8BKZ3					
Q2VPD4	272322	NP_001276608.1;NP_001276609.1;NP_001276610.1;NP_758513.1;XP_006507116.1	56938	NP_064568.3	Q8WYA1
Q9D8U7	69185	NP_081257.1;XP_006500192.1;XP_006500193.1;XP_006500194.1	56986	NP_001138427.1	Q8N5C7
Q1MXF8					
Q8C1K1					
Q6W045					
A2A649					
H2ELL3					
B2KGD7					
Q6R5H0					
Q9D7G0	19139	NP_067438.1	5631	NP_002755.1	P60891
P15379	12505	NP_001034240.1;NP_001171256.1;NP_001171257.1;NP_001171258.1;NP_033981.2	960	NP_000601.3	P16070
Q9QYY7	71690	NP_076101.1	11082	NP_008967.1	Q9NQ30
F6YZ95					
P42866	18390	NP_001034741.1;NP_001289722.1;NP_001289723.1;NP_001289724.1;NP_001289725.1;NP_001291866.1;NP_001291867.1;NP_001291877.1;NP_001291879.1;NP_001291884.1;XP_017169315.1;XP_017169316.1	4988	NP_001272453.1	P35372
Q8R526					
Q8C6H0					
Q3TKX1					
Q148W6					
H8ZX91					
E9PYS1					
D3Z2I9					
Q3TTB7					
Q3U8N2					
Q9D071	72199	NP_082428.1	64210	NP_071757.4	Q96T76
M0QW88					
Q8BXL3					
Q3URH5					
A0A0J9YUX6					
P01895					
E9PWW2					
A2ANA3					
Q5U427					
P34914	13850	NP_001258332.1;NP_031966.2	2053	NP_001970.2	P34913
Q6W036					
Q6WJ10					
E9PVJ6					
P24788	12537	NP_031687.2;XP_006538571.1;XP_006538573.1;XP_006538574.1;XP_011248481.1;XP_017175418.1;XP_017175419.1;XP_017175422.1;XP_017175423.1	728642	NP_076916.2	Q9UQ88
Q6P2B2					
E9PY99					
Q4QQM3					
D6REU1					
Q9D1R6					
Q9EQM6	94223	NP_201581.2	54487	NP_073557.3	Q8WYQ5
Q91X88	68273	NP_001277587.1;NP_080927.1;NP_084062.2	55624	NP_060209.3	Q8WZA1
Q3TCL7					
A0A1B0GSE7					
A0A087WPR9					
D3Z0V7					
A0A0R4J1E9					
Q3TKK3					
B2RXP3					
Q9ET21					
P01678					
Q14B25	368202	NP_001001650.1			
O35295	19291	NP_035351.1	5814	NP_150093.1	Q96QR8
Q811U5					
Q3TDU5					
A2AI52					
Q3UNL5					
D3Y2F8					
X5J5P6					
J3QNK9					
G3UY06					
Q8BKY2					
Q8C4J2					
D6RFD6					
Q60755	12311	NP_001036190.1;NP_031614.2;XP_006505035.1;XP_006505036.1	799	NP_001158209.1	P30988
Q07763	18106	NP_061199.2	51744	NP_001160135.1	Q9BZW8
Q9JJY9	50929	NP_058667.1;XP_006513928.1	50616	NP_065386.1	Q9GZX6
Q8C051					
Q8R1U5					
Q3TTW1					
Q8CBG5					
E9PW59					
B0QZL9					
Q3UYM6					
A2AVR9					
A7MCU0					
E9Q6S8					
Q9DB41	71803	NP_001074517.1;XP_006506712.1;XP_006506713.1	83733	NP_113669.1	Q9H1K4
Q99KV1	67838	NP_001177733.1;NP_001177734.1;NP_080676.3	51726	NP_057390.1	Q9UBS4
H3BKE2					
A0A1B0GSS0					
Q3V341					
B1AQX1					
Q3UKB4					
A0A140LIN9					
H3BLQ9					
Q6UAF5					
B1AUN2					
D3Z6P6					
Q6TDG9					
Q8CAZ5					
A6H6E6					
Q99NB3					
Q3UTR1					
Q3UJK5					
Q9EPT3					
F8WGT4					
A0A0G2JEM1					
F6XU64					
E0CY68					
Q3UVE9					
Q5XF90	224079	NP_001158085.1;XP_017172445.1	84239		Q4VNC1
Q9QXZ0					
Q99LT6					
Q3UPQ2					
Q3TJZ1					
G5E8W5					
H3BK01					
Q62109					
A0A0N4SV56					
A0A140LJ40					
E9PYV1					
D6RES7					
B7ZWL5					
A0A0G2JFA8					
Q9D4A7					
Q7TPW4					
H3BLP0					
Q642I5					
Q9JLU0					
Q3UAS8					
Q6NZP6					
Q9CPP6	68202	NP_080890.1	4698	NP_004991.1	Q16718
Q6VNS1	18213	NP_032772.3;NP_877961.1	4916	NP_001012338.1	Q16288
D3Z3C0					
P62322	66373	NP_079796.1	23658	NP_036454.1	Q9Y4Y9
Q3TS46					
Q3TUB5					
Q8BLR9	319594	NP_795932.2	55662	NP_060372.2	Q9NWT6
Q8BY36					
O88226					
E9PXI1					
Q3UM09					
Q8R284					
F6QY34					
A0A0N4SVA0					
Q3TYF8					
X5J4C5					
B5AFL0					
Q8BZR6					
G8JL55					
Q3UP20					
P28740	16563	NP_001139251.1;XP_006517602.1	3796	NP_001091981.1	O00139
F7DEW9					
G0XYH7					
Q8C558					
E9PX22					
Q3TDB5					
Q8K201	213673	NP_694757.1	56951	NP_064584.1	Q8NC54
Q9QYZ8	56811	NP_064661.2	27123	NP_055236.1	Q9UBU2
E9PUC8					
Q9D4E6					
A0A0R4J0N5					
Q9CVP0					
G5E887					
H3BKL2					
A0A0G2YJ29					
A0A0G2JEF0					
Q49MD7					
Q8R0Z4					
Q61362	12654	NP_031721.2;XP_006529174.1	1116	NP_001267.2	P36222
C3VDI4					
A0A0G2JDM9					
A5HLW3					
Q8K2L2					
A0A0G2JGB6					
U5LK74					
Q80SS8					
Q8BG14					
D3YUR6					
Q3U3L6					
Q3U5P8					
K7U5N8					
Q544G5					
Q8R2P7					
Q9JHK6					
H7CHP8					
Q9CWD8	76826	NP_084036.2	80224	NP_079428.2	Q8TB37
Q4KMM4					
Q5F2A0					
Q3TUV1					
Q3TAJ2					
Q32MD9	57810	NP_067314.2;XP_006510570.1;XP_006510571.1;XP_006510572.1;XP_006510573.1;XP_006510574.1;XP_011240883.1	50937	NP_058648.4	Q4KMG0
A0A140LJF6					
A0PJ63					
A0A0J9YUW8					
A7MCT4					
F6Y9T6					
Q8BNF7					
Q8K1U5					
Q9JHV4					
A0A172Q396					
Q3UF55					
Q3U552					
Q62401	20293	NP_035461.2	6347	NP_002973.1	P13500
D3Z1U0					
Q3UHE7					
D3YUP0					
O88185					
Q3TED1					
Q8BJQ0					
Q9JMH3	23956	NP_001153635.1;NP_001153636.1;NP_001153637.1;NP_056565.1;XP_006529587.1	4759	NP_005374.2	Q9Y3R4
Q9DBA5					
Q0VGT1					
Q9JJ83					
Q8BSL2					
Q91VA1	70129	NP_076046.1	80736	NP_079533.2	Q53GD3
K7TDC3					
Q3V4B4					
Q9DA95					
Q9CR04	67334	NP_080372.1			
E9PV51					
F7CDH3					
Q9Z237					
A2A588					
Q8CHU3	13855	NP_001239118.1;NP_034278.1;XP_017169742.1	22905		O95208
Q3TUQ7					
E0CY75					
Q66L41					
Z4YJF5					
A2AED9					
Q3UUY3					
Q9CR62	67863	NP_077173.1	8402	NP_003553.2	Q02978
Q3TAS6	69683	NP_932108.2	284361	NP_996261.1	Q5UCC4
Q3ZB30					
Q3THD5					
P62947	67945	NP_061348.1			
D6RGB7					
A0A1B0GSX7					
P35242					
G5E8T0					
Q8C5J0					
Q62010	12659	NP_031722.1	5016	NP_002548.3	Q12889
A0A0A6YVU2					
B0R029					
Q31132					
B2RRI4					
D3YVR3					
E9PZE9					
A0A087WQM4					
B5T0I9					
P15409	212541	NP_663358.1	6010	NP_000530.1	P08100
Q6IFX2	68239	NP_997648.2			
Q7TRF6					
Q80ZF2	230405	NP_796322.1	338376	NP_795372.1	Q86WN2
Q6PAP2					
Q9R0L9	53599	NP_058594.1	8763	NP_006007.2	Q04900
Q3KNZ8					
A2BE93					
Q8R4V2	252864	NP_001152848.1;NP_665687.1	128853	NP_542178.2	Q9H1R2
H3BKS6					
C7B5Q2					
O88665	26992	NP_036177.1;XP_017168329.1	29117	NP_001167455.1	Q9NPI1
Q3UM53					
F6SBF2					
A0A0G2JFP4					
Q5DTX6	240185	NP_001075432.1;XP_006525966.1;XP_006525967.1	57608	NP_065899.1	Q9P266
J9S305					
Q3UZ84					
D6RDD1					
A0A0U1RNH3					
Q3UPI9					
Q80X29					
A2A9R3	434903	NP_001028664.2	4113	NP_002355.2	O15479
A0A0R4J0Q9					
Q8C0E5					
B2RY90					
Q58E61					
F6R8N2					
Q3UGZ6					
A0A0U1RQ16					
Q8BTN6	243813	NP_780738.1	94059	NP_945339.2	Q96B70
B7ZMQ9					
P10605	13030	NP_031824.1	1508	NP_680090.1	P07858
Q8BTC1	544717	NP_001129039.1;NP_001129040.1;NP_001129041.1	728568	NP_001129042.1	Q69YU5
Q812A5	109270	NP_666173.4;XP_006520341.2;XP_006520344.1	55615	NP_001185650.1	P85299
Q8CCI6					
Q8BZJ3					
A0A0G2JE70					
B2KF34					
Q8R2K1	69064	NP_001273146.1;NP_001273147.1;NP_081204.2	282969	NP_001091953.1	A2VDF0
Q8CED6					
Q6PHN2					
O88305					
Q9D1Z8					
E9PUA7					
A2AUC6					
Q5RL26					
Q80U35	207212	NP_001074585.1	9828	NP_055601.2	Q96PE2
Q3V397					
A2APF5					
Q91VH0					
F6SBH7					
Q3UEU2					
Q8BG15	329506	NP_001277920.1;NP_001277921.1;NP_997615.1	51496	NP_057480.2	Q05D32
B7ZD63					
Q920Q5					
M0QWG5					
A0A087WR52					
Q3UTB2					
Q3UGR5	76987	NP_001034290.1;NP_001034291.1;NP_084102.1;XP_006526505.1	84064	NP_115500.1	Q9H0R4
Q8C3J6					
Q70YN3					
Q8CES0	70646	NP_081768.2	122830		Q147X3
E9Q6A9					
Q59IW6					
Q790R4					
P15532	18102	NP_032730.1	4830	NP_937818.1	P15531
D3YVU7					
D3YV10	100502861	NP_082660.1;XP_006511967.1;XP_011241227.1	152206	NP_653320.3	Q8IYE1
Q8BH15	78893	NP_705813.2;XP_006512462.1	25904	NP_001243671.1	Q9H9A5
Q8K2F8	67070	NP_080224.1	26065	NP_056393.2	Q8ND56
