9606.ENSP00000300161	P31946
9606.ENSP00000255380	P20309
9606.ENSP00000409378	P08173
9606.ENSP00000372750	P08912
9606.ENSP00000348459	Q8TDX5
9606.ENSP00000360366	Q8WXI4
9606.ENSP00000303246	Q8WYK0
9606.ENSP00000230048	Q9NPJ3
9606.ENSP00000357807	Q8N1Q8
9606.ENSP00000309477	P21399
9606.ENSP00000359380	O00767
9606.ENSP00000216254	Q99798
9606.ENSP00000311224	Q86TX2
9606.ENSP00000238651	P49753
9606.ENSP00000323071	Q8N9L9
9606.ENSP00000370531	Q3I5F7
9606.ENSP00000217455	O14734
9606.ENSP00000368605	Q9Y305
9606.ENSP00000293217	Q15067
9606.ENSP00000307697	Q99424
9606.ENSP00000348775	O15254
9606.ENSP00000296456	P13798
9606.ENSP00000007516	O14561
9606.ENSP00000229243	Q8NEB7
9606.ENSP00000362799	Q96QF7
9606.ENSP00000216139	P10323
9606.ENSP00000219054	Q08AH3
9606.ENSP00000327453	Q68CK6
9606.ENSP00000316924	Q9NUB1
9606.ENSP00000253382	Q9NR19
9606.ENSP00000300441	Q96CM8
9606.ENSP00000320646	Q4G176
9606.ENSP00000205214	Q4L235
9606.ENSP00000281455	P33121
9606.ENSP00000350012	O95573
9606.ENSP00000339787	O60488
9606.ENSP00000348429	Q9ULC5
9606.ENSP00000296869	Q9UKU0
9606.ENSP00000301956	Q08AH1
9606.ENSP00000289416	Q53FZ2
9606.ENSP00000382349	P0C7M7
9606.ENSP00000327916	Q6NUN0
9606.ENSP00000340296	Q6P461
9606.ENSP00000449535	Q9H6R3
9606.ENSP00000224784	P62736
9606.ENSP00000416706	Q562R1
9606.ENSP00000439189	Q9BYX7
9606.ENSP00000349960	P60709
9606.ENSP00000290378	P68032
9606.ENSP00000331514	P63261
9606.ENSP00000333821	Q01718
9606.ENSP00000295137	P63267
9606.ENSP00000364555	Q9H568
9606.ENSP00000316674	Q8TC94
9606.ENSP00000377941	P12814
9606.ENSP00000355537	P35609
9606.ENSP00000252699	O43707
9606.ENSP00000355645	P68133
9606.ENSP00000360165	Q8TDG2
9606.ENSP00000367658	Q8TDY3
9606.ENSP00000333037	Q9BYD9
9606.ENSP00000289228	P42025
9606.ENSP00000358921	P61163
9606.ENSP00000243349	Q8NER5
9606.ENSP00000373574	P37023
9606.ENSP00000263640	Q04771
9606.ENSP00000384296	Q03154
9606.ENSP00000263080	P45381
9606.ENSP00000255082	Q96HD9
9606.ENSP00000238618	P07311
9606.ENSP00000378161	P14621
9606.ENSP00000260408	O14672
9606.ENSP00000200557	O75078
9606.ENSP00000357668	O43184
9606.ENSP00000349436	Q13444
9606.ENSP00000309968	P78536
9606.ENSP00000265707	Q9Y3Q7
9606.ENSP00000257527	Q9H013
9606.ENSP00000369960	P35348
9606.ENSP00000306662	P35368
9606.ENSP00000368766	P25100
9606.ENSP00000256389	O43506
9606.ENSP00000267499	Q9UKJ8
9606.ENSP00000265727	Q9P0K1
9606.ENSP00000264377	O75077
9606.ENSP00000265769	Q9UKQ2
9606.ENSP00000352177	Q9UKF5
9606.ENSP00000280155	P08913
9606.ENSP00000387281	P18089
9606.ENSP00000386069	P18825
9606.ENSP00000358407	Q9UKF2
9606.ENSP00000369238	Q8TC27
9606.ENSP00000348912	Q9BZ11
9606.ENSP00000296513	Q96M93
9606.ENSP00000268624	Q8NCV1
9606.ENSP00000265708	Q99965
9606.ENSP00000175238	Q9H2U9
9606.ENSP00000453302	P78325
9606.ENSP00000419446	Q13443
9606.ENSP00000265846	O75689
9606.ENSP00000329468	Q9NPF8
9606.ENSP00000264167	O00116
9606.ENSP00000310015	Q9BUB4
9606.ENSP00000237283	Q7Z6V5
9606.ENSP00000332448	Q96EY9
9606.ENSP00000361965	P00813
9606.ENSP00000238561	Q86TW2
9606.ENSP00000072869	Q7Z695
9606.ENSP00000355739	Q8NI60
9606.ENSP00000315118	Q96D53
9606.ENSP00000310547	Q3MIX3
9606.ENSP00000348911	Q6P093
9606.ENSP00000352268	Q5VUY0
9606.ENSP00000365395	Q5VUY2
9606.ENSP00000297323	Q08828
9606.ENSP00000342952	Q08462
9606.ENSP00000260600	O60266
9606.ENSP00000312126	Q8NFM4
9606.ENSP00000419361	O95622
9606.ENSP00000311405	O43306
9606.ENSP00000254235	P51828
9606.ENSP00000286355	P40145
9606.ENSP00000294016	O60503
9606.ENSP00000356825	Q96PN6
9606.ENSP00000264758	P35611
9606.ENSP00000264436	P35612
9606.ENSP00000348381	Q9UEY8
9606.ENSP00000256412	O15204
9606.ENSP00000381036	Q8N7X0
9606.ENSP00000209668	P07327
9606.ENSP00000306606	P00325
9606.ENSP00000265512	P08319
9606.ENSP00000378359	P28332
9606.ENSP00000420269	P40394
9606.ENSP00000296412	P11766
9606.ENSP00000434385	Q0VDE8
9606.ENSP00000329137	Q5T7M4
9606.ENSP00000320709	Q15848
9606.ENSP00000340279	Q9Y2D8
9606.ENSP00000361083	Q15847
9606.ENSP00000286621	P55263
9606.ENSP00000379086	Q7Z4H4
9606.ENSP00000393631	C9JUS6
9606.ENSP00000278175	P35318
9606.ENSP00000262198	Q6IQ32
9606.ENSP00000342905	Q9H2P0
9606.ENSP00000312250	Q9BRR6
9606.ENSP00000278618	Q9NRN7
9606.ENSP00000349496	P54922
9606.ENSP00000369099	Q3LIE5
9606.ENSP00000341785	Q96A54
9606.ENSP00000349616	Q86V24
9606.ENSP00000358301	P08588
9606.ENSP00000305372	P07550
9606.ENSP00000343782	P13945
9606.ENSP00000253003	Q16186
9606.ENSP00000462972	P22570
9606.ENSP00000297029	Q9Y6U3
9606.ENSP00000281456	P12235
9606.ENSP00000360671	P05141
9606.ENSP00000370808	P12236
9606.ENSP00000281154	Q9H0C2
9606.ENSP00000377311	Q6P4F2
9606.ENSP00000260270	P10109
9606.ENSP00000223357	Q8IUX7
9606.ENSP00000381840	Q6ZN18
9606.ENSP00000362888	Q96SZ5
9606.ENSP00000319388	Q6UXC1
9606.ENSP00000331944	Q8WTP8
9606.ENSP00000221561	Q08117
9606.ENSP00000307411	P55197
9606.ENSP00000316426	P55198
9606.ENSP00000296721	Q8TED9
9606.ENSP00000303042	Q8N4X5
9606.ENSP00000357917	Q13015
9606.ENSP00000369695	P42568
9606.ENSP00000375956	P55196
9606.ENSP00000226355	P43652
9606.ENSP00000371983	Q8N556
9606.ENSP00000378578	P51825
9606.ENSP00000359489	P51816
9606.ENSP00000348793	P51826
9606.ENSP00000265343	Q9UHB7
9606.ENSP00000269143	Q9Y4W6
9606.ENSP00000238855	Q6ULP2
9606.ENSP00000266483	Q5BKT4
9606.ENSP00000310120	Q5I7T1
9606.ENSP00000403270	Q5T2P9
9606.ENSP00000218516	P06280
9606.ENSP00000307634	Q9UPQ3
9606.ENSP00000449241	Q99490
9606.ENSP00000380413	Q96P47
9606.ENSP00000392513	Q96P64
9606.ENSP00000363207	A6NIR3
9606.ENSP00000392513	Q5VW22
9606.ENSP00000363208	Q5VUJ5
9606.ENSP00000415452	Q5SRD3
9606.ENSP00000407436	Q5VTM2
9606.ENSP00000387282	P52594
9606.ENSP00000300176	O95081
9606.ENSP00000316109	Q8N302
9606.ENSP00000347581	Q53H12
9606.ENSP00000425809	O95394
9606.ENSP00000362300	Q9UL18
9606.ENSP00000220592	Q9UKV8
9606.ENSP00000362287	Q9H9G7
9606.ENSP00000362306	Q9HCK5
9606.ENSP00000391490	O95994
9606.ENSP00000308606	Q8TD06
9606.ENSP00000368678	O00468
9606.ENSP00000290953	O00253
9606.ENSP00000231420	Q9BYV1
9606.ENSP00000273430	P30556
9606.ENSP00000360973	P50052
9606.ENSP00000247087	Q5TGY3
9606.ENSP00000265602	Q8N157
9606.ENSP00000353114	Q8IVF2
9606.ENSP00000367263	Q09666
9606.ENSP00000323816	A9YTQ3
9606.ENSP00000242057	P35869
9606.ENSP00000216479	O95433
9606.ENSP00000349525	Q719I0
9606.ENSP00000307199	Q9NZD4
9606.ENSP00000229335	Q9GZX7
9606.ENSP00000339161	Q96BJ3
9606.ENSP00000365227	P55008
9606.ENSP00000287295	O95831
9606.ENSP00000312370	Q9BRQ8
9606.ENSP00000382120	Q96NN9
9606.ENSP00000350509	Q9NVV5
9606.ENSP00000433931	Q8N1P7
9606.ENSP00000358062	Q9Y4K1
9606.ENSP00000357112	O14862
9606.ENSP00000378191	Q12904
9606.ENSP00000223029	Q13155
9606.ENSP00000358865	Q16352
9606.ENSP00000370521	Q9NZN9
9606.ENSP00000279146	O00170
9606.ENSP00000291582	O43918
9606.ENSP00000367432	Q9UKB5
9606.ENSP00000262713	Q96IF1
9606.ENSP00000324827	Q02040
9606.ENSP00000312606	P14550
9606.ENSP00000352584	O60218
9606.ENSP00000389289	C9JRZ8
9606.ENSP00000370254	Q04828
9606.ENSP00000370129	P52895
9606.ENSP00000369927	P42330
9606.ENSP00000263126	P17516
9606.ENSP00000242375	P51857
9606.ENSP00000225737	O43572
9606.ENSP00000025301	Q9UKA4
9606.ENSP00000253332	Q02952
9606.ENSP00000360485	Q86UN6
9606.ENSP00000405252	O43687
9606.ENSP00000405252	Q9P0M2
9606.ENSP00000337736	Q92667
9606.ENSP00000451476	Q9Y2D5
9606.ENSP00000228850	O75969
9606.ENSP00000351327	Q5JQC9
9606.ENSP00000315615	P24588
9606.ENSP00000280979	Q13023
9606.ENSP00000269701	O43823
9606.ENSP00000348573	Q99996
9606.ENSP00000417935	Q5T2L2
9606.ENSP00000298375	Q96JD6
9606.ENSP00000369579	Q495B1
9606.ENSP00000471417	A6NHY2
9606.ENSP00000265742	Q9P2G1
9606.ENSP00000310459	Q9NQ31
9606.ENSP00000319778	Q9NWT8
9606.ENSP00000392678	Q9H9L7
9606.ENSP00000257787	Q53H80
9606.ENSP00000303769	Q7Z591
9606.ENSP00000359018	Q5T1N1
9606.ENSP00000354718	Q12802
9606.ENSP00000380557	Q9ULX6
9606.ENSP00000270202	P31749
9606.ENSP00000375892	P31751
9606.ENSP00000263826	Q9Y243
9606.ENSP00000378152	Q9H8T0
9606.ENSP00000341698	Q96B36
9606.ENSP00000282032	Q8N8R7
9606.ENSP00000297785	P00352
9606.ENSP00000249750	O94788
9606.ENSP00000332256	P47895
9606.ENSP00000366927	P30837
9606.ENSP00000377083	O75891
9606.ENSP00000258494	Q3SY69
9606.ENSP00000313670	Q60I27
9606.ENSP00000409937	Q53TS8
9606.ENSP00000286190	Q96Q35
9606.ENSP00000225740	P30838
9606.ENSP00000345774	P51648
9606.ENSP00000255084	P48448
9606.ENSP00000290597	P30038
9606.ENSP00000369858	P20292
9606.ENSP00000387123	P49419
9606.ENSP00000265605	Q9H2A2
9606.ENSP00000346827	P49189
9606.ENSP00000378408	P24298
9606.ENSP00000345282	Q8TD30
9606.ENSP00000295897	P02768
9606.ENSP00000261733	P05091
9606.ENSP00000336927	P04075
9606.ENSP00000363988	P05062
9606.ENSP00000226253	P09972
9606.ENSP00000285930	P15121
9606.ENSP00000430236	Q2TAA5
9606.ENSP00000333813	Q9BV10
9606.ENSP00000378260	Q9NP73
9606.ENSP00000359224	Q96F25
9606.ENSP00000340009	Q6GMV1
9606.ENSP00000262374	Q9BT22
9606.ENSP00000417764	Q9H553
9606.ENSP00000380793	Q92685
9606.ENSP00000239891	Q9Y673
9606.ENSP00000360149	Q9Y672
9606.ENSP00000299626	Q9BVK2
9606.ENSP00000435517	Q9H6U8
9606.ENSP00000216489	Q13686
9606.ENSP00000343021	Q6NS38
9606.ENSP00000302232	Q96Q83
9606.ENSP00000292566	Q9NXW9
9606.ENSP00000382091	Q6P6C2
9606.ENSP00000368152	Q3KRA9
9606.ENSP00000245812	Q9BT30
9606.ENSP00000374219	Q96BT7
9606.ENSP00000341662	Q6ZNB7
9606.ENSP00000373700	Q9UM73
9606.ENSP00000252505	Q8N6M5
9606.ENSP00000264448	Q8TCU4
9606.ENSP00000177648	Q96QP1
9606.ENSP00000354991	Q86TB3
9606.ENSP00000258888	Q96L96
9606.ENSP00000248114	P55789
9606.ENSP00000264276	Q96Q42
9606.ENSP00000416683	P35858
9606.ENSP00000315417	Q15699
9606.ENSP00000358807	O95076
9606.ENSP00000332744	Q9H161
9606.ENSP00000371517	Q9UHK6
9606.ENSP00000313809	Q9NP70
9606.ENSP00000265132	P02760
9606.ENSP00000306100	P19021
9606.ENSP00000329117	Q5JTC6
9606.ENSP00000426528	Q8N7J2
9606.ENSP00000314914	Q8N944
9606.ENSP00000272647	Q6DCA0
9606.ENSP00000290649	Q9UKV5
9606.ENSP00000358878	Q86WK6
9606.ENSP00000266581	Q86SJ2
9606.ENSP00000323096	Q86WK7
9606.ENSP00000257863	Q16671
9606.ENSP00000262844	Q9Y4X0
9606.ENSP00000281471	Q8IY45
9606.ENSP00000299155	Q9BXJ7
9606.ENSP00000387739	Q8IY63
9606.ENSP00000249883	Q9Y2J4
9606.ENSP00000361027	Q4VCS5
9606.ENSP00000295640	Q9H4A4
9606.ENSP00000430075	P23109
9606.ENSP00000256578	Q01433
9606.ENSP00000379802	Q01432
9606.ENSP00000265162	Q07075
9606.ENSP00000348602	P49418
9606.ENSP00000226299	P28838
9606.ENSP00000300060	P15144
9606.ENSP00000364464	Q8N6M6
9606.ENSP00000350541	Q6Q4G3
9606.ENSP00000318313	Q9C0C7
9606.ENSP00000421922	P30533
9606.ENSP00000341013	Q6UX39
9606.ENSP00000359100	P04745
9606.ENSP00000354610	P19961
9606.ENSP00000397582	P04746
9606.ENSP00000308149	Q400G9
9606.ENSP00000352976	Q86W34
9606.ENSP00000261739	Q8IZ07
9606.ENSP00000378328	Q86YJ7
9606.ENSP00000359982	Q8N6S4
9606.ENSP00000427130	Q6ZTN6
9606.ENSP00000382610	Q8IVF6
9606.ENSP00000290943	A2A2Z9
9606.ENSP00000366826	Q5CZ79
9606.ENSP00000354432	Q9BXX3
9606.ENSP00000351875	Q9BXX2
9606.ENSP00000417864	P39687
9606.ENSP00000345848	Q92688
9606.ENSP00000266594	O95626
9606.ENSP00000324074	Q9BTT0
9606.ENSP00000296657	A6NCL7
9606.ENSP00000314103	Q69YU3
9606.ENSP00000339802	A5PLL1
9606.ENSP00000401089	P0C6C1
9606.ENSP00000391950	A6QL64
9606.ENSP00000403302	Q5JPF3
9606.ENSP00000225927	P54802
9606.ENSP00000314004	Q9UJX6
9606.ENSP00000347498	Q96K21
9606.ENSP00000363822	P10275
9606.ENSP00000365651	P16860
9606.ENSP00000295440	P23582
9606.ENSP00000459775	Q9P2R3
9606.ENSP00000365663	P01160
9606.ENSP00000251089	Q9UNK9
9606.ENSP00000355929	Q5VTE6
9606.ENSP00000336762	P03950
9606.ENSP00000234816	O95841
9606.ENSP00000362524	Q9UKU9
9606.ENSP00000360170	Q9Y5C1
9606.ENSP00000301455	Q9BY76
9606.ENSP00000335255	Q86XS5
9606.ENSP00000253109	Q8NI99
9606.ENSP00000366015	O43827
9606.ENSP00000428340	Q15389
9606.ENSP00000314897	O15123
9606.ENSP00000371347	Q9Y264
9606.ENSP00000355627	P01019
9606.ENSP00000409950	E9PGG2
9606.ENSP00000265709	P16157
9606.ENSP00000349588	Q01484
9606.ENSP00000280772	Q12955
9606.ENSP00000313513	Q7Z5J8
9606.ENSP00000367631	Q9NU02
9606.ENSP00000321627	Q8N957
9606.ENSP00000432016	Q8IWZ3
9606.ENSP00000284268	Q9HCJ1
9606.ENSP00000306678	Q8NFD2
9606.ENSP00000377971	Q8NAG6
9606.ENSP00000350686	Q86XL3
9606.ENSP00000360762	Q15327
9606.ENSP00000306163	Q9GZV1
9606.ENSP00000345767	Q9Y2G4
9606.ENSP00000265224	Q92527
9606.ENSP00000286918	Q96BM1
9606.ENSP00000304586	Q6ZW76
9606.ENSP00000297837	Q68DC2
9606.ENSP00000387907	A6NFN9
9606.ENSP00000272972	Q9P2S6
9606.ENSP00000303570	Q8IV38
9606.ENSP00000321617	Q9H8Y5
9606.ENSP00000265748	Q9NQW6
9606.ENSP00000406162	Q99873
9606.ENSP00000347906	P55345
9606.ENSP00000331879	O60678
9606.ENSP00000319169	O14744
9606.ENSP00000359095	Q96LA8
9606.ENSP00000343103	Q9NVM4
9606.ENSP00000372067	Q9NR22
9606.ENSP00000314396	Q6P2P2
9606.ENSP00000292246	Q9NW15
9606.ENSP00000347454	Q5XXA6
9606.ENSP00000314048	Q9NQ90
9606.ENSP00000256737	Q9BYT9
9606.ENSP00000376705	Q32M45
9606.ENSP00000315371	Q75V66
9606.ENSP00000409126	Q4KMQ2
9606.ENSP00000274979	Q6IWH7
9606.ENSP00000159087	Q9HCE9
9606.ENSP00000332788	A1A5B4
9606.ENSP00000357669	P16066
9606.ENSP00000341083	P20594
9606.ENSP00000265074	P17342
9606.ENSP00000267339	Q9NXR5
9606.ENSP00000301030	Q6UB99
9606.ENSP00000262126	Q6UB98
9606.ENSP00000369434	Q6P6B7
9606.ENSP00000351416	O75179
9606.ENSP00000360998	Q5VYY1
9606.ENSP00000321679	Q86SG2
9606.ENSP00000321731	Q8TF21
9606.ENSP00000365255	Q9UPS8
9606.ENSP00000304292	Q96NW4
9606.ENSP00000382379	O15084
9606.ENSP00000468354	Q8N6D5
9606.ENSP00000274361	Q8N7Z5
9606.ENSP00000265140	Q9BQI6
9606.ENSP00000301190	Q7Z3H0
9606.ENSP00000347802	Q8N283
9606.ENSP00000335147	Q7Z713
9606.ENSP00000377170	Q53RE8
9606.ENSP00000285243	Q6AI12
9606.ENSP00000377051	Q8N9B4
9606.ENSP00000331268	Q5TZF3
9606.ENSP00000335287	Q86W74
9606.ENSP00000303518	Q8WVL7
9606.ENSP00000425658	Q9ULJ7
9606.ENSP00000267116	Q8NB46
9606.ENSP00000353796	Q8N9V6
9606.ENSP00000215941	Q6NXT1
9606.ENSP00000342295	Q3KP44
9606.ENSP00000396747	Q9BZ19
9606.ENSP00000386502	A6NGH8
9606.ENSP00000326572	A6NC57
9606.ENSP00000399547	C9JTQ0
9606.ENSP00000445688	E5RJM6
9606.ENSP00000454770	B4E2M5
9606.ENSP00000296785	Q9H9E1
9606.ENSP00000353518	Q92625
9606.ENSP00000449629	Q7Z6G8
9606.ENSP00000308772	Q8N8V4
9606.ENSP00000356671	P01008
9606.ENSP00000301945	Q9H6X2
9606.ENSP00000306185	P58335
9606.ENSP00000455449	A6NF34
9606.ENSP00000352248	Q9UJ72
