gene,TP53_pval,TP53_cor,e3_ligase
KCTD15,0.834432028,-0.0594,YES
TNFAIP1,0.834698043,-0.0592,YES
KCTD2,0.861934071,-0.0581,YES
MNAT1,0.844601608,-0.0563,YES
FBXW11,0.856484609,-0.053,YES
UBR2,0.858218577,-0.0524,YES
KBTBD7,0.868566063,-0.0511,YES
ZBTB20,0.867483156,-0.0507,YES
FBXO6,0.864858359,-0.0506,YES
TRIP12,0.865763115,-0.0503,YES
RNF169,0.868566063,-0.0495,YES
RCBTB1,0.938988924,-0.0448,YES
UBE3C,0.905965872,-0.0367,YES
MIB1,0.908183304,-0.0362,YES
KCTD13,0.918494472,-0.0327,YES
ZBTB4,0.950247222,-0.0323,YES
OTUD7A,0.929640858,-0.0287,YES
FBXO42,0.934240509,-0.0276,YES
RNF41,0.933781951,-0.0273,YES
ATRX,0.941792913,-0.0243,YES
MYCBP2,0.952257391,-0.0213,YES
PATZ1,0.952927239,-0.0207,YES
HERC3,0.954054808,-0.0199,YES
BTBD1,0.958222064,-0.0172,YES
TRIM61,0.975412551,-0.0165,YES
DTX3L,0.960838308,-0.0158,YES
ZNRF2,0.960965855,-0.0157,YES
ZBTB41,0.980795262,-0.0108,YES
PPIL2,0.975412551,-0.0095,YES
RBCK1,0.977623663,-0.0081,YES
SH3RF1,0.979130879,-0.0075,YES
ARIH1,0.982259494,-0.0067,YES
VHL,0.987137273,-0.0057,YES
TRIM36,0.989850361,-0.0041,YES
NOSIP,0.990784437,-0.0036,YES
ASB7,0.992625195,-0.0029,YES
FBXO45,0.995471339,-0.002,YES
ZBTB11,0.997594933,-0.0013,YES
KCTD9,0.997594933,-0.001,YES
HERC1,0.99950021,1.00E-04,YES
RNF2,0.998097327,9.00E-04,YES
BIRC3,0.996685818,0.0016,YES
ZBTB2,0.994556237,0.0025,YES
ARMC5,0.993641641,0.0027,YES
FBXL20,0.992212278,0.0036,YES
BTBD2,0.98735946,0.0052,YES
HERC2,0.975412551,0.0093,YES
RNF181,0.973259526,0.0106,YES
UBE4A,0.973251494,0.0107,YES
SHKBP1,0.972245103,0.0115,YES
KCTD12,0.96713409,0.0132,YES
UHRF2,0.966782422,0.0134,YES
RFWD2,0.96459744,0.0146,YES
IBTK,0.961220538,0.0162,YES
WWP2,0.958222064,0.0173,YES
TRIM26,0.954054808,0.0192,YES
HERC4,0.954054808,0.0192,YES
FBXL13,0.960722895,0.0217,YES
DPF1,0.946167563,0.023,YES
ZBTB9,0.958222064,0.0243,YES
KBTBD6,0.939274081,0.0261,YES
RC3H1,0.930718204,0.0285,YES
KCTD17,0.956054884,0.0296,YES
GAN,0.923549526,0.0306,YES
TRIM56,0.919837034,0.0322,YES
FBXO21,0.914098189,0.0346,YES
TRIM47,0.912076078,0.0349,YES
TRIM2,0.897728804,0.0391,YES
BARD1,0.908183304,0.0397,YES
MKRN3,0.902573273,0.0403,YES
TRAF7,0.896142201,0.0407,YES
SH3RF2,0.921567816,0.0414,YES
UHRF1,0.889466438,0.0421,YES
PJA1,0.896306475,0.0424,YES
ZBTB40,0.899806863,0.043,YES
RNF166,0.893298943,0.0466,YES
CBLL1,0.872580098,0.0477,YES
KCTD6,0.883843541,0.0493,YES
FBXO9,0.887876757,0.0497,YES
TRAF3,0.87202632,0.0533,YES
NSMCE1,0.843788773,0.0565,YES
BTBD11,0.890913978,0.0571,YES
HERC5,0.838038352,0.0583,YES
LZTR1,0.836691798,0.0586,YES
TRIM41,0.852884506,0.0591,YES
DZIP3,0.842356658,0.0594,YES
RAB40B,0.895166933,0.0612,YES
FBXO7,0.825996289,0.0623,YES
TRIM27,0.819867273,0.0641,YES
TRAF4,0.808425264,0.0676,YES
SYVN1,0.815004142,0.0681,YES
SIAH2,0.842609597,0.0692,YES
BRCA1,0.816167037,0.0694,YES
SMURF1,0.816356227,0.0699,YES
RNF121,0.836691798,0.0728,YES
KBTBD11,0.797369814,0.0754,YES
BCL6,0.836052388,0.0775,YES
PDZRN3,0.767471944,0.0797,YES
ZBTB1,0.776333254,0.0841,YES
KCTD10,0.751734947,0.0842,YES
FBXL2,0.813258786,0.085,YES
KLHL5,0.879687363,0.0855,YES
DTX2,0.740760629,0.0887,YES
KCTD14,0.753618933,0.089,YES
RBX1,0.728632787,0.0921,YES
FBXO30,0.727905631,0.0923,YES
HUWE1,0.726235507,0.0928,YES
TRIM24,0.724254642,0.094,YES
ASB9,0.761644098,0.0949,YES
NFX1,0.71456253,0.0966,YES
KBTBD2,0.715379541,0.1,YES
ASB6,0.81155124,0.1001,YES
FBXL12,0.783054481,0.1034,YES
HECW1,0.691626214,0.1063,YES
RNF157,0.704066506,0.1073,YES
MIB2,0.688354946,0.1083,YES
FBXL18,0.669375116,0.1097,YES
HLTF,0.664435364,0.1112,YES
WWP1,0.662802479,0.1118,YES
RNF126,0.661278384,0.1124,YES
NEDD4,0.744085304,0.1139,YES
MKRN2,0.639083421,0.118,YES
FBXW8,0.636847742,0.1203,YES
RNF113B,0.683332806,0.1229,YES
ZBTB17,0.758524087,0.1251,YES
TRIM59,0.658084303,0.1331,YES
CBLB,0.582487566,0.1337,YES
ZBTB33,0.597618174,0.1338,YES
PML,0.57572944,0.1353,YES
HERC6,0.58661398,0.1374,YES
HECW2,0.569647505,0.1386,YES
ZBTB10,0.564143358,0.139,YES
TRIM65,0.554991622,0.1412,YES
FBXO28,0.545381775,0.1442,YES
KCTD5,0.529331709,0.1529,YES
TRIM5,0.517915345,0.1535,YES
KCNB1,0.675278424,0.1537,YES
RNF214,0.516175711,0.1539,YES
KLHL7,0.596804871,0.1543,YES
RC3H2,0.517543623,0.1559,YES
TRIM69,0.751274005,0.1575,YES
MGRN1,0.498323707,0.1591,YES
ZBTB43,0.667533185,0.1619,YES
AMFR,0.518740703,0.1628,YES
RNF175,0.587110564,0.1636,YES
ZNF131,0.491516921,0.1692,YES
ZBTB45,0.545381775,0.1711,YES
TRIM37,0.516549548,0.1738,YES
OSTM1,0.491991319,0.1744,YES
RNF10,0.506452545,0.176,YES
BRAP,0.443233548,0.1778,YES
KLHL26,0.468122648,0.1786,YES
TRIM11,0.451598489,0.1793,YES
RNF207,0.604243504,0.185,YES
UBOX5,0.459032088,0.1881,YES
WHSC1,0.408761566,0.1887,YES
RNF40,0.401987069,0.1909,YES
TOPORS,0.675578487,0.1911,YES
MID2,0.474437299,0.1947,YES
RNF113A,0.387125852,0.1961,YES
ZFAND3,0.380904933,0.1983,YES
RNF150,0.377077729,0.1997,YES
BTBD10,0.562739652,0.2045,YES
RNF20,0.359533677,0.2068,YES
RNF38,0.437794226,0.2068,YES
ZBTB16,0.468437496,0.207,YES
MDM4,0.627042173,0.2098,YES
RCBTB2,0.525445805,0.2117,YES
RNF26,0.658472361,0.2159,YES
KLHL20,0.491235799,0.2176,YES
MID1,0.306530147,0.2274,YES
TRIM22,0.305598905,0.2279,YES
RHOBTB3,0.55491459,0.2296,YES
LNX1,0.469379805,0.2301,YES
SMURF2,0.284935614,0.237,YES
TRIM39,0.310832076,0.2377,YES
CBL,0.2816,0.2389,YES
RNF44,0.3542,0.2401,YES
TCEB3,0.277621725,0.2404,YES
TRIM31,0.39725,0.2426,YES
BACH1,0.267511709,0.2446,YES
SPOP,0.358068507,0.2451,YES
KEAP1,0.267246486,0.2451,YES
RNF168,0.368844627,0.2503,YES
TRIM33,0.232053357,0.2637,YES
KLHL12,0.333251625,0.264,YES
LNX2,0.487786047,0.2642,YES
LONRF2,0.459649039,0.2642,YES
NEURL2,0.39283658,0.2665,YES
RNF138,0.495732934,0.2699,YES
RAD18,0.253269827,0.2746,YES
KCNB2,0.474437299,0.2766,YES
NFXL1,0.204324701,0.2785,YES
UBE4B,0.185650558,0.2877,YES
RCHY1,0.180264706,0.2922,YES
KCNS3,0.431420584,0.2987,YES
CPSF1,0.170008511,0.2995,YES
RBBP6,0.160551607,0.3058,YES
SIAH1,0.189904212,0.3077,YES
PCGF1,0.480850857,0.3121,YES
BTBD7,0.160551607,0.322,YES
KLHL34,0.376238504,0.322,YES
ZNRF1,0.408713379,0.3305,YES
RNF185,0.273418206,0.3323,YES
SOCS6,0.148926441,0.3417,YES
UBR4,0.116526667,0.3425,YES
KLHL25,0.222262973,0.3517,YES
BTBD9,0.185199488,0.3705,YES
RNF17,0.185527735,0.3881,YES
TNFAIP3,0.080548387,0.3905,YES
KLHL15,0.211284615,0.5126,YES
B9D1,0.088650888,-0.5818,
TPGS1,0.04994,-0.5713,
TLR6,0.16724093,-0.5704,
ABHD13,0.152110826,-0.539,
MOCS3,0,-0.5374,
AMHR2,0.078852632,-0.5231,
SCP2D1,0,-0.5223,
MAPK9,0,-0.5204,
GPRASP2,0.133012107,-0.5189,
GPD1L,0,-0.496,
SHPK,0,-0.4844,
ABAT,0,-0.471,
SPATA6,0.23669042,-0.4681,
CBX7,0.128454593,-0.4652,
LY6E,0.281793103,-0.4647,
GATA3,0,-0.4638,
GATA5,0.0312125,-0.4611,
LATS2,0.166466667,-0.4598,
AGR3,0.0312125,-0.4504,
RABGEF1,0.0312125,-0.4494,
GATA4,0.0312125,-0.448,
ANKRD13B,0.0312125,-0.4475,
HSD17B4,0.0312125,-0.446,
ECI2,0.0312125,-0.4433,
RUNDC1,0.0312125,-0.4408,
PAGE5,0.268882031,-0.4402,
CDC25C,0.098937736,-0.4383,
TIGD5,0.04994,-0.438,
ITPK1,0.0312125,-0.4365,
FA2H,0.042502128,-0.428,
STARD10,0.042502128,-0.4277,
MYO5C,0.042502128,-0.4272,
TTC36,0.351652477,-0.425,
TRIM3,0.042502128,-0.4246,
IFT22,0.042502128,-0.424,
TNPO1,0.042502128,-0.4238,
EIF4G2,0.042502128,-0.422,
COPS6,0.04994,-0.421,
IFT122,0.04994,-0.421,
USP47,0.04994,-0.4185,
DECR2,0.04994,-0.4184,
AHNAK,0.04994,-0.4158,
EBF3,0.247366355,-0.414,
HAS1,0.350542537,-0.4137,
ARFGAP2,0.04994,-0.4128,
MPI,0.051885714,-0.4122,
ALDH7A1,0.051885714,-0.412,
DAK,0.051885714,-0.4107,
PPP2R1A,0.051885714,-0.4099,
EBF4,0.253449249,-0.4097,
RASA1,0.051885714,-0.409,
EXOC7,0.051885714,-0.4079,
ANKFY1,0.051885714,-0.4075,
VPS36,0.051885714,-0.407,
EXOC6,0.051885714,-0.4068,
DCTN4,0.051885714,-0.4064,
MATN1,0.31491821,-0.4063,
FOXA3,0.057402299,-0.4042,
KEL,0.3497831,-0.4037,
MYEOV2,0.185527735,-0.4037,
AP1M2,0.057402299,-0.4037,
RABEP1,0.057402299,-0.4035,
RNPEP,0.057402299,-0.4013,
ARFIP1,0.057402299,-0.4007,
AAGAB,0.057402299,-0.4006,
NCAM1,0.212531868,-0.3995,
BBS1,0.060533333,-0.3994,
MINPP1,0.060533333,-0.3988,
AP2B1,0.060533333,-0.3977,
SLC44A4,0.342300923,-0.3976,
CETN2,0.060533333,-0.3969,
DCXR,0.060533333,-0.3967,
MAP2K4,0.060533333,-0.3965,
RSPH1,0.169521101,-0.3926,
NTRK1,0.364986354,-0.392,
OSCP1,0.084405634,-0.3909,
CAMKK1,0.080548387,-0.3895,
ASMTL,0.075381132,-0.3889,
SPRED1,0.319209364,-0.3856,
ALDH6A1,0.078852632,-0.3847,
CIRBP,0.078852632,-0.3841,
FAM199X,0.322565746,-0.3835,
SFXN1,0.080548387,-0.3824,
MLPH,0.080548387,-0.3821,
IFT20,0.080548387,-0.3817,
WDR19,0.080548387,-0.3816,
POLI,0.083233333,-0.3805,
C10orf76,0.083233333,-0.3795,
WDR54,0.083233333,-0.3794,
PHYHD1,0.084405634,-0.3781,
TBC1D9,0.084405634,-0.3778,
SH3GLB2,0.084405634,-0.3767,
AGR2,0.084405634,-0.3764,
COPS8,0.084405634,-0.376,
GRAMD3,0.322581344,-0.3754,
SEC23IP,0.085989404,-0.3741,
COPS4,0.085989404,-0.3732,
KAT2B,0.116526667,-0.3726,
PHPT1,0.087944654,-0.3724,
PARD6B,0.087944654,-0.3721,
SVIP,0.429012521,-0.3721,
SSH3,0.087944654,-0.3719,
RGL2,0.088650888,-0.3689,
TTC8,0.128454593,-0.3681,
FOXRED2,0.302633074,-0.3672,
SEMG2,0.160551607,-0.3669,
GORASP1,0.094331111,-0.3667,
BCAM,0.094331111,-0.3662,
ARL3,0.094331111,-0.3661,
SLC9A3R1,0.094331111,-0.3657,
TXNDC17,0.094331111,-0.3657,
PPM1D,0.390539479,-0.3652,
TPRKB,0.094331111,-0.3652,
WDR45,0.096141176,-0.365,
AKT1,0.096141176,-0.365,
RAB33A,0.139158652,-0.3646,
ATOX1,0.096822449,-0.363,
C6orf136,0.30986226,-0.3622,
PPT1,0.096822449,-0.362,
IFT88,0.11403622,-0.3618,
PTPN4,0.185650558,-0.3609,
SIGIRR,0.10762931,-0.3603,
COPS5,0.098891089,-0.3601,
PBLD,0.098891089,-0.3601,
RARG,0.141423009,-0.36,
LLGL2,0.098937736,-0.3599,
PLAT,0.098937736,-0.3594,
PODN,0.098937736,-0.3588,
ACSF2,0.10172963,-0.3582,
CRABP2,0.10172963,-0.3579,
AIM2,0.119488344,-0.3558,
CAPN1,0.104896804,-0.3555,
IFT140,0.10749417,-0.3547,
CASD1,0.458204477,-0.3539,
SNX1,0.10762931,-0.3535,
PURA,0.10762931,-0.3531,
FAM160B2,0.10762931,-0.3529,
FLG2,0.359773585,-0.3524,
FYCO1,0.109572996,-0.3515,
SKP1,0.112365,-0.3514,
IRX1,0.116526667,-0.3493,
RUFY2,0.11403622,-0.3492,
TBC1D9B,0.11403622,-0.349,
CLIC6,0.11403622,-0.3489,
PDCD6IP,0.11403622,-0.3488,
COPS7A,0.11403622,-0.3482,
CTPS2,0.114804598,-0.3475,
CMBL,0.114804598,-0.347,
NUDCD2,0.114804598,-0.347,
CHST15,0.258546927,-0.3466,
LZTFL1,0.115965543,-0.3459,
SNX32,0.116224,-0.3455,
GEMIN5,0.116224,-0.3449,
EML1,0.116224,-0.3448,
ZFYVE16,0.116526667,-0.3435,
UEVLD,0.116526667,-0.3429,
C16orf70,0.116526667,-0.3424,
WDR61,0.116526667,-0.3423,
SEC24B,0.116526667,-0.342,
NENF,0.116526667,-0.3419,
POLR3A,0.118278947,-0.3408,
VPS45,0.119211613,-0.3402,
GSTCD,0.119211613,-0.3398,
VPS25,0.119488344,-0.3393,
ABHD14B,0.119488344,-0.3388,
TBC1D17,0.119488344,-0.3385,
DDAH2,0.119488344,-0.3379,
THSD4,0.119975976,-0.3379,
DLG3,0.119488344,-0.3379,
METTL25,0.279588094,-0.3373,
IRX3,0.128877419,-0.337,
ALDH9A1,0.12079882,-0.3367,
FSTL3,0.216086538,-0.3359,
USP35,0.323302344,-0.3359,
CA12,0.121946512,-0.3358,
DCAF8L1,0.170886136,-0.3357,
PBX4,0.344132,-0.3353,
TOM1L2,0.1220125,-0.3352,
SDSL,0.1220125,-0.3348,
RAD23B,0.122415599,-0.3345,
GEMIN8,0.126192473,-0.3344,
FBP1,0.122415599,-0.3341,
SMUG1,0.148926441,-0.3339,
DNAH9,0.122415599,-0.3338,
DCN,0.122415599,-0.3338,
NME9,0.358068507,-0.3334,
REV1,0.163790354,-0.3329,
TNFAIP6,0.125190191,-0.3328,
TTC21B,0.126192473,-0.3322,
DLGAP1,0.39283658,-0.3318,
LANCL1,0.126192473,-0.3318,
LYRM5,0.180264706,-0.3315,
CNPY4,0.12716817,-0.331,
COG6,0.128454593,-0.3305,
ZNHIT2,0.128454593,-0.3304,
UTRN,0.128877419,-0.3294,
TSTD1,0.128877419,-0.3293,
C14orf142,0.128877419,-0.3287,
TRO,0.128877419,-0.3286,
GPS1,0.128877419,-0.3281,
GSTZ1,0.130385222,-0.3276,
ARFIP2,0.130385222,-0.3273,
COASY,0.132194118,-0.3269,
ARHGEF40,0.133012107,-0.3262,
PDE12,0.133012107,-0.3261,
TMED8,0.133012107,-0.326,
DNALI1,0.268753414,-0.3258,
LLGL1,0.133491169,-0.3257,
PIP5K1B,0.174209302,-0.3256,
MAPK10,0.134272642,-0.3251,
SEC24C,0.134272642,-0.3251,
LRRC17,0.301714992,-0.3243,
KIF12,0.489531534,-0.3239,
ROGDI,0.152110826,-0.3238,
ECM1,0.137044651,-0.3235,
KIF16B,0.139158652,-0.3225,
SCCPDH,0.139158652,-0.3222,
POSTN,0.139158652,-0.3217,
GLUD2,0.139158652,-0.3216,
VPS37C,0.139158652,-0.3216,
ACAA1,0.139832,-0.3213,
TFF3,0.169027692,-0.3209,
C9orf64,0.141423009,-0.3206,
EIF2AK4,0.142372807,-0.3203,
PHKG2,0.142372807,-0.3202,
HTRA1,0.142372807,-0.32,
NPTX2,0.442293359,-0.3199,
EPN3,0.142685714,-0.3193,
OGN,0.142685714,-0.3193,
GAMT,0.142986105,-0.3192,
BCAS4,0.30986226,-0.3187,
SEC16A,0.142986105,-0.3185,
NLRP4,0.144156701,-0.3177,
HMCN1,0.144156701,-0.3173,
EPN2,0.144156701,-0.3172,
AKR1B1,0.145317213,-0.3171,
ADAL,0.163790354,-0.317,
VCAN,0.145317213,-0.3169,
SKIL,0.367696905,-0.316,
MAT2A,0.147595951,-0.316,
KIAA1191,0.147595951,-0.316,
GNB2,0.147595951,-0.3156,
EIF4EBP2,0.148416064,-0.3155,
SFRP2,0.148416064,-0.3154,
GLUD1,0.148416064,-0.3153,
LRBA,0.148926441,-0.3148,
CROT,0.148926441,-0.3148,
OMD,0.148926441,-0.3147,
PSMD5,0.149426772,-0.3143,
TRMT112,0.149426772,-0.3141,
CAPNS1,0.15050411,-0.3136,
FOXA1,0.152110826,-0.3128,
IFT52,0.173066667,-0.3128,
CCL13,0.152110826,-0.3126,
AMDHD2,0.152110826,-0.3124,
IKBKB,0.152110826,-0.3123,
ADCY6,0.406077778,-0.3123,
ZNF346,0.152110826,-0.3122,
HSPA12B,0.152110826,-0.3122,
UBTD2,0.152110826,-0.3117,
MAN2B2,0.152110826,-0.3116,
SEPT8,0.152110826,-0.311,
USP40,0.152110826,-0.3108,
APEH,0.153800725,-0.3103,
SEC24D,0.153800725,-0.3103,
FBP2,0.154213285,-0.3095,
ISPD,0.191259574,-0.3093,
GKAP1,0.16282958,-0.3093,
AP1S1,0.155170714,-0.3092,
SCUBE1,0.163137333,-0.3091,
NBEA,0.155841135,-0.3088,
TSPAN1,0.29146269,-0.3082,
C14orf169,0.157705263,-0.308,
SYT1,0.337457732,-0.3078,
LUM,0.158622688,-0.3076,
PYCARD,0.158622688,-0.3073,
C16orf87,0.47608791,-0.3072,
BIN3,0.160429016,-0.3067,
C12orf10,0.160429016,-0.3065,
AKAP12,0.160551607,-0.3063,
ACOT2,0.160551607,-0.306,
RIPK3,0.160551607,-0.3059,
STC2,0.160551607,-0.3057,
COL5A1,0.161694435,-0.3056,
CLIC5,0.16282958,-0.3052,
PPP1R7,0.163137333,-0.3046,
ISLR,0.163710596,-0.3043,
IL6ST,0.163710596,-0.3042,
UNC119B,0.163790354,-0.304,
EPS15L1,0.163790354,-0.3039,
C1orf226,0.163790354,-0.3035,
RASSF8,0.26463338,-0.3035,
NOS1AP,0.163790354,-0.303,
TOM1L1,0.163790354,-0.3029,
TNKS,0.190701671,-0.3028,
CCDC106,0.424948945,-0.3026,
TANC2,0.165939873,-0.3021,
NFKBIA,0.165939873,-0.302,
DNPEP,0.166466667,-0.3016,
PPP2R5A,0.166466667,-0.3015,
TRAPPC2L,0.166726365,-0.3013,
SMAD5,0.166726365,-0.3011,
KIF26A,0.451658616,-0.301,
NLRP6,0.170886136,-0.3001,
POLB,0.169521101,-0.2998,
DYNLL2,0.170008511,-0.2995,
SNX6,0.170747958,-0.2989,
INTS9,0.170886136,-0.2987,
ANXA9,0.170886136,-0.2986,
HEXB,0.170886136,-0.2985,
SKIV2L,0.170886136,-0.2985,
RFK,0.170886136,-0.298,
PPP2R2D,0.170886136,-0.2979,
RASEF,0.234657831,-0.2977,
BTD,0.173066667,-0.2974,
IRS1,0.174209302,-0.2967,
APPBP2,0.245347068,-0.2967,
THTPA,0.174209302,-0.2967,
FKBP3,0.174645665,-0.2965,
WDR73,0.178658592,-0.2965,
LRP6,0.328225841,-0.2959,
TRAPPC4,0.175754506,-0.2956,
ELN,0.219754863,-0.295,
OTUB1,0.178357143,-0.295,
COPZ1,0.178508936,-0.2948,
IFT74,0.178508936,-0.2947,
GFAP,0.178658592,-0.2945,
DPT,0.179056583,-0.2941,
KDM3B,0.179095172,-0.2939,
CCDC125,0.389369132,-0.2938,
C16orf13,0.179095172,-0.2938,
HELZ,0.179095172,-0.2937,
PCCB,0.179095172,-0.2935,
SYAP1,0.179095172,-0.2935,
ANKAR,0.292671628,-0.2934,
APLP2,0.179729121,-0.2931,
HDHD1,0.180264706,-0.2929,
SNX9,0.180264706,-0.2927,
ANKRD13D,0.180264706,-0.2923,
CHCHD5,0.180264706,-0.2922,
MUC1,0.180264706,-0.2921,
EHD2,0.180264706,-0.292,
SUFU,0.181115733,-0.2916,
WRAP53,0.181239205,-0.2915,
NUDT16L1,0.181239205,-0.2914,
PIGB,0.190701671,-0.2912,
YTHDC2,0.181239205,-0.2912,
YIPF5,0.211284615,-0.2905,
SUOX,0.183612516,-0.2902,
DUOX2,0.439511271,-0.2901,
BGN,0.184057216,-0.2898,
GSKIP,0.184057216,-0.2897,
PCDHGA3,0.38893013,-0.2896,
POLD4,0.199077449,-0.2896,
TLE2,0.184867866,-0.2895,
CCNC,0.184057216,-0.2895,
AKT3,0.185199488,-0.289,
VPS37A,0.185527735,-0.2889,
NPEPL1,0.185527735,-0.2887,
GK5,0.429913914,-0.2886,
HNMT,0.185650558,-0.2885,
OLFML3,0.185650558,-0.2885,
PRRC1,0.185650558,-0.2883,
RXRG,0.185650558,-0.2881,
GATSL1,0.234657831,-0.2879,
DHX29,0.185650558,-0.2877,
ASAH1,0.185650558,-0.2876,
ATG2A,0.185650558,-0.2876,
COL14A1,0.185650558,-0.2876,
TBC1D14,0.535857913,-0.2875,
ZCCHC14,0.486638023,-0.2872,
PNMA1,0.3542,-0.2871,
FIBIN,0.216086538,-0.2871,
MSTO1,0.18605098,-0.287,
CNOT6,0.191259574,-0.2865,
ALDH16A1,0.187808547,-0.2865,
UBR7,0.189093204,-0.2862,
CETN1,0.211284615,-0.2861,
IMPDH2,0.189093204,-0.286,
FAM172A,0.189614994,-0.2859,
TLE3,0.189614994,-0.2859,
CPA3,0.189614994,-0.2858,
COG7,0.189904212,-0.2856,
COL5A3,0.189904212,-0.2855,
TPPP3,0.190701671,-0.2851,
GCHFR,0.190701671,-0.285,
C5orf15,0.417989294,-0.285,
GNPDA2,0.190701671,-0.2849,
SPR,0.191209037,-0.2848,
SCNM1,0.502207871,-0.2848,
NUDT12,0.191209037,-0.2847,
PCK1,0.191259574,-0.2845,
CCL15,0.191986321,-0.2841,
P4HTM,0.197237199,-0.2841,
SLC27A2,0.193429577,-0.2836,
SMPD1,0.237570519,-0.283,
UNC5B,0.347094299,-0.283,
SEC14L2,0.194661717,-0.283,
GPRC5C,0.285892814,-0.2823,
INPP4B,0.197237199,-0.282,
SIRT3,0.197237199,-0.2819,
ACTR5,0.198156422,-0.2818,
ALG13,0.198618514,-0.2815,
PTGR2,0.198618514,-0.2815,
ADH4,0.199077449,-0.2813,
IRX2,0.210602923,-0.2811,
ADIRF,0.19976,-0.281,
RPS6KB1,0.201789165,-0.2804,
SHROOM4,0.26469234,-0.2799,
CLSTN2,0.203335123,-0.2797,
B3GNT4,0.449112096,-0.2795,
SFXN2,0.203335123,-0.2795,
PLIN1,0.203520709,-0.2795,
FAH,0.203520709,-0.2791,
PPM1A,0.203520709,-0.2791,
WDR34,0.244733811,-0.279,
AKT1S1,0.203949227,-0.2789,
ARL15,0.210652263,-0.2786,
NEK9,0.204324701,-0.2786,
AKT2,0.204324701,-0.2785,
N4BP3,0.234657831,-0.2785,
ARHGAP1,0.204324701,-0.2784,
GLA,0.204324701,-0.2783,
DCAF8,0.204324701,-0.2783,
REPS2,0.204324701,-0.2783,
PTRF,0.204324701,-0.2782,
PPP2CA,0.204663394,-0.278,
ACADSB,0.204663394,-0.2776,
ENSA,0.204663394,-0.2774,
CILP,0.204663394,-0.2773,
CST5,0.445225088,-0.2764,
ANGPTL1,0.250274023,-0.2761,
RAP1GDS1,0.20795205,-0.2761,
NEK4,0.325908734,-0.276,
